characteristic,highinst,highpay,language,math,program_income_full
father_educ_years_imputed,+0.466 (0.093),+0.188 (0.050),+0.375 (0.052),+0.417 (0.051),+0.165 (0.053)
female,-0.030 (0.016),-0.004 (0.008),+0.027 (0.008),+0.028 (0.008),-0.025 (0.009)
income_decile_imputed,+0.525 (0.086),+0.227 (0.045),+0.330 (0.046),+0.423 (0.045),+0.189 (0.049)
mother_educ_years_imputed,+0.428 (0.087),+0.251 (0.048),+0.426 (0.048),+0.458 (0.047),+0.271 (0.050)
z_sim_leng_4to,+0.003 (0.033),+0.083 (0.017),+0.181 (0.017),+0.174 (0.016),+0.091 (0.018)
z_sim_mat_4to,+0.009 (0.033),+0.088 (0.017),+0.147 (0.017),+0.151 (0.016),+0.080 (0.018)
