characteristic,highinst,highpay,language,math,program_income_full
father_educ_years_imputed,-0.083 (0.092),-0.173 (0.049),-0.125 (0.051),-0.099 (0.050),-0.252 (0.053)
female,-0.032 (0.015),-0.009 (0.008),-0.010 (0.008),-0.014 (0.008),-0.039 (0.009)
income_decile_imputed,-0.242 (0.085),-0.124 (0.044),-0.121 (0.046),-0.045 (0.045),-0.212 (0.048)
mother_educ_years_imputed,-0.084 (0.086),-0.124 (0.047),-0.108 (0.047),-0.085 (0.046),-0.159 (0.049)
z_sim_leng_4to,-0.046 (0.033),-0.016 (0.017),+0.004 (0.017),+0.004 (0.016),-0.018 (0.018)
z_sim_mat_4to,-0.054 (0.033),-0.009 (0.017),-0.018 (0.016),-0.010 (0.016),-0.027 (0.018)
