RBD,Administration,HS_ENROLLED_EST
2040,Private subsidized,249
2041,Private subsidized,178
2042,Private subsidized,363
2043,Private subsidized,131
2044,Private subsidized,745
2045,Private subsidized,164
2049,Private subsidized,181
2050,Private subsidized,121
2055,Private subsidized,126
2064,Municipal,495
2075,Municipal,288
2078,Municipal,304
2084,Municipal,423
2090,Private subsidized,155
2091,Municipal,321
2099,Private subsidized,145
2102,Delegated,679
2103,Delegated,1144
2104,Corp. municipal,1740
2105,Delegated,1234
2109,Corp. municipal,485
2110,Corp. municipal,1575
2111,Corp. municipal,588
2123,Corp. municipal,610
2124,Corp. municipal,226
2134,Corp. municipal,435
2150,Private subsidized,156
2163,Private subsidized,198
2164,Private subsidized,285
2165,Private subsidized,212
2166,Private subsidized,460
2170,Fully private,178
2171,Private subsidized,129
2183,Private subsidized,161
2194,Fully private,307
2200,Fully private,623
2205,Municipal,262
2206,Municipal,136
2217,Private subsidized,171
2218,Private subsidized,183
2219,Private subsidized,301
2222,Municipal,494
2224,Municipal,148
2259,Private subsidized,280
2260,Fully private,223
2278,Private subsidized,627
2280,Municipal,561
2283,Municipal,504
2308,Private subsidized,336
2309,Private subsidized,208
2319,Municipal,309
2326,Private subsidized,302
2329,Corp. municipal,1198
2339,Corp. municipal,132
2355,Private subsidized,319
2356,Private subsidized,265
2375,Municipal,422
2378,Municipal,315
2401,Private subsidized,267
2406,Municipal,144
2411,Municipal,519
2422,Municipal,755
2442,Delegated,628
2443,Delegated,833
2444,SLEP,517
2447,SLEP,307
2448,SLEP,356
2453,Private subsidized,217
2454,Private subsidized,789
2455,Private subsidized,341
2482,Fully private,392
2485,Delegated,484
2486,SLEP,797
2514,Private subsidized,219
2530,SLEP,428
2551,Municipal,617
2552,Municipal,1179
2579,Private subsidized,488
2580,Private subsidized,337
2583,Municipal,317
2612,Municipal,158
2625,Municipal,379
2635,Municipal,649
2656,Private subsidized,159
2657,Municipal,296
2681,Municipal,298
2701,Municipal,193
2733,Municipal,357
2782,Private subsidized,489
2785,Private subsidized,138
2786,Fully private,399
