RBD,Administration,HS_ENROLLED_EST
10608,Private subsidized,697
10610,Private subsidized,272
10611,Fully private,317
10618,Private subsidized,800
10626,Private subsidized,134
10632,Private subsidized,304
10635,Fully private,319
10638,Corp. municipal,1036
10641,Corp. municipal,218
10642,Corp. municipal,285
10645,Corp. municipal,172
10658,Private subsidized,1249
10662,Private subsidized,121
10663,Municipal,738
10666,Municipal,361
10667,Municipal,197
10669,Municipal,148
10685,Private subsidized,300
10686,Corp. municipal,269
10696,Corp. municipal,557
10697,Corp. municipal,984
10699,Corp. municipal,185
10710,Private subsidized,261
10711,Private subsidized,771
10713,Private subsidized,260
10715,Private subsidized,362
10717,Private subsidized,360
10721,Private subsidized,434
10723,Private subsidized,111
10724,Fully private,244
10725,Corp. municipal,429
10726,Corp. municipal,249
10727,Corp. municipal,160
10734,Private subsidized,426
10735,Municipal,167
10746,Municipal,258
10749,Municipal,398
10751,Municipal,206
10757,Private subsidized,253
10772,Private subsidized,322
10773,Private subsidized,688
10780,Corp. municipal,1199
10781,Corp. municipal,536
10783,Corp. municipal,194
10792,Corp. municipal,257
10828,Private subsidized,344
10829,Private subsidized,190
10830,Private subsidized,455
10831,Private subsidized,486
10832,Private subsidized,1432
10833,Private subsidized,352
10834,Fully private,159
10845,Municipal,782
10851,Private subsidized,148
10854,Municipal,306
10873,Municipal,239
10892,Private subsidized,870
10900,Fully private,209
10906,Private subsidized,139
10911,SLEP,600
10915,Private subsidized,453
10917,SLEP,810
10962,Private subsidized,403
10967,Corp. municipal,609
10968,Corp. municipal,684
10970,Corp. municipal,1000
11034,SLEP,446
11038,SLEP,311
11103,Fully private,116
11105,Private subsidized,327
11106,Private subsidized,455
11107,Fully private,123
11111,Municipal,280
11130,Private subsidized,152
11139,SLEP,441
11144,Private subsidized,259
11145,Private subsidized,177
11155,Corp. municipal,513
11157,Private subsidized,141
11176,Fully private,434
11177,Private subsidized,296
11199,Municipal,198
11209,Private subsidized,117
11240,Private subsidized,134
11256,Private subsidized,330
11265,Private subsidized,477
11284,Corp. municipal,289
11287,Municipal,376
11291,Fully private,193
11336,Private subsidized,164
11344,Private subsidized,218
11348,Private subsidized,226
11397,Private subsidized,172
11400,Municipal,306
11430,Private subsidized,345
11498,Private subsidized,371
11527,Private subsidized,235
11591,Municipal,241
11608,Private subsidized,630
11678,Private subsidized,157
11680,Private subsidized,164
11681,Fully private,256
11706,Private subsidized,227
11712,Private subsidized,201
11776,Fully private,325
11805,Private subsidized,135
11812,Private subsidized,393
11818,Private subsidized,237
11831,Corp. municipal,746
11843,Private subsidized,213
11851,Private subsidized,408
11871,Fully private,285
11883,Corp. municipal,502
11918,Private subsidized,283
11931,Private subsidized,152
11936,Private subsidized,222
11950,Private subsidized,344
11962,Fully private,401
11965,Private subsidized,267
11968,Fully private,515
11971,Fully private,200
11977,Private subsidized,174
11993,Corp. municipal,126
11994,Private subsidized,216
12001,Private subsidized,146
12004,Private subsidized,225
12005,Private subsidized,802
12015,Fully private,178
12024,Fully private,171
12027,Private subsidized,360
12031,Private subsidized,175
12032,Private subsidized,143
12033,Private subsidized,830
12037,Private subsidized,190
12046,Private subsidized,122
12050,Private subsidized,316
12062,Private subsidized,950
12063,Fully private,174
12077,Private subsidized,299
12085,Private subsidized,120
12087,Fully private,333
12094,Fully private,258
12111,Private subsidized,254
12115,Private subsidized,357
12117,Municipal,653
12151,Private subsidized,1089
12177,Private subsidized,346
12183,Private subsidized,137
12192,Private subsidized,779
12217,Private subsidized,927
12225,Private subsidized,286
12241,Private subsidized,145
12242,Private subsidized,319
12244,Private subsidized,490
12265,Fully private,175
12295,Fully private,174
12305,Private subsidized,285
12309,Private subsidized,174
12332,Municipal,299
12336,Municipal,488
12368,Private subsidized,296
12502,Fully private,120
12509,Private subsidized,260
12515,Private subsidized,127
12518,Private subsidized,340
12534,Private subsidized,641
12547,Private subsidized,651
12551,Municipal,407
12566,Private subsidized,572
12573,Private subsidized,279
12587,Private subsidized,326
12590,Private subsidized,182
12591,Private subsidized,367
12594,Private subsidized,144
12602,Private subsidized,265
12603,Private subsidized,365
12604,Private subsidized,244
12605,Private subsidized,388
12610,SLEP,339
12630,Private subsidized,289
12631,Private subsidized,534
12632,SLEP,292
12649,Private subsidized,447
12650,Private subsidized,1029
12652,Private subsidized,493
12655,Private subsidized,198
12667,Private subsidized,528
12669,Fully private,334
12672,Private subsidized,293
12686,Private subsidized,413
12712,Private subsidized,241
12713,Private subsidized,244
12716,Private subsidized,646
12720,Private subsidized,168
12747,Private subsidized,194
12749,Private subsidized,281
12775,Private subsidized,245
12781,Fully private,138
12800,Private subsidized,131
12802,Private subsidized,148
12823,Private subsidized,151
12829,Fully private,157
12830,Private subsidized,732
12832,Fully private,154
12836,Private subsidized,271
12837,Private subsidized,141
12838,Private subsidized,272
12842,Municipal,359
12846,Fully private,159
12851,Private subsidized,254
12853,Private subsidized,276
12855,Private subsidized,228
12864,Fully private,176
12868,Private subsidized,179
12870,Corp. municipal,299
12884,Fully private,175
12885,Private subsidized,460
12891,Private subsidized,373
12935,Private subsidized,313
12943,Private subsidized,814
12958,Private subsidized,153
12963,Private subsidized,414
12966,Fully private,160
12970,Private subsidized,197
12977,Private subsidized,402
12980,Corp. municipal,280
13103,Private subsidized,134
13112,Private subsidized,426
13117,Fully private,206
13125,Fully private,119
13145,SLEP,969
13146,Private subsidized,807
13156,Private subsidized,439
13168,SLEP,258
13185,SLEP,584
13188,Private subsidized,223
13202,SLEP,337
13220,Private subsidized,381
13300,Fully private,163
13313,Private subsidized,456
13314,Private subsidized,285
13319,Fully private,163
13324,Private subsidized,255
13344,Private subsidized,253
13352,Municipal,381
13356,Private subsidized,298
13360,Private subsidized,219
13361,Private subsidized,297
13370,Fully private,124
13372,Private subsidized,156
13373,Private subsidized,271
13383,Private subsidized,165
13384,Private subsidized,318
13387,Municipal,218
13388,Private subsidized,211
13417,Private subsidized,115
13420,Private subsidized,517
13427,Private subsidized,261
13434,Fully private,241
13439,Private subsidized,162
13442,Private subsidized,371
13446,Private subsidized,273
13450,Fully private,248
13461,SLEP,204
13475,Private subsidized,285
13486,Private subsidized,535
13489,Private subsidized,278
13491,Private subsidized,296
13503,Private subsidized,200
13504,Private subsidized,182
13513,Private subsidized,147
13535,Private subsidized,151
13542,Private subsidized,130
13551,Private subsidized,236
13553,Private subsidized,115
13558,SLEP,487
13561,SLEP,389
13565,Private subsidized,163
13573,Private subsidized,171
13574,Fully private,113
13576,Corp. municipal,332
13582,Private subsidized,430
13586,Private subsidized,287
13604,Private subsidized,152
13606,Private subsidized,298
13621,Private subsidized,128
13627,Private subsidized,167
13633,Private subsidized,145
14202,Municipal,190
14210,Private subsidized,481
14211,Private subsidized,152
14217,Fully private,108
14232,Private subsidized,201
14270,Private subsidized,135
14280,Fully private,182
14284,Private subsidized,363
14288,Private subsidized,160
14299,Private subsidized,172
14313,Private subsidized,161
14314,Private subsidized,104
14334,Fully private,353
14336,Private subsidized,125
14348,Private subsidized,310
14359,Private subsidized,596
14363,Private subsidized,496
14375,Private subsidized,252
14379,Fully private,167
14413,Private subsidized,169
14416,Private subsidized,342
14466,Fully private,136
14470,Corp. municipal,390
14487,Private subsidized,243
14490,Private subsidized,267
14498,Fully private,127
14506,Private subsidized,314
14510,Private subsidized,235
14514,Private subsidized,272
14523,Private subsidized,354
14526,Private subsidized,294
14527,Private subsidized,147
14534,Private subsidized,127
14537,Private subsidized,258
14538,Private subsidized,222
14541,Private subsidized,137
14552,Private subsidized,174
14565,Private subsidized,121
14568,Private subsidized,136
14594,Private subsidized,138
14605,Private subsidized,278
14608,Private subsidized,313
14614,Private subsidized,237
14629,Private subsidized,444
14641,Private subsidized,148
14642,Private subsidized,146
14670,Private subsidized,266
14671,Private subsidized,235
14673,Private subsidized,133
14674,Private subsidized,283
14687,Private subsidized,160
14697,Municipal,300
14699,Private subsidized,179
14703,Private subsidized,311
14716,Private subsidized,197
14717,Private subsidized,160
14720,Corp. municipal,346
14750,Private subsidized,108
14764,Fully private,226
14770,Private subsidized,266
14773,Private subsidized,129
14782,Private subsidized,131
14783,Private subsidized,338
14788,Private subsidized,130
14790,Private subsidized,220
14818,Private subsidized,180
14822,Private subsidized,225
14825,Private subsidized,146
14856,Private subsidized,221
14866,Private subsidized,301
14868,Private subsidized,143
14877,Municipal,272
14879,Private subsidized,844
14881,Municipal,274
14901,Private subsidized,254
14902,Fully private,114
14912,Private subsidized,349
14913,Private subsidized,122
14923,Private subsidized,169
14952,Fully private,119
15502,Private subsidized,304
15510,Fully private,208
15521,Fully private,226
15534,Fully private,226
15544,Private subsidized,111
15554,Private subsidized,242
15564,Fully private,182
15583,Corp. municipal,399
15600,Private subsidized,198
15601,Private subsidized,230
15610,Private subsidized,201
15621,Private subsidized,144
15624,Private subsidized,391
15627,Private subsidized,121
15633,Private subsidized,132
15646,Private subsidized,809
15657,Private subsidized,278
15662,Private subsidized,440
15664,Private subsidized,438
15676,Private subsidized,310
15683,Private subsidized,258
15684,Private subsidized,119
15690,Private subsidized,260
15700,Private subsidized,272
15720,Municipal,344
15722,Private subsidized,174
15739,Private subsidized,279
15744,Private subsidized,152
15745,Private subsidized,185
15759,Municipal,393
15767,Private subsidized,164
15769,Corp. municipal,146
15775,Private subsidized,169
15781,Municipal,268
15787,Private subsidized,181
15792,Private subsidized,162
15793,Private subsidized,159
15808,Municipal,179
15809,Private subsidized,213
15817,Private subsidized,355
15820,Private subsidized,224
15840,Private subsidized,216
15843,Municipal,582
16410,Private subsidized,195
16415,Private subsidized,461
16417,Private subsidized,832
16424,Municipal,278
16427,Private subsidized,174
16434,Private subsidized,388
16441,Private subsidized,552
16443,Private subsidized,758
16446,Private subsidized,444
16448,Private subsidized,496
16452,Municipal,463
16453,Fully private,118
16467,Private subsidized,350
16469,Municipal,284
16470,Fully private,244
16477,Private subsidized,123
16488,Private subsidized,171
16494,Private subsidized,138
16502,Private subsidized,242
16507,Private subsidized,139
16508,Private subsidized,268
16509,Private subsidized,138
16512,Private subsidized,166
16535,Private subsidized,239
16541,Private subsidized,238
16549,Private subsidized,178
16550,Fully private,112
16551,Municipal,149
16564,Private subsidized,164
16570,Private subsidized,143
16582,Private subsidized,665
16583,Private subsidized,405
16587,Municipal,465
16588,Private subsidized,274
16600,Private subsidized,341
16608,Private subsidized,222
16627,Private subsidized,650
16634,Private subsidized,886
16644,Private subsidized,552
16676,Municipal,208
16678,Private subsidized,298
16697,Private subsidized,550
16716,Municipal,705
16728,Private subsidized,290
16729,Municipal,250
16730,Private subsidized,173
16748,Municipal,225
16749,Private subsidized,208
16751,Municipal,407
16754,Municipal,298
16756,Private subsidized,138
16793,Private subsidized,393
16807,Private subsidized,177
16830,Private subsidized,156
16843,Private subsidized,774
16844,Private subsidized,440
16886,Private subsidized,271
16923,Private subsidized,138
16932,Private subsidized,142
16985,Corp. municipal,194
17600,Private subsidized,710
17605,Private subsidized,328
17606,Fully private,387
17607,Private subsidized,281
17635,Private subsidized,529
17652,Private subsidized,176
17657,Private subsidized,351
17662,SLEP,560
17687,Private subsidized,318
17703,Private subsidized,306
17708,Private subsidized,115
17719,Private subsidized,153
17725,Private subsidized,174
17728,Private subsidized,122
17735,Private subsidized,234
17736,Private subsidized,290
17750,Private subsidized,929
17765,Private subsidized,330
17772,Private subsidized,598
17778,Private subsidized,363
17779,Private subsidized,157
17782,Municipal,191
17788,Private subsidized,509
17790,Municipal,454
17793,Private subsidized,305
17794,Private subsidized,804
17800,Private subsidized,302
17810,Private subsidized,178
17812,Private subsidized,349
17817,Private subsidized,116
17818,Private subsidized,557
17833,Private subsidized,653
17838,Private subsidized,314
17843,Private subsidized,625
17848,Private subsidized,151
17850,Private subsidized,597
17854,Private subsidized,114
17855,Private subsidized,274
17857,Private subsidized,361
17858,Private subsidized,256
17859,Private subsidized,429
17876,Private subsidized,279
17877,Private subsidized,352
17879,Private subsidized,311
17885,Municipal,879
17895,Private subsidized,325
17900,Private subsidized,142
17902,Private subsidized,176
17903,Private subsidized,153
17907,Private subsidized,310
17908,Private subsidized,352
17912,Private subsidized,323
17915,Private subsidized,224
17918,Private subsidized,372
17920,Private subsidized,328
18004,Municipal,577
18007,Fully private,275
18017,SLEP,192
18028,Private subsidized,296
18034,Private subsidized,301
18049,Private subsidized,321
18050,Private subsidized,137
18066,Private subsidized,546
18080,Municipal,372
18087,Private subsidized,154
18097,Private subsidized,485
18114,Private subsidized,135
18124,Private subsidized,139
18128,Private subsidized,151
18172,Private subsidized,312
18181,Private subsidized,304
18199,Private subsidized,269
18218,Municipal,165
18220,Private subsidized,166
18237,Private subsidized,327
18251,Private subsidized,137
19906,Municipal,810
19908,Fully private,233
19913,Municipal,369
19921,Private subsidized,137
19925,Private subsidized,293
19952,Private subsidized,291
19968,Private subsidized,170
19974,Private subsidized,352
19981,Private subsidized,123
19983,Private subsidized,330
20025,Municipal,280
20037,Private subsidized,201
20048,Private subsidized,296
20052,Private subsidized,199
20068,Private subsidized,112
20074,Private subsidized,135
20090,Private subsidized,136
20091,Fully private,262
20103,Municipal,265
20129,Private subsidized,210
20137,Private subsidized,327
20139,Private subsidized,287
20159,Private subsidized,829
20167,Private subsidized,295
20173,Private subsidized,326
20181,Private subsidized,181
20205,Private subsidized,135
20213,Private subsidized,139
20235,Fully private,266
20248,SLEP,152
20258,Private subsidized,363
20266,Municipal,284
20274,Private subsidized,164
20290,Private subsidized,235
20324,Private subsidized,140
20348,Private subsidized,189
20352,Private subsidized,425
20364,Private subsidized,349
20376,Municipal,182
20441,Fully private,165
20461,Private subsidized,281
20466,Private subsidized,253
20478,Private subsidized,655
20513,Fully private,172
22007,Private subsidized,218
22012,SLEP,245
22014,Private subsidized,121
22021,Municipal,268
22022,SLEP,425
22024,Private subsidized,187
22027,Municipal,307
22050,Municipal,217
22065,Private subsidized,359
22113,Municipal,269
22114,Private subsidized,301
22140,Private subsidized,877
22144,Fully private,202
22155,Private subsidized,136
22177,Fully private,121
22191,Private subsidized,344
22192,Private subsidized,313
22200,Private subsidized,231
22211,Private subsidized,126
22231,Fully private,194
22236,Private subsidized,261
22262,Private subsidized,194
22271,Private subsidized,336
22309,SLEP,221
22330,Private subsidized,111
22351,Private subsidized,315
22356,Private subsidized,258
22358,Private subsidized,163
22372,Private subsidized,120
22397,Private subsidized,242
22410,Private subsidized,294
22434,Private subsidized,701
22436,Private subsidized,470
22459,Private subsidized,150
22461,Private subsidized,184
22462,Private subsidized,210
22464,Corp. municipal,416
22478,Private subsidized,505
22483,Corp. municipal,522
22494,Private subsidized,617
22499,Private subsidized,497
22504,Corp. municipal,258
22506,Fully private,198
22516,Private subsidized,400
22540,Municipal,388
22542,Private subsidized,165
22543,Municipal,636
22544,Municipal,310
22553,Municipal,506
22560,Private subsidized,252
22564,Private subsidized,391
22597,Private subsidized,253
22602,Private subsidized,124
22609,Private subsidized,218
22626,Municipal,274
22629,Private subsidized,177
22634,Private subsidized,241
22655,Municipal,272
22664,Municipal,356
22672,Private subsidized,124
22674,Corp. municipal,210
22691,Municipal,464
22692,Private subsidized,174
22702,Private subsidized,216
22752,Private subsidized,466
22755,Municipal,334
22758,Municipal,150
24201,SLEP,204
24203,SLEP,191
24204,SLEP,153
24206,Private subsidized,298
24207,Private subsidized,329
24212,Private subsidized,247
24213,Private subsidized,121
24224,Private subsidized,309
24230,Private subsidized,252
24240,SLEP,278
24300,SLEP,332
24303,Fully private,144
24305,Private subsidized,152
24307,SLEP,419
24316,SLEP,370
24317,Private subsidized,125
24319,Fully private,139
24327,Private subsidized,345
24329,Private subsidized,444
24338,Private subsidized,136
24403,Municipal,224
24407,Private subsidized,197
24409,Fully private,176
24410,Private subsidized,357
24423,Private subsidized,295
24426,Private subsidized,252
24427,Private subsidized,355
24438,Private subsidized,166
24443,Corp. municipal,245
24444,Corp. municipal,233
24446,Private subsidized,372
24448,Private subsidized,134
24459,Private subsidized,287
24473,Private subsidized,511
24482,Private subsidized,1344
24486,Private subsidized,191
24496,Private subsidized,332
24498,Private subsidized,171
24623,Private subsidized,339
24624,Fully private,508
24626,Private subsidized,1169
24638,Municipal,393
24648,Private subsidized,318
24652,Private subsidized,354
24670,Fully private,108
24675,Private subsidized,126
24685,Private subsidized,1171
24686,Private subsidized,563
24713,Private subsidized,324
24714,Private subsidized,119
24715,Fully private,119
24717,Private subsidized,240
24721,Corp. municipal,141
24730,Private subsidized,140
24733,Private subsidized,647
24756,Private subsidized,307
24759,Private subsidized,124
24761,Fully private,249
24766,Private subsidized,142
24769,Private subsidized,230
24790,Private subsidized,131
24798,Fully private,128
24800,Private subsidized,158
24812,Private subsidized,228
24826,Fully private,198
24828,Private subsidized,477
24836,Fully private,229
24843,Private subsidized,307
24864,Private subsidized,241
24878,Private subsidized,1208
24884,Fully private,370
24885,Private subsidized,743
24889,SLEP,280
24894,Private subsidized,175
24898,Private subsidized,236
24903,Private subsidized,274
24908,Fully private,370
24912,Fully private,126
24927,Fully private,490
24944,Fully private,178
24946,Private subsidized,936
24956,Private subsidized,205
24963,Private subsidized,144
24976,Fully private,218
24977,Fully private,330
24978,Private subsidized,1092
24979,Fully private,266
24986,Fully private,204
24988,Fully private,182
25001,Fully private,318
25012,Private subsidized,479
25026,Private subsidized,269
25027,Private subsidized,264
25028,Private subsidized,232
25032,Private subsidized,387
25038,Private subsidized,140
25048,Fully private,264
25050,Private subsidized,230
25055,Fully private,370
25059,Private subsidized,310
25061,Private subsidized,178
25065,Fully private,870
25070,Private subsidized,169
25071,Private subsidized,238
25082,Private subsidized,226
25084,Private subsidized,171
25091,Private subsidized,630
25094,Private subsidized,137
25101,Private subsidized,419
25114,Private subsidized,412
25121,Private subsidized,339
25127,Fully private,112
25132,Private subsidized,387
25136,Private subsidized,272
25138,Private subsidized,149
25143,Fully private,398
25153,Private subsidized,557
25166,Private subsidized,291
25171,Private subsidized,216
25172,Fully private,507
25185,Private subsidized,292
25196,Private subsidized,234
25198,Private subsidized,527
25202,Fully private,464
25215,Private subsidized,467
25218,Private subsidized,353
25220,Private subsidized,294
25223,Private subsidized,323
25238,Private subsidized,287
25249,Fully private,194
25250,Private subsidized,232
25256,Private subsidized,315
25258,Private subsidized,179
25265,Private subsidized,247
25269,Private subsidized,125
25278,Fully private,117
25282,Private subsidized,474
25303,Private subsidized,136
25304,Private subsidized,522
25310,Fully private,234
25328,Private subsidized,225
25329,Fully private,320
25332,Fully private,125
25342,Private subsidized,273
25347,Private subsidized,238
25348,Fully private,301
25349,Private subsidized,264
25352,Private subsidized,768
25366,Fully private,160
25367,Private subsidized,343
25368,Private subsidized,429
25369,Private subsidized,1202
25371,Private subsidized,702
25382,Private subsidized,134
25386,Private subsidized,458
25387,Private subsidized,555
25389,Private subsidized,614
25393,Private subsidized,201
25395,Private subsidized,202
25396,Private subsidized,736
25402,Private subsidized,329
25418,Private subsidized,453
25434,Private subsidized,255
25439,Private subsidized,878
25442,Private subsidized,287
25448,Private subsidized,826
25452,Fully private,163
25458,Private subsidized,481
25462,Private subsidized,200
25464,Private subsidized,620
25471,Private subsidized,161
25475,Private subsidized,187
25477,Fully private,240
25478,Fully private,482
25481,Private subsidized,302
25482,Private subsidized,119
25487,Fully private,480
25496,Private subsidized,1357
25501,Private subsidized,333
25508,Private subsidized,130
25509,Private subsidized,279
25514,SLEP,219
25520,Private subsidized,334
25523,Private subsidized,387
25526,Private subsidized,344
25540,Private subsidized,290
25541,Private subsidized,158
25542,Private subsidized,369
25550,Private subsidized,378
25556,Private subsidized,193
25557,Private subsidized,275
25558,Private subsidized,241
25562,Private subsidized,327
25571,Private subsidized,256
25577,Private subsidized,192
25580,Private subsidized,325
25589,Private subsidized,144
25591,Corp. municipal,860
25592,Corp. municipal,164
25599,Private subsidized,305
25602,Fully private,117
25613,Private subsidized,330
25615,Private subsidized,156
25640,Fully private,261
25644,Private subsidized,237
25645,Private subsidized,1331
25650,Fully private,640
25654,Fully private,626
25655,Private subsidized,224
25669,Fully private,214
25675,Fully private,290
25676,Private subsidized,492
25693,Private subsidized,173
25695,Private subsidized,266
25697,Private subsidized,121
25700,Private subsidized,282
25703,Private subsidized,192
25704,Private subsidized,293
25709,Private subsidized,300
25711,Municipal,248
25713,Private subsidized,159
25714,Private subsidized,238
25716,Private subsidized,291
25717,Private subsidized,498
25722,Private subsidized,256
25724,Fully private,271
25725,Private subsidized,290
25727,Private subsidized,455
25737,Private subsidized,190
25739,Private subsidized,389
25749,Private subsidized,820
25751,Private subsidized,350
25766,Private subsidized,505
25770,Corp. municipal,952
25779,Private subsidized,375
25781,Private subsidized,485
25785,Fully private,144
25790,Private subsidized,121
25795,Private subsidized,316
25798,Private subsidized,178
25804,Private subsidized,442
25814,Private subsidized,119
25818,Private subsidized,642
25824,Private subsidized,640
25825,Fully private,136
25829,Private subsidized,309
25842,Fully private,180
25843,Private subsidized,265
25850,Private subsidized,164
25852,Fully private,273
25853,Private subsidized,799
25855,Corp. municipal,746
25865,Private subsidized,179
25882,Private subsidized,262
25885,Private subsidized,305
25894,Private subsidized,161
25895,Private subsidized,341
25899,Private subsidized,296
25916,Private subsidized,274
25919,Private subsidized,140
25921,Private subsidized,144
25922,Private subsidized,295
25926,Private subsidized,530
25929,Private subsidized,283
25936,Private subsidized,167
25944,Private subsidized,216
25950,Private subsidized,171
25960,Corp. municipal,291
25961,Private subsidized,472
25969,Private subsidized,721
25984,Private subsidized,134
25988,Private subsidized,419
25995,Private subsidized,545
25999,Private subsidized,944
26001,Private subsidized,474
26006,Private subsidized,151
26012,Private subsidized,355
26017,Private subsidized,156
26028,Fully private,123
26033,Private subsidized,515
26035,Private subsidized,328
26037,Municipal,426
26045,Private subsidized,241
26046,Fully private,359
26053,Private subsidized,384
26080,Fully private,161
26083,Private subsidized,195
26092,Private subsidized,243
26094,Private subsidized,207
26110,Private subsidized,357
26115,Private subsidized,507
26117,Private subsidized,241
26135,Private subsidized,504
26150,Private subsidized,126
26155,Fully private,249
26157,Corp. municipal,306
26168,Private subsidized,280
26219,Private subsidized,206
26238,Fully private,244
26254,Private subsidized,170
26260,Private subsidized,451
26268,Fully private,199
26269,Private subsidized,308
26272,Fully private,239
26292,Corp. municipal,585
26303,Private subsidized,266
26311,Fully private,146
26333,Corp. municipal,238
26335,Fully private,433
26362,Private subsidized,234
26365,Private subsidized,449
26367,Private subsidized,420
26368,Private subsidized,155
26372,Private subsidized,239
26378,Private subsidized,155
26379,Private subsidized,287
26381,Private subsidized,289
26383,Private subsidized,181
26384,Private subsidized,126
26399,Fully private,295
26405,Private subsidized,527
26411,Private subsidized,247
26416,Private subsidized,208
26436,Private subsidized,791
26454,Private subsidized,339
26465,Private subsidized,166
26466,Private subsidized,624
26476,Fully private,607
26482,Fully private,119
26501,SLEP,315
26503,Private subsidized,114
26524,Fully private,196
26538,Private subsidized,784
30001,Private subsidized,156
30003,Private subsidized,308
31010,Municipal,419
31030,Private subsidized,964
31037,Corp. municipal,663
31040,Fully private,116
31052,Private subsidized,160
31064,Private subsidized,261
31065,Corp. municipal,503
31066,Private subsidized,122
31068,Private subsidized,176
31071,Corp. municipal,653
31074,Corp. municipal,619
31078,Corp. municipal,329
31080,Private subsidized,187
31083,Private subsidized,461
31085,Private subsidized,374
31087,Private subsidized,140
31103,Municipal,330
31110,Private subsidized,330
31116,Private subsidized,612
31128,Municipal,265
31153,Corp. municipal,521
31161,Private subsidized,243
31253,Private subsidized,158
31260,Private subsidized,150
31262,Private subsidized,160
31264,Private subsidized,112
31274,Private subsidized,134
31276,Fully private,227
31278,Private subsidized,206
31288,SLEP,196
31290,Private subsidized,205
31293,Corp. municipal,381
31294,Corp. municipal,486
31295,Private subsidized,758
31299,Municipal,341
31327,Private subsidized,771
31340,Private subsidized,595
31342,Private subsidized,171
31343,Corp. municipal,641
31345,Corp. municipal,560
31373,Fully private,121
31378,Private subsidized,331
31379,Private subsidized,169
31387,Fully private,236
31388,Private subsidized,370
31432,Corp. municipal,258
31495,Private subsidized,134
40023,Fully private,301
40024,Municipal,461
40025,Municipal,294
40027,Private subsidized,144
40042,Private subsidized,234
40064,Private subsidized,173
40076,Private subsidized,248
40080,Municipal,467
40099,Municipal,165
40114,Municipal,603
40125,Fully private,208
40126,Municipal,353
40155,Private subsidized,198
40194,Private subsidized,325
40231,Private subsidized,150
40251,Private subsidized,514
40252,Private subsidized,399
40256,Private subsidized,490
40284,Private subsidized,133
40285,Private subsidized,134
40289,Municipal,319
40295,Private subsidized,248
40298,Private subsidized,371
40301,Corp. municipal,518
40305,Private subsidized,176
40310,Private subsidized,199
40316,Private subsidized,132
40319,Private subsidized,306
40320,Private subsidized,456
40340,SLEP,221
40343,Private subsidized,255
40351,Private subsidized,186
40352,Municipal,156
40370,Private subsidized,136
40371,Private subsidized,218
40422,Private subsidized,497
41009,Fully private,196
41109,Fully private,115
41135,Private subsidized,134
41617,Corp. municipal,610
41658,Private subsidized,253
41702,Fully private,197
