selection_rank,conceptual_link,from_key,from_label,to_key,to_label,rss_projection,rss_projection_bootstrap_se,predicted_causal_gain,direct_iv,direct_se,validation_ratio,difference,first_stage_f,n_obs
1,Academic complementarities,math,Math,verbal,Verbal,0.596977287841001,0.0228276068195623,0.565419363927079,0.693813335486063,0.0846123000356799,1.22707742208762,0.128393971558985,2920.06748305931,93980
2,Academic complementarities,verbal,Verbal,math,Math,0.953299315268907,0.0512909592570991,1.08917502552855,0.926441573617716,0.0986574307400396,0.850590173207595,-0.162733451910836,3532.2759438513,92361
3,Academic preparation and access,math,Math,exam,Exam taking,0.134874080097889,0.0139002858818238,0.0634377608023825,0.115017315365051,0.0419564069461606,1.8130733794868,0.0515795545626688,3426.19855187883,135416
4,Academic preparation and access,verbal,Verbal,exam,Exam taking,0.218589988681171,0.0215793418098365,0.102813375303004,0.168445248115447,0.0454922272344697,1.63835928563786,0.065631872812443,4270.87215776615,135418
5,Postsecondary complementarities,highinst,High-premium inst.,highpay,High-premium field,0.130368608207746,0.0357928139219792,0.0923612566536634,0.371065084631908,0.151839496907003,4.01754045014058,0.278703827978245,733.094034122611,94487
6,Postsecondary complementarities,highpay,High-premium field,highinst,High-premium inst.,0.162361599125382,0.043811641379617,0.110634223603962,0.163659313461141,0.0480532364260554,1.47928288489639,0.0530250898571782,3929.78254289902,94487
7,Postsecondary quality and earnings,highinst,High-premium inst.,income,Log income,0.407219500702936,0.0283908192792538,0.342508360490391,0.415709068163778,0.151090279563705,1.21371947700366,0.0732007076733872,733.094034122611,94487
8,Postsecondary quality and earnings,highpay,High-premium field,income,Log income,0.585547865812424,0.0416517158723681,0.492498613553295,0.393918176034081,0.0707658660891763,0.799836111602482,-0.0985804375192138,3929.78254289902,94487
9,Access and financial aid,exam,Exam taking,aid,Fin. aid app.,0.519197270025954,0.0219290099051343,0.289352536513604,0.0704946265483457,0.0461310920045981,0.24362885287868,-0.218857909965259,5216.51336216212,135844
10,Access and financial aid,aid,Fin. aid app.,exam,Exam taking,0.686759494612296,0.0287718940208517,0.323015990295246,0.465549792383001,0.103591972705277,1.44125927622801,0.142533802087755,2576.81243414868,135844
