characteristic,highinst,highpay,language,math,program_income_full
father_educ_years_imputed,+0.114 (0.135),+0.046 (0.071),+0.088 (0.061),+0.146 (0.059),-0.289 (0.089)
female,-0.042 (0.022),+0.018 (0.012),+0.005 (0.010),+0.002 (0.009),+0.014 (0.014)
income_decile_imputed,-0.147 (0.124),+0.121 (0.063),+0.107 (0.054),+0.142 (0.053),-0.326 (0.081)
mother_educ_years_imputed,+0.234 (0.127),+0.152 (0.067),+0.089 (0.058),+0.163 (0.056),-0.179 (0.084)
z_sim_leng_4to,+0.028 (0.045),+0.071 (0.024),+0.018 (0.020),+0.049 (0.020),-0.018 (0.030)
z_sim_mat_4to,-0.007 (0.045),+0.053 (0.024),-0.006 (0.020),+0.025 (0.020),-0.020 (0.029)
