characteristic,highinst,highpay,language,math,program_income_full
father_educ_years_imputed,-0.248 (0.135),-0.301 (0.071),-0.200 (0.061),-0.181 (0.059),-0.535 (0.089)
female,-0.034 (0.022),-0.001 (0.011),-0.012 (0.009),-0.017 (0.009),-0.003 (0.014)
income_decile_imputed,-0.596 (0.124),-0.236 (0.063),-0.193 (0.054),-0.193 (0.053),-0.567 (0.081)
mother_educ_years_imputed,-0.105 (0.127),-0.201 (0.067),-0.219 (0.057),-0.180 (0.056),-0.444 (0.084)
z_sim_leng_4to,-0.030 (0.045),-0.030 (0.024),-0.072 (0.020),-0.043 (0.020),-0.102 (0.030)
z_sim_mat_4to,-0.065 (0.045),-0.046 (0.024),-0.095 (0.020),-0.063 (0.020),-0.098 (0.029)
