outcome_id,outcome,outcome_label,regressor,regressor_label,beta,se,zstat,p_value,n_obs,rc
math_score,z_year_math_max,Math score,d_math_va,Math VA,0.847103056148916,0.0720013730551535,11.7650958614363,5.90592259333823e-32,90906,0
math_score,z_year_math_max,Math score,d_stem_orth_va,STEM VA orthogonal to math,0.0464074280992115,0.0901974639269618,0.51450923428169,0.606896005906131,90906,0
stem_enrollment,stem_enrollment_m1,STEM enrollment,d_math_va,Math VA,-0.0624219331955842,0.0437169330499083,-1.42786624863006,0.153330359927749,92958,0
stem_enrollment,stem_enrollment_m1,STEM enrollment,d_stem_orth_va,STEM VA orthogonal to math,0.678241458706008,0.0673910702914849,10.0642630510604,7.94803346953381e-24,92958,0
