outcome,n,r2,adjusted_r2,partial_r2_achievement,partial_r2_ses,expected_va_sd_raw,key
Math,240007,0.0575290242281397,0.0574976082671476,0.01965898581944,0.0215390321744219,0.0884078522112294,math
Verbal,240007,0.0795813340187866,0.0795506531409134,0.0262422813328523,0.0349741085356468,0.0914242962888999,language
High-premium institution,240007,0.0429719115064086,0.0429400103042821,0.00257951028966067,0.0368976111041455,0.0623226179956637,highinst
High-premium field,240007,0.0433001190314864,0.0432682287697019,0.000209780176939203,0.00597822730844897,0.0534705693536344,highpay
Projected income,240007,0.0983201742764173,0.0982901180317578,0.01281262804185,0.0718693122740154,0.054851856923344,program_income_full
