spec,outcome_group,psi,psi_se,psi_p_value,kappa,kappa_se,kappa_p_value,first_stage_f,n_obs
math_adj_eb,Math,1.18472408542624,0.0968485303398887,2.07777052892728e-34,0.441771933326729,0.00781792113406843,0,3193.1084681911,92361
leng_adj_eb,Verbal,1.01566520812894,0.0976836924002995,2.54550188177775e-25,0.434062552663955,0.00668273546571943,0,4218.86958118574,93980
exam_adj_eb,Exam taking,0.479986015211524,0.0517326065648834,1.72348692471294e-20,0.423557152825332,0.00550012975494133,0,5930.32056982753,135844
highinst_adj_eb,High-premium inst.,0.660091545180492,0.119890985977888,3.67569440202078e-08,0.26844700867563,0.00937326402332593,2.15699964223842e-180,820.229599115404,94487
highpay_adj_eb,High-premium field,0.860633329046065,0.0867329077976656,3.31327353860416e-23,0.474262472533357,0.00725052646649497,0,4278.56799217137,94487
program_income_adj_eb,Program income,1.05682317893206,0.13116028007609,7.78743696712424e-16,0.438534436783439,0.00638902368443344,0,4711.27450708127,94487
anypost_adj_eb,Fin. aid app.,0.58377011343714,0.0975683684179055,2.18808898717236e-09,0.40511875598005,0.00623179039206359,0,4226.09276858144,135844
