spec,outcome_group,beta,se,p_value,p_value_equal_zero,p_value_equal_one,n_obs,fs_beta,fs_se,fs_f
math_adj_eb,Math,1.1971305147393,0.0967330511511217,3.54193049186791e-35,3.54193049186791e-35,0.0415617651330815,92361,0.442487468686541,0.0078346119841868,3189.82580281285
leng_adj_eb,Verbal,1.03056838763086,0.0976913496986914,5.12158058408394e-26,5.12158058408394e-26,0.754350693385145,93980,0.434758927836468,0.00670054037996295,4209.9540976012
exam_adj_eb,Exam taking,0.486494315224912,0.051846394831834,6.38922957594138e-21,6.38922957594138e-21,3.98488290699856e-23,135844,0.423992513723073,0.0055105675781392,5920.02732947154
highinst_adj_eb,High-premium inst.,0.66689516979293,0.119817419766893,2.6076042666955e-08,2.6076042666955e-08,0.00543415726839008,94487,0.268663049145473,0.00937601669966192,821.068015051922
highpay_adj_eb,High-premium field,0.860594740713218,0.086744440862891,3.37236614450626e-23,3.37236614450626e-23,0.108036811738057,94487,0.474262590757946,0.00725053304071739,4278.5623663532
program_income_adj_eb,Program income,1.05976411725328,0.131192126993739,6.58618217237568e-16,6.58618217237568e-16,0.648716106003916,94487,0.43861785935217,0.00638935057075116,4712.58489333835
anypost_adj_eb,Fin. aid app.,0.583965638981312,0.0976335768966082,2.21504038439863e-09,2.21504038439863e-09,2.03349285571234e-05,135844,0.405124359588354,0.00623438979914366,4222.68620807284
