spec,outcome_group,kappa,se,p_value,first_stage_f,n_obs
math_adj_eb,Math,0.442487468686541,0.0078346119841868,0,3189.82580281285,92361
leng_adj_eb,Verbal,0.434758927836468,0.00670054037996295,0,4209.9540976012,93980
exam_adj_eb,Exam taking,0.423992513723073,0.0055105675781392,0,5920.02732947154,135844
highinst_adj_eb,High-premium inst.,0.268663049145473,0.00937601669966192,1.41765010558168e-180,821.068015051922,94487
highpay_adj_eb,High-premium field,0.474262590757946,0.00725053304071739,0,4278.5623663532,94487
program_income_adj_eb,Program income,0.43861785935217,0.00638935057075116,0,4712.58489333835,94487
anypost_adj_eb,Fin. aid app.,0.405124359588354,0.00623438979914366,0,4222.68620807284,135844
