characteristic,highinst,highpay,language,math,program_income_full
father_educ_years_imputed,+0.854 (0.090),+0.321 (0.045),+0.775 (0.071),+0.764 (0.077),+0.740 (0.052)
female,-0.034 (0.015),-0.050 (0.007),+0.045 (0.011),+0.085 (0.012),-0.020 (0.009)
income_decile_imputed,+0.979 (0.083),+0.314 (0.040),+0.653 (0.064),+0.615 (0.069),+0.749 (0.048)
mother_educ_years_imputed,+0.763 (0.084),+0.330 (0.043),+0.871 (0.064),+0.768 (0.069),+0.680 (0.049)
z_sim_leng_4to,+0.136 (0.033),+0.062 (0.015),+0.299 (0.023),+0.325 (0.024),+0.108 (0.018)
z_sim_mat_4to,+0.138 (0.032),+0.084 (0.015),+0.250 (0.022),+0.294 (0.024),+0.140 (0.018)
