characteristic,highinst,highpay,language,math,program_income_full
father_educ_years_imputed,+0.095 (0.089),-0.105 (0.044),-0.078 (0.070),-0.066 (0.075),-0.002 (0.051)
female,-0.041 (0.015),-0.029 (0.007),-0.002 (0.011),+0.004 (0.012),-0.035 (0.009)
income_decile_imputed,-0.025 (0.082),-0.069 (0.039),-0.089 (0.063),-0.139 (0.068),-0.027 (0.047)
mother_educ_years_imputed,+0.054 (0.083),-0.102 (0.042),-0.007 (0.063),-0.098 (0.068),-0.039 (0.049)
z_sim_leng_4to,+0.030 (0.032),-0.034 (0.015),+0.035 (0.022),+0.030 (0.024),-0.043 (0.018)
z_sim_mat_4to,+0.016 (0.032),-0.019 (0.015),-0.005 (0.022),-0.000 (0.023),-0.012 (0.018)
