sae_support_group,n_schools,mean_stem_adj_va,sd_stem_adj_va,p10_stem_adj_va,p25_stem_adj_va,median_stem_adj_va,p75_stem_adj_va,p90_stem_adj_va
SAE support schools (>100 positive-prob students),1004,0.0034326197521507653,0.0625652673373084,-0.060274382865284803,-0.03290506509559041,-0.001918996106038165,0.03144415684432323,0.06868689728949584
Other schools,2699,-0.03980561305616228,0.10064345313692218,-0.15584571672912811,-0.08346016357306901,-0.02895969564407329,0.01678053396864513,0.056246354840104124
