spec,outcome,treatment,instrument,beta,se,zstat,p_value,n_obs,fs_beta,fs_se,fs_f,iv_seconds,fs_seconds,rc
math_unadj,z_year_math_max,d_math_unadj,z_math_unadj,.2083138780379097,.033113819,6.2908444,3.1574315e-10,105902,.45515662,.0068621859,4399.4341,1031.621,175.84801,0
math_adj,z_year_math_max,d_math_adj,z_math_adj,.4307014755247843,.056671441,7.5999737,2.9619075e-14,105893,.45674646,.0075538033,3656.1084,1037.1,174.53101,0
leng_unadj,z_year_leng_max,d_leng_unadj,z_leng_unadj,.1671498929562594,.032018069,5.2204866,1.7845369e-07,105902,.43886983,.0059282137,5480.5454,1047.161,172.97701,0
leng_adj,z_year_leng_max,d_leng_adj,z_leng_adj,.3932765331621337,.062334672,6.309114,2.8063754e-10,105894,.43455288,.0062084645,4899.1064,1038.532,181.005,0
stem_unadj,stem_enrollment_m1,d_stem_unadj,z_stem_unadj,.3449009072113082,.046376754,7.4369354,1.0304797e-13,135588,.4707019,.0058342279,6509.1621,1246.723,206.80499,0
stem_adj,stem_enrollment_m1,d_stem_adj,z_stem_adj,.5840728805285726,.067866892,8.6061535,7.5553163e-18,135588,.45505357,.0063805068,5086.4492,1230.1591,410.96899,0
stem_gap_adj,stem_enrollment_m1,d_stem_gap_adj,z_stem_gap_adj,-.2544529000286094,.07808283,-3.2587559,.0011190185,125672,.44344333,.0062999991,4954.4478,2246.3789,192.85699,0
