school_group,n_schools,mean_stem_adj_va,sd_stem_adj_va,p10_stem_adj_va,p25_stem_adj_va,median_stem_adj_va,p75_stem_adj_va,p90_stem_adj_va
SAE support schools (>100 positive-prob students),1004,0.0034326197521507653,0.0625652673373084,-0.060274382865284803,-0.03290506509559041,-0.001918996106038165,0.03144415684432323,0.06868689728949584
Private paid schools,491,0.0021923463732881157,0.08401427028212106,-0.07900338874681946,-0.03613258977172367,0.0044685359660362,0.04398292804754978,0.08510763938135811
Other schools,2208,-0.04914483320102647,0.10166508102392538,-0.17057023832651017,-0.09519111220551993,-0.03788991120076769,0.008105187387673615,0.047963558996089395
