spec,outcome_group,beta,se,p_value,n_obs,fs_beta,fs_se
math_adj,Math,0.841014281542343,0.0714929652423546,6.0118905853427e-32,90906,0.429634802951322,0.00807887030839906
leng_adj,Language,0.8352905436276,0.0821522944506779,2.76679840418527e-24,92472,0.419561872470496,0.0070026987064919
stem_adj,STEM,0.689219131554392,0.0671687598799186,1.05599446241466e-24,92959,0.445089144964709,0.00801409277345046
