threshold_students_at_risk,school_group,n_schools,n_students,share,pct
100,SAE <100,1491,315261,0.33383561353721036,33.383561353721035
100,SAE >=100,1011,493955,0.5230579440044051,52.30579440044051
100,Particular Pagado,497,87373,0.0925208606887204,9.252086068872039
100,Other non-SAE schools,1134,47771,0.05058558176966411,5.058558176966411
25,SAE <25,530,89266,0.09452539285865559,9.452539285865559
25,SAE >=25,1972,719950,0.7623681646829599,76.23681646829598
25,Particular Pagado,497,87373,0.0925208606887204,9.252086068872039
25,Other non-SAE schools,1134,47771,0.05058558176966411,5.058558176966411
