simce4_math_quintile,theta_math,se_math,theta_language,se_language,theta_stem,se_stem,n_math,n_language,n_stem
Q1,0.144802455775194,0.145177034017531,0.596436769110095,0.179506049280396,0.734599474721429,0.131647077091209,17825,18277,18412
Q2,0.784961152760656,0.132514171765028,0.601163828037915,0.178120288748498,0.48650325782396,0.144300363055506,18055,18436,18552
Q3,0.939876392773516,0.150563603675925,0.928767002280697,0.188145676194562,0.955020162523561,0.152557615692314,18186,18506,18602
Q4,0.771348232227429,0.157697277523206,1.12218644460348,0.182074183512478,0.566869114224557,0.165760487397141,18324,18578,18648
Q5,1.31660837609357,0.166315604600853,0.890705919898565,0.183541755593739,0.70686779683855,0.163440668635909,18516,18675,18745
