field_reclassified_m1,raw_field_reclassified_components,n_area_carrera_generica,n_matriculated_students,unweighted_avg_program_fe_log_clp_centered,weighted_avg_program_fe_log_clp_centered,unweighted_avg_area_only_income_hat_clp,weighted_avg_area_only_income_hat_clp,unweighted_avg_program_fe_percent_vs_center,weighted_avg_program_fe_percent_vs_center
Teaching,Teaching,13,44205,-0.213664644888277,-0.265217479539813,1044826.08517915,990789.7556977,-19.2380821165953,-23.2960883478998
Humanities and Arts,Humanities and Arts,15,23739,-0.260633743075768,-0.237605830256743,995519.23294238,1060292.26175079,-22.9436907993866,-21.1486562014359
Other Healthcare,Health and Welfare | Medicine,16,95597,-0.265180657469223,-0.180083503713604,966983.247979494,1076597.72746692,-23.2932638990497,-16.4799533841209
Social Sciences,Social Sciences,6,34569,-0.0082861267951057,-0.0639190214628844,1413174.61737673,1264688.34501711,-0.825189147114336,-6.19190391210235
Business,Business,20,76409,0.0147321901974355,0.123821832690532,1301041.26333362,1491626.86685302,1.48412437860697,13.1814200743221
"Engineering, Manufacturing and Construction","Engineering, Manufacturing and Construction",45,135290,0.169937664981103,0.224476105425062,1609967.51586699,1695943.33340654,18.5230967622855,25.1666802944478
Law,Law,2,28149,0.034241533710144,0.328537341382725,1404662.79344238,1876782.65120469,3.48345239671428,38.8935104117067
Science,Science,12,42634,0.173370178912035,0.38850059648648,1689554.1676251,1998925.12223909,18.9306279712024,47.4767863143551
Medicine +,Medicine,6,60120,0.435604067000452,0.417667606045488,2192056.78579605,2130918.16172649,54.5896602085081,51.8415878252927
