mifuturo_row_id,model_name,mifuturo_codigo,COD_INST,TIPO_INST_1,NOMB_INST,AREA_CARRERA_GENERICA,NOMB_CARRERA_TITULO,income_4th_year_raw,employment_1st_year,employment_2nd_year,institution_key,carrera_generica_key
1568,institution_plus_carrera_generica,3,3,Universidades,UNIVERSIDAD DIEGO PORTALES,Técnico en Contabilidad Tributaria,Técnico de Nivel Superior en Contabilidad y Derecho Tributario,,0.77,0.872,3 || UNIVERSIDADES || UNIVERSIDAD DIEGO PORTALES,TECNICO EN CONTABILIDAD TRIBUTARIA
504,institution_plus_carrera_generica,10,10,Universidades,UNIVERSIDAD MAYOR,Actuación y Teatro,Teatro,,0.277,,10 || UNIVERSIDADES || UNIVERSIDAD MAYOR,ACTUACION Y TEATRO
609,institution_plus_carrera_generica,10,10,Universidades,UNIVERSIDAD MAYOR,Biotecnología ,Biotecnología ,,0.6,0.576,10 || UNIVERSIDADES || UNIVERSIDAD MAYOR,BIOTECNOLOGIA
1149,institution_plus_carrera_generica,11,11,Universidades,UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO,"Música, Canto o Danza","Danza, Música y Producción Musical",,0.377,0.427,11 || UNIVERSIDADES || UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO,MUSICA CANTO O DANZA
828,institution_plus_carrera_generica,23,23,Universidades,UNIVERSIDAD ADOLFO IBAÑEZ,Ingeniería Civil en Energía,Ingeniería Civil en Energía y Medio Ambiente,,0.797,0.828,23 || UNIVERSIDADES || UNIVERSIDAD ADOLFO IBANEZ,INGENIERIA CIVIL EN ENERGIA
502,institution_plus_carrera_generica,26,26,Universidades,"UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION - UNIACC",Actuación y Teatro,Teatro y Cominucación Escénica,,0.2,0.333,26 || UNIVERSIDADES || UNIVERSIDAD DE ARTES CIENCIAS Y COMUNICACION UNIACC,ACTUACION Y TEATRO
1150,institution_plus_carrera_generica,26,26,Universidades,"UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION - UNIACC","Música, Canto o Danza","Música y Composición, Danza y Coreografía",,0.302,0.424,26 || UNIVERSIDADES || UNIVERSIDAD DE ARTES CIENCIAS Y COMUNICACION UNIACC,MUSICA CANTO O DANZA
1024,institution_plus_carrera_generica,39,39,Universidades,UNIVERSIDAD SAN SEBASTIAN,Ingeniería en Energía,Ingeniería en Energía y Sustentabilidad Ambiental,,0.707,,39 || UNIVERSIDADES || UNIVERSIDAD SAN SEBASTIAN,INGENIERIA EN ENERGIA
567,institution_plus_carrera_generica,69,69,Universidades,UNIVERSIDAD ALBERTO HURTADO,Arqueología,Arqueología,,1,,69 || UNIVERSIDADES || UNIVERSIDAD ALBERTO HURTADO,ARQUEOLOGIA
600,institution_plus_carrera_generica,70,70,Universidades,UNIVERSIDAD DE CHILE,Biología,Licenciatura en Ciencias mención Biología y Biología con Mención en Medio Ambiente,,0.577,0.695,70 || UNIVERSIDADES || UNIVERSIDAD DE CHILE,BIOLOGIA
885,institution_plus_carrera_generica,70,70,Universidades,UNIVERSIDAD DE CHILE,Ingeniería Civil Matemática y Estadística,Ingeniería Civil Matemática,,0.717,0.821,70 || UNIVERSIDADES || UNIVERSIDAD DE CHILE,INGENIERIA CIVIL MATEMATICA Y ESTADISTICA
806,institution_plus_carrera_generica,70,70,Universidades,UNIVERSIDAD DE CHILE,Ingeniería Civil en Biotecnología y/o Bioingeniería,Ingeniería Civil en Biotecnología,,0.725,0.867,70 || UNIVERSIDADES || UNIVERSIDAD DE CHILE,INGENIERIA CIVIL EN BIOTECNOLOGIA Y O BIOINGENIERIA
1151,institution_plus_carrera_generica,70,70,Universidades,UNIVERSIDAD DE CHILE,"Música, Canto o Danza",Interpretación Musical y Danza,,0.456,0.412,70 || UNIVERSIDADES || UNIVERSIDAD DE CHILE,MUSICA CANTO O DANZA
1513,institution_plus_carrera_generica,70,70,Universidades,UNIVERSIDAD DE CHILE,"Química, Licenciado en Química",Química y Licenciatura en Ciencias mención en Química,,0.441,0.535,70 || UNIVERSIDADES || UNIVERSIDAD DE CHILE,QUIMICA LICENCIADO EN QUIMICA
965,institution_plus_carrera_generica,71,71,Universidades,UNIVERSIDAD DE SANTIAGO DE CHILE,Ingeniería en Alimentos,Ingeniería en Alimentos,,0.86,0.797,71 || UNIVERSIDADES || UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA EN ALIMENTOS
1514,institution_plus_carrera_generica,71,71,Universidades,UNIVERSIDAD DE SANTIAGO DE CHILE,"Química, Licenciado en Química",Química y Licenciatura en Química,,0.606,,71 || UNIVERSIDADES || UNIVERSIDAD DE SANTIAGO DE CHILE,QUIMICA LICENCIADO EN QUIMICA
503,institution_plus_carrera_generica,72,72,Universidades,UNIVERSIDAD DE VALPARAISO,Actuación y Teatro,Teatro,,0.241,0.294,72 || UNIVERSIDADES || UNIVERSIDAD DE VALPARAISO,ACTUACION Y TEATRO
601,institution_plus_carrera_generica,72,72,Universidades,UNIVERSIDAD DE VALPARAISO,Biología Marina y Ecología Marina,Biología Marina,,0.69,0.73,72 || UNIVERSIDADES || UNIVERSIDAD DE VALPARAISO,BIOLOGIA MARINA Y ECOLOGIA MARINA
557,institution_plus_carrera_generica,74,74,Universidades,UNIVERSIDAD DE LA SERENA,Analista Químico,Químico Laboratorista,,0.651,,74 || UNIVERSIDADES || UNIVERSIDAD DE LA SERENA,ANALISTA QUIMICO
966,institution_plus_carrera_generica,75,75,Universidades,UNIVERSIDAD DEL BIO-BIO,Ingeniería en Alimentos,Ingeniería en Alimentos,,0.64,0.744,75 || UNIVERSIDADES || UNIVERSIDAD DEL BIO BIO,INGENIERIA EN ALIMENTOS
1152,institution_plus_carrera_generica,78,78,Universidades,UNIVERSIDAD DE TALCA,"Música, Canto o Danza",Interpretación y Docencia Musical,,0.772,0.889,78 || UNIVERSIDADES || UNIVERSIDAD DE TALCA,MUSICA CANTO O DANZA
1611,institution_plus_carrera_generica,78,78,Universidades,UNIVERSIDAD DE TALCA,Técnico en Vitivinicultura y/o Enología,"Tecnología en Vinificación y Enología, y en Viticultura",,0.467,0.378,78 || UNIVERSIDADES || UNIVERSIDAD DE TALCA,TECNICO EN VITIVINICULTURA Y O ENOLOGIA
1341,institution_plus_carrera_generica,82,82,Universidades,UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACION,Pedagogía en Filosofía y Religión,Pedagogía en Filosofía,,0.667,0.735,82 || UNIVERSIDADES || UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACION,PEDAGOGIA EN FILOSOFIA Y RELIGION
597,institution_plus_carrera_generica,83,83,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,Bibliotecología,Bibliotecología,,0.593,0.786,83 || UNIVERSIDADES || UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,BIBLIOTECOLOGIA
964,institution_plus_carrera_generica,84,84,Universidades,UNIVERSIDAD DE LOS LAGOS,Ingeniería en Alimentos,Ingeniería de Ejecución en Alimentos,,0.564,0.689,84 || UNIVERSIDADES || UNIVERSIDAD DE LOS LAGOS,INGENIERIA EN ALIMENTOS
598,institution_plus_carrera_generica,85,85,Universidades,UNIVERSIDAD TECNOLOGICA METROPOLITANA,Bibliotecología,Bibliotecología y Documentación,,0.667,,85 || UNIVERSIDADES || UNIVERSIDAD TECNOLOGICA METROPOLITANA,BIBLIOTECOLOGIA
786,institution_plus_carrera_generica,85,85,Universidades,UNIVERSIDAD TECNOLOGICA METROPOLITANA,Ingeniería Agroindustrial,Ingeniería en Administración Agroindustrial,,0.6,0.734,85 || UNIVERSIDADES || UNIVERSIDAD TECNOLOGICA METROPOLITANA,INGENIERIA AGROINDUSTRIAL
501,institution_plus_carrera_generica,86,86,Universidades,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,Actuación y Teatro,Actuación,,0.273,0.286,86 || UNIVERSIDADES || PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,ACTUACION Y TEATRO
599,institution_plus_carrera_generica,86,86,Universidades,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,Biología,Biología,,0.532,0.586,86 || UNIVERSIDADES || PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,BIOLOGIA
805,institution_plus_carrera_generica,86,86,Universidades,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,Ingeniería Civil en Biotecnología y/o Bioingeniería,Ingeniería Civil en Biotecnología,,0.822,,86 || UNIVERSIDADES || PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,INGENIERIA CIVIL EN BIOTECNOLOGIA Y O BIOINGENIERIA
1148,institution_plus_carrera_generica,86,86,Universidades,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,"Música, Canto o Danza",Música e Intérprete Musical,,0.486,0.621,86 || UNIVERSIDADES || PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,MUSICA CANTO O DANZA
1512,institution_plus_carrera_generica,86,86,Universidades,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,"Química, Licenciado en Química",Química,,0.733,0.694,86 || UNIVERSIDADES || PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,QUIMICA LICENCIADO EN QUIMICA
788,institution_plus_carrera_generica,88,88,Universidades,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,Ingeniería Civil Ambiental,Ingeniería Civil Ambiental,,0.884,0.884,88 || UNIVERSIDADES || UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,INGENIERIA CIVIL AMBIENTAL
886,institution_plus_carrera_generica,88,88,Universidades,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,Ingeniería Civil Matemática y Estadística,Ingeniería Civil Matemática,,0.864,,88 || UNIVERSIDADES || UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,INGENIERIA CIVIL MATEMATICA Y ESTADISTICA
850,institution_plus_carrera_generica,88,88,Universidades,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,Ingeniería Civil en Telemática,Ingeniería Civil Telemática,,0.981,,88 || UNIVERSIDADES || UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,INGENIERIA CIVIL EN TELEMATICA
1579,institution_plus_carrera_generica,88,88,Universidades,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,Técnico en Energía,Técnico Universitario en Energía Renovable,,0.6,,88 || UNIVERSIDADES || UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,TECNICO EN ENERGIA
1598,institution_plus_carrera_generica,88,88,Universidades,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,Técnico en Mecatrónica,Técnico Universitario en Robótica y Mecatrónica,,0.267,0.419,88 || UNIVERSIDADES || UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,TECNICO EN MECATRONICA
1599,institution_plus_carrera_generica,88,88,Universidades,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,Técnico en Medio Ambiente (Control y Gestión),Técnico Universitario en Control Medio Ambiente,,0.333,0.453,88 || UNIVERSIDADES || UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,TECNICO EN MEDIO AMBIENTE CONTROL Y GESTION
1051,institution_plus_carrera_generica,89,89,Universidades,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,Ingeniería en Transporte y Tránsito,Ingeniería en Transporte y Tránsito,,0.878,,89 || UNIVERSIDADES || PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,INGENIERIA EN TRANSPORTE Y TRANSITO
1500,institution_plus_carrera_generica,89,89,Universidades,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,Química Industrial,Química Industrial,,0.682,,89 || UNIVERSIDADES || PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,QUIMICA INDUSTRIAL
1070,institution_plus_carrera_generica,90,90,Universidades,UNIVERSIDAD AUSTRAL DE CHILE,Ingeniería Naval,Ingeniería Naval,,0.875,,90 || UNIVERSIDADES || UNIVERSIDAD AUSTRAL DE CHILE,INGENIERIA NAVAL
787,institution_plus_carrera_generica,91,91,Universidades,UNIVERSIDAD CATOLICA DEL NORTE,Ingeniería Civil Ambiental,Ingeniería Civil Ambiental,,0.889,,91 || UNIVERSIDADES || UNIVERSIDAD CATOLICA DEL NORTE,INGENIERIA CIVIL AMBIENTAL
348,institution_plus_carrera_generica,101,101,Insitutos Profesionales,IP LIBERTADOR DE LOS ANDES,Técnico en Administración de Empresas,Técnico en Administración de Empresas,,0.586,0.607,101 || INSITUTOS PROFESIONALES || IP LIBERTADOR DE LOS ANDES,TECNICO EN ADMINISTRACION DE EMPRESAS
