model_name,effect_type,level,effect_log_clp_raw,effect_log_clp_centered
institution_plus_carrera_generica,carrera,INGENIERIA EN QUIMICA,0.0311033087180574,0.124083737428244
institution_plus_carrera_generica,carrera,INGENIERIA EN RECURSOS HUMANOS,-0.119464869193263,-0.0264844404830762
institution_plus_carrera_generica,carrera,INGENIERIA EN RECURSOS RENOVABLES,-0.0497983437425129,0.0431820849676737
institution_plus_carrera_generica,carrera,INGENIERIA EN REFRIGERACION Y CLIMATIZACION,0.0129468926022798,0.105927321312466
institution_plus_carrera_generica,carrera,INGENIERIA EN SEGURIDAD PRIVADA,0.12336177695665,0.216342205666836
institution_plus_carrera_generica,carrera,INGENIERIA EN SONIDO,-0.269981724582514,-0.177001295872327
institution_plus_carrera_generica,carrera,INGENIERIA EN TELECOMUNICACIONES,0.151097231083098,0.244077659793285
institution_plus_carrera_generica,carrera,INGENIERIA FORESTAL,-0.0342618285142548,0.0587186001959317
institution_plus_carrera_generica,carrera,INGENIERIA INDUSTRIAL,0.183847902304274,0.27682833101446
institution_plus_carrera_generica,carrera,INGENIERIA MARINA Y MARITIMO PORTUARIA,0.544395271567038,0.637375700277224
institution_plus_carrera_generica,carrera,INGENIERIA MECANICA,0.188201362748048,0.281181791458235
institution_plus_carrera_generica,carrera,KINESIOLOGIA,-0.0305670357795391,0.0624133929306475
institution_plus_carrera_generica,carrera,LICENCIATURA EN LETRAS Y LITERATURA,-0.453831423175495,-0.360850994465308
institution_plus_carrera_generica,carrera,MEDICINA,0.952601413704939,1.04558184241513
institution_plus_carrera_generica,carrera,MEDICINA VETERINARIA,-0.0702462625899289,0.0227341661202577
institution_plus_carrera_generica,carrera,NUTRICION Y DIETETICA,-0.220655410890033,-0.127674982179847
institution_plus_carrera_generica,carrera,OBSTETRICIA Y PUERICULTURA,0.129014114323836,0.221994543034022
institution_plus_carrera_generica,carrera,ODONTOLOGIA,0.163955536455945,0.256935965166131
institution_plus_carrera_generica,carrera,PEDAGOGIA EN ARTES Y MUSICA,-0.272765782887756,-0.179785354177569
institution_plus_carrera_generica,carrera,PEDAGOGIA EN CIENCIAS,-0.165733174156095,-0.072752745445908
institution_plus_carrera_generica,carrera,PEDAGOGIA EN EDUCACION BASICA,-0.220476519383329,-0.127496090673143
institution_plus_carrera_generica,carrera,PEDAGOGIA EN EDUCACION DE PARVULOS,-0.33341616394352,-0.240435735233333
institution_plus_carrera_generica,carrera,PEDAGOGIA EN EDUCACION DIFERENCIAL,-0.188654814970748,-0.0956743862605618
institution_plus_carrera_generica,carrera,PEDAGOGIA EN EDUCACION FISICA,-0.270474521514589,-0.177494092804403
institution_plus_carrera_generica,carrera,PEDAGOGIA EN EDUCACION MEDIA,-0.311893565112533,-0.218913136402347
institution_plus_carrera_generica,carrera,PEDAGOGIA EN HISTORIA GEOGRAFIA Y CIENCIAS SOCIALES,-0.235046008598678,-0.142065579888492
institution_plus_carrera_generica,carrera,PEDAGOGIA EN IDIOMAS,-0.296709975789108,-0.203729547078922
institution_plus_carrera_generica,carrera,PEDAGOGIA EN LENGUAJE COMUNICACION Y O CASTELLANO,-0.159331783314398,-0.0663513546042115
institution_plus_carrera_generica,carrera,PEDAGOGIA EN MATEMATICAS Y COMPUTACION,-0.138424672636056,-0.0454442439258698
institution_plus_carrera_generica,carrera,PERIODISMO,-0.128889021374704,-0.0359085926645172
institution_plus_carrera_generica,carrera,PROGRAMAS DE FORMACION PEDAGOGICA,-0.179251262584293,-0.0862708338741063
institution_plus_carrera_generica,carrera,PSICOLOGIA,-0.177391669589786,-0.0844112408795993
institution_plus_carrera_generica,carrera,PSICOPEDAGOGIA,-0.358833971743868,-0.265853543033682
institution_plus_carrera_generica,carrera,PUBLICIDAD,-0.138177012416874,-0.0451965837066873
institution_plus_carrera_generica,carrera,QUIMICA Y FARMACIA,0.428099232189771,0.521079660899958
institution_plus_carrera_generica,carrera,REALIZADOR DE CINE Y TELEVISION,-0.486246952257312,-0.393266523547126
institution_plus_carrera_generica,carrera,RELACIONES PUBLICAS,-0.16861191935749,-0.0756314906473037
institution_plus_carrera_generica,carrera,SECRETARIADO BILINGUE,,
institution_plus_carrera_generica,carrera,SOCIOLOGIA,-0.120595128586146,-0.0276146998759597
institution_plus_carrera_generica,carrera,TECNICO AGROPECUARIO,-0.336873406075448,-0.243892977365262
institution_plus_carrera_generica,carrera,TECNICO ASISTENTE DEL EDUCADOR DE PARVULOS,-0.675911062947243,-0.582930634237056
institution_plus_carrera_generica,carrera,TECNICO ASISTENTE DEL EDUCADOR DIFERENCIAL,-0.670607504894636,-0.577627076184449
institution_plus_carrera_generica,carrera,TECNICO DENTAL Y ASISTENTE DE ODONTOLOGIA,-0.569109565400399,-0.476129136690212
institution_plus_carrera_generica,carrera,TECNICO EN ACUICULTURA Y PESCA,0.0404875418825681,0.133467970592755
institution_plus_carrera_generica,carrera,TECNICO EN ADMINISTRACION DE EMPRESAS,-0.311330465718337,-0.21835003700815
institution_plus_carrera_generica,carrera,TECNICO EN ADMINISTRACION DE RECURSOS HUMANOS Y PERSONAL,-0.273812952828016,-0.180832524117829
institution_plus_carrera_generica,carrera,TECNICO EN ADMINISTRACION DE REDES Y SOPORTE,-0.257929521863956,-0.16494909315377
institution_plus_carrera_generica,carrera,TECNICO EN ADMINISTRACION FINANCIERA Y FINANZAS,-0.141584484803037,-0.0486040560928507
institution_plus_carrera_generica,carrera,TECNICO EN ALIMENTOS,-0.372264745056151,-0.279284316345964
institution_plus_carrera_generica,carrera,TECNICO EN COMERCIO EXTERIOR,-0.210271406262632,-0.117290977552445
institution_plus_carrera_generica,carrera,TECNICO EN COMPUTACION E INFORMATICA,-0.0618598796974558,0.0311205490127308
institution_plus_carrera_generica,carrera,TECNICO EN COMUNICACION AUDIOVISUAL,-0.395652038358405,-0.302671609648218
institution_plus_carrera_generica,carrera,TECNICO EN CONSTRUCCION Y OBRAS CIVILES,-0.244147215953121,-0.151166787242935
institution_plus_carrera_generica,carrera,TECNICO EN CONTABILIDAD GENERAL,-0.162457469570899,-0.0694770408607126
institution_plus_carrera_generica,carrera,TECNICO EN DEPORTE RECREACION Y PREPARACION FISICA,-0.493577878252283,-0.400597449542096
institution_plus_carrera_generica,carrera,TECNICO EN DIBUJO ARQUITECTONICO,-0.320023453861005,-0.227043025150818
institution_plus_carrera_generica,carrera,TECNICO EN DISENO GRAFICO,-0.43308682252734,-0.340106393817153
institution_plus_carrera_generica,carrera,TECNICO EN ELECTRICIDAD Y ELECTRICIDAD INDUSTRIAL,-0.0682701036027513,0.0247103251074352
institution_plus_carrera_generica,carrera,TECNICO EN ELECTROMECANICA,-0.0463456243187793,0.0466348043914073
institution_plus_carrera_generica,carrera,TECNICO EN ELECTRONICA Y ELECTRONICA INDUSTRIAL,-0.208023501991633,-0.115043073281446
institution_plus_carrera_generica,carrera,TECNICO EN ENFERMERIA,-0.460594982570226,-0.36761455386004
institution_plus_carrera_generica,carrera,TECNICO EN FARMACIA,-0.276135639361971,-0.183155210651785
institution_plus_carrera_generica,carrera,TECNICO EN FOTOGRAFIA,,
institution_plus_carrera_generica,carrera,TECNICO EN GASTRONOMIA Y COCINA,-0.560734774149305,-0.467754345439118
institution_plus_carrera_generica,carrera,TECNICO EN GEOLOGIA,-0.32078247002054,-0.227802041310354
institution_plus_carrera_generica,carrera,TECNICO EN GEOMINERIA,-0.218303936734255,-0.125323508024069
institution_plus_carrera_generica,carrera,TECNICO EN INSTRUMENTACION AUTOMATIZACION Y CONTROL INDUSTRIAL,-0.00958012975052803,0.0834002989596586
institution_plus_carrera_generica,carrera,TECNICO EN LABORATORIO CLINICO,-0.461594447942951,-0.368614019232764
institution_plus_carrera_generica,carrera,TECNICO EN LOGISTICA,-0.142759641621254,-0.0497792129110674
institution_plus_carrera_generica,carrera,TECNICO EN MANTENIMIENTO INDUSTRIAL,-0.0165735817292731,0.0764068469809135
institution_plus_carrera_generica,carrera,TECNICO EN MASOTERAPIA,-0.50302737861798,-0.410046949907794
institution_plus_carrera_generica,carrera,TECNICO EN MECANICA AUTOMOTRIZ,-0.207139569926598,-0.114159141216411
institution_plus_carrera_generica,carrera,TECNICO EN MECANICA INDUSTRIAL,-0.0895032278381163,0.00347720087207032
institution_plus_carrera_generica,carrera,TECNICO EN METALURGIA,0.249782196405624,0.34276262511581
institution_plus_carrera_generica,carrera,TECNICO EN MINERIA,0.0333479904225649,0.126328419132751
institution_plus_carrera_generica,carrera,TECNICO EN PELUQUERIA Y ESTETICA,-0.497219574682513,-0.404239145972327
institution_plus_carrera_generica,carrera,TECNICO EN PODOLOGIA,-0.547299123019552,-0.454318694309366
institution_plus_carrera_generica,carrera,TECNICO EN PREVENCION DE RIESGOS,-0.248331018869912,-0.155350590159726
institution_plus_carrera_generica,carrera,TECNICO EN PROCESOS INDUSTRIALES,-0.276484499129698,-0.183504070419511
institution_plus_carrera_generica,carrera,TECNICO EN PRODUCCION GRAFICA Y MULTIMEDIA,-0.487793592796906,-0.394813164086719
institution_plus_carrera_generica,carrera,TECNICO EN QUIMICA ANALISIS E INDUSTRIAL,-0.327915890640516,-0.234935461930329
institution_plus_carrera_generica,carrera,TECNICO EN RADIOLOGIA Y RADIOTERAPIA,-0.437403003750685,-0.344422575040498
institution_plus_carrera_generica,carrera,TECNICO EN REFRIGERACION Y CLIMATIZACION,-0.276484499129698,-0.183504070419511
institution_plus_carrera_generica,carrera,TECNICO EN RELACIONES PUBLICAS,-0.319264437701469,-0.226284008991282
institution_plus_carrera_generica,carrera,TECNICO EN SERVICIO SOCIAL,-0.455346542416727,-0.362366113706541
institution_plus_carrera_generica,carrera,TECNICO EN SONIDO,-0.556412231925233,-0.463431803215047
institution_plus_carrera_generica,carrera,TECNICO EN TELECOMUNICACIONES,-0.253147595472255,-0.160167166762069
institution_plus_carrera_generica,carrera,TECNICO EN TOPOGRAFIA,-0.0574444568892404,0.0355359718209462
institution_plus_carrera_generica,carrera,TECNICO EN TRADUCCION E INTERPRETARIADO,-0.516411198306736,-0.42343076959655
institution_plus_carrera_generica,carrera,TECNICO EN TURISMO Y HOTELERIA,-0.475169968974526,-0.38218954026434
institution_plus_carrera_generica,carrera,TECNICO JURIDICO,-0.37070020888351,-0.277719780173324
institution_plus_carrera_generica,carrera,TECNICO LABORATORISTA DENTAL,-0.485067247491116,-0.392086818780929
institution_plus_carrera_generica,carrera,TECNICO VETERINARIO,-0.552235185552157,-0.459254756841971
institution_plus_carrera_generica,carrera,TECNOLOGIA MEDICA,0.152344446329129,0.245324875039315
institution_plus_carrera_generica,carrera,TERAPIA OCUPACIONAL,-0.133544805876359,-0.0405643771661728
institution_plus_carrera_generica,carrera,TRABAJO SOCIAL,-0.234058039400017,-0.141077610689831
institution_plus_carrera_generica,carrera,TRADUCCION E INTERPRETACION,-0.362375361108666,-0.269394932398479
