model_name,effect_type,level,effect_log_clp_raw,effect_log_clp_centered
institution_plus_carrera_generica,institution,4 || UNIVERSIDADES || UNIVERSIDAD CENTRAL DE CHILE,-0.0896410490477376,0.0397254759742802
institution_plus_carrera_generica,institution,42 || UNIVERSIDADES || UNIVERSIDAD CATOLICA CARDENAL RAUL SILVA HENRIQUEZ,-0.157539707060447,-0.0281731820384292
institution_plus_carrera_generica,institution,426 || CENTROS DE FORMACION TECNICA || CFT ESCUELA DE COMERCIO,-0.197673158788632,-0.0683066337666142
institution_plus_carrera_generica,institution,427 || CENTROS DE FORMACION TECNICA || CFT LAPLACE,-0.222078742332546,-0.0927122173105284
institution_plus_carrera_generica,institution,430 || CENTROS DE FORMACION TECNICA || CFT INACAP,-0.141932225888139,-0.0125657008661207
institution_plus_carrera_generica,institution,435 || CENTROS DE FORMACION TECNICA || CFT DEL MEDIO AMBIENTE,-0.202653776086911,-0.0732872510648929
institution_plus_carrera_generica,institution,45 || UNIVERSIDADES || UNIVERSIDAD DEL DESARROLLO,-0.00369504449423861,0.125671480527779
institution_plus_carrera_generica,institution,450 || CENTROS DE FORMACION TECNICA || CFT LOTA ARAUCO,-0.22239672638766,-0.0930302013656421
institution_plus_carrera_generica,institution,456 || CENTROS DE FORMACION TECNICA || CFT CEDUC UCN,-0.109141010077858,0.0202255149441603
institution_plus_carrera_generica,institution,46 || UNIVERSIDADES || UNIVERSIDAD DE ACONCAGUA,-0.12479465645049,0.00457186857152753
institution_plus_carrera_generica,institution,50 || UNIVERSIDADES || UNIVERSIDAD BERNARDO O HIGGINS,-0.216919241338956,-0.0875527163169379
institution_plus_carrera_generica,institution,536 || CENTROS DE FORMACION TECNICA || CFT DE TARAPACA,-0.169130836114807,-0.0397643110927889
institution_plus_carrera_generica,institution,54 || UNIVERSIDADES || UNIVERSIDAD TECNOLOGICA DE CHILE INACAP,-0.207306673127522,-0.0779401481055042
institution_plus_carrera_generica,institution,629 || CENTROS DE FORMACION TECNICA || CFT PUCV,-0.181785191205046,-0.0524186661830281
institution_plus_carrera_generica,institution,633 || CENTROS DE FORMACION TECNICA || CFT TEODORO WICKEL KLUWEN,-0.294293979068812,-0.164927454046794
institution_plus_carrera_generica,institution,676 || INSITUTOS PROFESIONALES || IP INSTITUTO INTERNACIONAL DE ARTES CULINARIAS Y SERVICIOS,-0.0776578163365312,0.0517087086854867
institution_plus_carrera_generica,institution,69 || UNIVERSIDADES || UNIVERSIDAD ALBERTO HURTADO,-0.114402480607873,0.0149640444141445
institution_plus_carrera_generica,institution,7 || UNIVERSIDADES || UNIVERSIDAD BOLIVARIANA,-0.160823245969912,-0.0314567209478941
institution_plus_carrera_generica,institution,70 || UNIVERSIDADES || UNIVERSIDAD DE CHILE,0.0678302272394764,0.197196752261494
institution_plus_carrera_generica,institution,701 || CENTROS DE FORMACION TECNICA || CFT MANPOWER,-0.418416725017787,-0.289050199995769
institution_plus_carrera_generica,institution,71 || UNIVERSIDADES || UNIVERSIDAD DE SANTIAGO DE CHILE,-0.0250694442243097,0.104297080797708
institution_plus_carrera_generica,institution,72 || UNIVERSIDADES || UNIVERSIDAD DE VALPARAISO,-0.0812690066431103,0.0480975183789076
institution_plus_carrera_generica,institution,73 || UNIVERSIDADES || UNIVERSIDAD DE ANTOFAGASTA,-0.00925975109682422,0.120106773925194
institution_plus_carrera_generica,institution,730 || CENTROS DE FORMACION TECNICA || CFT ESCUELA CULINARIA FRANCESA,0.0422345905744871,0.171601115596505
institution_plus_carrera_generica,institution,74 || UNIVERSIDADES || UNIVERSIDAD DE LA SERENA,-0.160960232402705,-0.0315937073806874
institution_plus_carrera_generica,institution,75 || UNIVERSIDADES || UNIVERSIDAD DEL BIO BIO,-0.18476694190528,-0.0554004168832618
institution_plus_carrera_generica,institution,76 || UNIVERSIDADES || UNIVERSIDAD DE LA FRONTERA,-0.16490711496155,-0.0355405899395322
institution_plus_carrera_generica,institution,77 || UNIVERSIDADES || UNIVERSIDAD DE MAGALLANES,-0.0895789402859507,0.0397875847360672
institution_plus_carrera_generica,institution,78 || UNIVERSIDADES || UNIVERSIDAD DE TALCA,-0.119165663727256,0.010200861294762
institution_plus_carrera_generica,institution,79 || UNIVERSIDADES || UNIVERSIDAD DE ATACAMA,-0.0145903642119025,0.114776160810115
institution_plus_carrera_generica,institution,80 || UNIVERSIDADES || UNIVERSIDAD DE TARAPACA,-0.146750994314316,-0.0173844692922982
institution_plus_carrera_generica,institution,81 || UNIVERSIDADES || UNIVERSIDAD ARTURO PRAT,-0.113314620378303,0.0160519046437146
institution_plus_carrera_generica,institution,82 || UNIVERSIDADES || UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACION,-0.072940056779529,0.0564264682424889
institution_plus_carrera_generica,institution,83 || UNIVERSIDADES || UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,-0.192554063614373,-0.0631875385923547
institution_plus_carrera_generica,institution,84 || UNIVERSIDADES || UNIVERSIDAD DE LOS LAGOS,-0.205978798593281,-0.0766122735712631
institution_plus_carrera_generica,institution,85 || UNIVERSIDADES || UNIVERSIDAD TECNOLOGICA METROPOLITANA,-0.0506771488584709,0.078689376163547
institution_plus_carrera_generica,institution,86 || UNIVERSIDADES || PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,0.0634833114578241,0.192849836479842
institution_plus_carrera_generica,institution,87 || UNIVERSIDADES || UNIVERSIDAD DE CONCEPCION,-0.10494297180478,0.0244235532172374
institution_plus_carrera_generica,institution,88 || UNIVERSIDADES || UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,-0.0135290548137826,0.115837470208235
institution_plus_carrera_generica,institution,89 || UNIVERSIDADES || PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,-0.122539935142389,0.00682658987962886
institution_plus_carrera_generica,institution,9 || UNIVERSIDADES || UNIVERSIDAD DEL ALBA,-0.148213728665734,-0.0188472036437158
institution_plus_carrera_generica,institution,90 || UNIVERSIDADES || UNIVERSIDAD AUSTRAL DE CHILE,-0.119887978879352,0.00947854614266604
institution_plus_carrera_generica,institution,91 || UNIVERSIDADES || UNIVERSIDAD CATOLICA DEL NORTE,-0.00793580267306084,0.121430722348957
institution_plus_carrera_generica,institution,92 || UNIVERSIDADES || UNIVERSIDAD CATOLICA DEL MAULE,-0.15596058737577,-0.0265940623537519
institution_plus_carrera_generica,institution,93 || UNIVERSIDADES || UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION,-0.221582789530617,-0.0922162645085993
institution_plus_carrera_generica,institution,94 || UNIVERSIDADES || UNIVERSIDAD CATOLICA DE TEMUCO,-0.155074836600269,-0.0257083115782512
institution_plus_carrera_generica,institution,99 || INSITUTOS PROFESIONALES || IP AGRARIO ADOLFO MATTHEI,-0.141279171901542,-0.0119126468795236
