enrollment_measure,n_enrolled_students,n_unique_cod_sies,n_unique_inst_area,n_program_info_found,n_fe_level_supported,n_fe_estimable,share_fe_estimable,n_area_level_supported,n_area_estimable,share_area_estimable,n_institution_level_supported,n_institution_estimable,share_institution_estimable,n_hier_two_way_fe,n_hier_area_generica_fe,n_hier_institution_fe,n_hier_global_mean,n_hier_complete,share_hier_complete,mean_fe_income_clp,median_fe_income_clp,mean_area_income_clp,median_area_income_clp,mean_institution_income_clp,median_institution_income_clp,mean_hier_income_clp,median_hier_income_clp
first_enrollment,628147,9325,2867,628147,440850,440838,0.70180706108602,587579,587579,0.935416391386093,474332,474332,0.755128974587159,440838,146741,33482,7086,628147,1,1564578.90573176,1426070.41114077,1482725.42528812,1381581.98130967,1509437.39592095,1595374.62639613,1494427.01455864,1383139.14922945
last_enrollment,628147,9320,2879,628147,437368,437351,0.696255812731733,590644,590644,0.940295822474675,467597,467597,0.744406962064612,437351,153293,30229,7274,628147,1,1552980.16155372,1393322.3133251,1471585.33208999,1350470.33989289,1501799.14250182,1567846.62593857,1482885.04369847,1368177.36603361
