field_reclassified_m1,raw_field_reclassified_m1,n_area_carrera_generica_in_field,rank_group,rank_within_field,area_carrera_generica,program_fe_log_clp_centered,program_fe_percent_vs_center,program_fe_log_clp_raw,n_matriculated_students,n_area_fe_estimable_students,area_only_income_hat_clp_weighted,area_only_log_income_hat_clp_weighted,dominant_field_n_students,dominant_field_share_within_area,field_reclassified_distribution
Medicine +,Medicine,6,bottom_3_within_field,3,ODONTOLOGIA,0.256935965166131,29.296232948046,0.163955536455945,7463,7463,1764250.74749208,14.3770315962592,7463,1,Medicine (100.0%)
Other Healthcare,Medicine,16,top_3_within_field,1,KINESIOLOGIA,0.0624133929306475,6.4402270164587,-0.0305670357795391,15697,15697,1385663.07679958,14.1354842825565,15697,1,Medicine (100.0%)
Other Healthcare,Health and Welfare,16,top_3_within_field,2,MEDICINA VETERINARIA,0.0227341661202577,2.29945567857173,-0.0702462625899289,11441,11441,1331265.56290353,14.0954355425234,11441,1,Health and Welfare (100.0%)
Other Healthcare,Medicine,16,top_3_within_field,3,TERAPIA OCUPACIONAL,-0.0405643771661728,-3.97526554813287,-0.133544805876359,7905,7905,1240208.22234037,14.0245847884342,7905,1,Medicine (100.0%)
Other Healthcare,Medicine,16,bottom_3_within_field,1,TECNICO DENTAL Y ASISTENTE DE ODONTOLOGIA,-0.476129136690212,-37.8816740482425,-0.569109565400399,4557,4557,736882.25893538,13.5039783449057,4557,1,Medicine (100.0%)
Other Healthcare,Health and Welfare,16,bottom_3_within_field,2,TECNICO VETERINARIO,-0.459254756841971,-36.8245719328448,-0.552235185552157,3177,3177,754668.260650733,13.5278284855125,3177,1,Health and Welfare (100.0%)
Other Healthcare,Medicine,16,bottom_3_within_field,3,TECNICO EN PODOLOGIA,-0.454318694309366,-36.5119631759133,-0.547299123019552,486,486,754668.260650734,13.5278284855125,486,1,Medicine (100.0%)
Science,Science,12,top_3_within_field,1,INGENIERIA CIVIL EN COMPUTACION E INFORMATICA,0.664108609204287,94.2757992678529,0.571128180494101,11320,11320,2671847.40132162,14.7920756454319,11320,1,Science (100.0%)
Science,Science,12,top_3_within_field,2,INGENIERIA EN MATEMATICA Y ESTADISTICA,0.66244389542571,93.9526547141899,0.569463466715524,418,418,2767116.9557193,14.8271114696427,418,1,Science (100.0%)
Science,Science,12,top_3_within_field,3,GEOLOGIA,0.615981854675677,85.1473585401053,0.52300142596549,2292,2292,2601980.01800607,14.765578202258,2292,1,Science (100.0%)
Science,Science,12,bottom_3_within_field,1,TECNICO EN QUIMICA ANALISIS E INDUSTRIAL,-0.234935461930329,-20.9378126808228,-0.327915890640516,263,263,1089064.58242374,13.8946246482023,263,1,Science (100.0%)
Science,Science,12,bottom_3_within_field,2,TECNICO EN GEOLOGIA,-0.227802041310354,-20.3718124849128,-0.32078247002054,124,124,955913.130157586,13.7642172635767,124,1,Science (100.0%)
Science,Science,12,bottom_3_within_field,3,TECNICO EN ADMINISTRACION DE REDES Y SOPORTE,-0.16494909315377,-15.2063131218991,-0.257929521863956,352,352,1097245.51588447,13.9021084645647,352,1,Science (100.0%)
Social Sciences,Social Sciences,6,top_3_within_field,1,ANTROPOLOGIA,0.137704509566931,14.763638459425,0.0447240808567447,1105,1105,1648028.38303344,14.3088851557256,1105,1,Social Sciences (100.0%)
Social Sciences,Social Sciences,6,top_3_within_field,2,CIENCIAS POLITICAS,0.100291900457903,10.5493565060805,0.00731147174771636,1003,1003,1525358.59862638,14.2315350307292,1003,1,Social Sciences (100.0%)
Social Sciences,Social Sciences,6,top_3_within_field,3,SOCIOLOGIA,-0.0276146998759597,-2.72368996526043,-0.120595128586146,1501,1501,1381581.98130967,14.1325347075366,1501,1,Social Sciences (100.0%)
Social Sciences,Social Sciences,6,bottom_3_within_field,1,GEOGRAFIA,-0.139778637375392,-13.044929987902,-0.232759066085579,489,489,1358402.86917131,14.1156151504146,489,1,Social Sciences (100.0%)
Social Sciences,Social Sciences,6,bottom_3_within_field,2,PSICOLOGIA,-0.0844112408795993,-8.09467738873441,-0.177391669589786,26016,26016,1215205.53222668,14.0042187264849,26016,1,Social Sciences (100.0%)
Social Sciences,Social Sciences,6,bottom_3_within_field,3,PERIODISMO,-0.0359085926645172,-3.52715272878975,-0.128889021374704,4313,4313,1350470.33989289,14.109758433366,4313,1,Social Sciences (100.0%)
Teaching,Teaching,13,top_3_within_field,1,PEDAGOGIA EN MATEMATICAS Y COMPUTACION,-0.0454442439258698,-4.44271199209931,-0.138424672636056,1585,1585,1283387.45126408,14.0588085302308,1585,1,Teaching (100.0%)
Teaching,Teaching,13,top_3_within_field,2,PEDAGOGIA EN LENGUAJE COMUNICACION Y O CASTELLANO,-0.0663513546042115,-6.41979918217567,-0.159331783314398,2640,2640,1188922.54414584,13.9823529735632,2640,1,Teaching (100.0%)
Teaching,Teaching,13,top_3_within_field,3,PEDAGOGIA EN CIENCIAS,-0.072752745445908,-7.01692935176664,-0.165733174156095,1199,1199,1235391.80682746,14.0206936739301,1199,1,Teaching (100.0%)
Teaching,Teaching,13,bottom_3_within_field,1,TECNICO ASISTENTE DEL EDUCADOR DE PARVULOS,-0.582930634237056,-44.1740088727666,-0.675911062947243,7681,7681,675666.991261811,13.4172505608811,7681,1,Teaching (100.0%)
Teaching,Teaching,13,bottom_3_within_field,2,TECNICO ASISTENTE DEL EDUCADOR DIFERENCIAL,-0.577627076184449,-43.8771459689966,-0.670607504894636,2838,2838,654045.825897284,13.3847276418718,2838,1,Teaching (100.0%)
Teaching,Teaching,13,bottom_3_within_field,3,PSICOPEDAGOGIA,-0.265853543033682,-23.3448613929176,-0.358833971743868,2133,2133,911415.523756792,13.7165491342438,2133,1,Teaching (100.0%)
