cohort_gr8,outcome,n_nonmissing,mean
2019,remain_high_premium_field_y2,0,
2019,remain_high_premium_field_y3,0,
2019,remain_high_premium_institution_continuous_through_y2,0,
2019,remain_high_premium_institution_continuous_through_y3,0,
2019,remain_high_premium_institution_y1,20893,0.9004451251615374
2019,remain_high_premium_institution_y2,0,
2019,remain_high_premium_institution_y3,0,
2019,same_area_generica_continuous_through_y2,0,
2019,same_area_generica_continuous_through_y3,0,
2019,same_area_generica_y1,86535,0.8375339458022766
2019,same_area_generica_y2,0,
2019,same_area_generica_y3,0,
2019,same_institution_continuous_through_y2,0,
2019,same_institution_continuous_through_y3,0,
2019,same_institution_y1,86535,0.8560582423296932
2019,same_institution_y2,0,
2019,same_institution_y3,0,
2019,same_program_continuous_through_y2,0,
2019,same_program_continuous_through_y3,0,
2019,same_program_y1,86535,0.8006355809787947
2019,same_program_y2,0,
2019,same_program_y3,0,
2020,entered_and_persist_continuous_through_y2,0,
2020,entered_and_persist_continuous_through_y3,0,
2020,entered_and_persist_y1,0,
2020,entered_and_persist_y2,0,
2020,entered_and_persist_y3,0,
2020,he_enrolled_entry,240066,0.385660609998917
2020,he_enrolled_y1,0,
2020,he_enrolled_y2,0,
2020,he_enrolled_y3,0,
2020,high_premium_field_y1,0,
2020,high_premium_field_y2,0,
2020,high_premium_field_y3,0,
2020,high_premium_institution_y1,0,
2020,high_premium_institution_y2,0,
2020,high_premium_institution_y3,0,
2020,persist_continuous_through_y2,0,
2020,persist_continuous_through_y3,0,
2020,persist_from_entry_y1,0,
2020,persist_from_entry_y2,0,
2020,persist_from_entry_y3,0,
2020,remain_high_premium_field_continuous_through_y2,0,
2020,remain_high_premium_field_continuous_through_y3,0,
2020,remain_high_premium_field_y1,0,
2020,remain_high_premium_field_y2,0,
2020,remain_high_premium_field_y3,0,
2020,remain_high_premium_institution_continuous_through_y2,0,
2020,remain_high_premium_institution_continuous_through_y3,0,
2020,remain_high_premium_institution_y1,0,
2020,remain_high_premium_institution_y2,0,
2020,remain_high_premium_institution_y3,0,
2020,same_area_generica_continuous_through_y2,0,
2020,same_area_generica_continuous_through_y3,0,
2020,same_area_generica_y1,0,
2020,same_area_generica_y2,0,
2020,same_area_generica_y3,0,
2020,same_institution_continuous_through_y2,0,
2020,same_institution_continuous_through_y3,0,
2020,same_institution_y1,0,
2020,same_institution_y2,0,
2020,same_institution_y3,0,
2020,same_program_continuous_through_y2,0,
2020,same_program_continuous_through_y3,0,
2020,same_program_y1,0,
2020,same_program_y2,0,
2020,same_program_y3,0,
