school_rbd,area_income_va,program_income_full_va,institution_income_va,math_va,area_income_n,program_income_full_n,institution_income_n,math_n,complete_decomposition_input,decomposition_order,program_income_full_component_math_va,program_income_full_component_institution_income_va,program_income_full_component_area_income_va,program_income_full_component_residual_va,program_income_full_component_sum_va,reconstruction_error
1,0.0045951818330543,0.0054347963171835,0.0240361035975013,-0.0996487509669161,125,125,125,119,TRUE,math_area_institution,-0.01189892286293,0.00882753521533616,0.0137532574887018,-0.00524716016659738,0.00543470967451055,0
3,-0.0118595084503176,-0.0177153721118902,-0.0189368326144964,-0.0887969106826794,2,2,2,2,TRUE,math_area_institution,-0.0105834618769989,-0.00339907478521292,-0.00595097705319771,0.0022180549608464,-0.0177154587545632,0
4,0.0361396557517976,0.0144194316048091,0.0525049121210373,-0.0078223990245143,795,795,795,789,TRUE,math_area_institution,-0.000767724808340825,0.0098743824582847,0.0417587627821393,-0.0364460754699471,0.0144193449621361,8.67361737988404e-18
5,0.043059500377932,0.0272762728923685,0.0554844946980476,-0.0263717143911494,372,372,372,372,TRUE,math_area_institution,-0.00301627436688762,0.00901714526030874,0.0512581623729681,-0.0299828470166936,0.0272761862496955,0
7,-0.0337139800654997,-0.0360761984073711,-0.0033306597579831,-0.2402814147129,449,449,449,442,TRUE,math_area_institution,-0.0289464261121378,0.0106328563432262,-0.0177328992274499,-2.98160536824701e-05,-0.0360762850500441,6.93889390390723e-18
8,-0.0158780072236691,-0.0299741073834693,0.0224827977451698,-0.002865335547609,106,106,106,104,TRUE,math_area_institution,-0.000166829159505576,0.0140421805417377,-0.0179861495518701,-0.0258633958565043,-0.0299741940261423,0
15,-0.0652957872795659,-0.0791684827591251,-0.0212689174083387,-0.139814781475206,63,63,63,63,TRUE,math_area_institution,-0.0167678524370341,0.0127029034479046,-0.0624587506241997,-0.0126448697884689,-0.079168569401798,0
25,0.0325479281608405,0.0307769549429836,0.0570398955603879,-0.0419571296341978,85,85,85,83,TRUE,math_area_institution,-0.0049055397048181,0.013029108925603,0.0406237098536823,-0.0179704107741566,0.0307768683003106,0
28,-0.0068686931867898,-0.0120249947151359,-0.0067155651272195,0.0492415360457394,2,2,2,1,TRUE,math_area_institution,0.00614957016859168,-0.000854824905097996,-0.0122322449051617,-0.00508758171614081,-0.0120250813578089,0
32,0.0258216209743998,0.0312906548296226,0.0606228207542118,-0.178045652723901,47,47,47,45,TRUE,math_area_institution,-0.0214022018440066,0.0173856913975741,0.0447569026725328,-0.00944982403915062,0.0312905681869497,0
45,0.0406104414625018,0.0327685735165597,0.0376538696010381,0.0150443270875534,208,208,208,207,TRUE,math_area_institution,0.00200418164148884,0.00235386157064956,0.0448734788746319,-0.0164630352128835,0.0327684868738867,0
50,-0.0103817261461727,-0.0148939678654756,0.0019333879559028,0.0939689205604996,179,179,179,178,TRUE,math_area_institution,0.0115714274564632,0.00346622250338331,-0.0201173587673001,-0.00981434570069493,-0.0148940545081486,0
52,-0.0160877884681943,-0.028388503463374,0.0041550729514112,-0.0930968013192692,1055,1055,1055,1036,TRUE,math_area_institution,-0.0111046949792241,0.00725643141676488,-0.0103994888716786,-0.0141408376719092,-0.028388590106047,0
56,0.075281938600794,0.0799740292889243,0.0885977300235926,0.193932689410934,269,269,269,269,TRUE,math_area_institution,0.0236890438685287,0.0109626224708161,0.0688937021243031,-0.0235714258173966,0.0799739426462514,0
59,0.0077867767119579,0.0084014897856832,-0.0012600381651466,0.190083287160044,127,127,127,127,TRUE,math_area_institution,0.0232224190060566,-0.00408120037888887,-0.00773618188617836,-0.00300363359797918,0.00840140314301024,0
60,-0.0234412486541185,-0.0328357847763497,-0.0086831383960033,-0.022790638726971,245,245,245,243,TRUE,math_area_institution,-0.0025821760756755,0.00397032103814106,-0.0248822604553801,-0.00934175592610807,-0.0328358714190227,0
67,0.0514890033043708,0.059547513929288,0.0856369975924065,0.0741896857844953,148,148,148,146,TRUE,math_area_institution,0.00917378696435233,0.0179318875215935,0.0521484039913571,-0.0197066511906879,0.059547427286615,0
69,0.0582558975776791,0.0714469560448885,0.0452060812065539,0.548447327802635,158,158,158,157,TRUE,math_area_institution,0.0666633379542215,-0.00328818763574044,0.0187317240317853,-0.0106600049480508,0.0714468694022156,0
72,-0.0018589860012185,-0.004131717278142,8.77319724649e-05,-0.141335930757123,1,1,1,1,TRUE,math_area_institution,-0.0169522462800807,0.00144557331844295,0.0100092377452628,0.00136563129556008,-0.00413180392081496,8.67361737988404e-19
78,-0.021032994144876,-0.032173938260881,-0.0163921975125775,-0.0471973464852701,22,22,22,22,TRUE,math_area_institution,-0.00554075922932746,0.000253820216229594,-0.0200193432620899,-0.0068677426283662,-0.032174024903554,0
97,0.0790759199362237,0.081890226267825,0.0494006289356316,-0.110146290185357,95,95,95,92,TRUE,math_area_institution,-0.0131714354440634,-0.00422126056580226,0.0995930174937454,-0.000310181858727762,0.0818901396251521,0
103,-0.0427510469924805,-0.0601607066700013,-0.0643132272573009,-0.121815778090473,98,98,98,93,TRUE,math_area_institution,-0.0145860117429123,-0.0118119462959921,-0.0383123854711854,0.00454955019741556,-0.0601607933126743,0
106,0.0010175778785153,0.0012130347944452,-0.0186266120638522,-0.231658728234902,89,89,89,82,TRUE,math_area_institution,-0.0279011833368457,-0.0064622780621537,0.0211231339648904,0.0144532755858812,0.00121294815177224,1.73472347597681e-18
107,0.06392117313545,0.0636196489754342,0.0182917542392788,-0.11740500132726,92,92,92,88,TRUE,math_area_institution,-0.0140513370151533,-0.0119669557837568,0.0829418369304042,0.00669601820126711,0.0636195623327613,0
108,-0.0086940220275711,-0.0103166763092427,0.0303171396450218,-0.152186463846987,119,119,119,114,TRUE,math_area_institution,-0.0182675488078008,0.0158327051355306,0.00315642434349997,-0.0110383436231455,-0.0103167629519157,0
109,-0.0193018097415802,-0.0302160638079779,-0.0408633667105922,-0.249695576848696,105,105,105,101,TRUE,math_area_institution,-0.0300876116327963,-0.00895101581638037,-0.000482411704844371,0.0093048887033702,-0.0302161504506509,0
110,-0.0103352066693317,-0.0267193389250699,-0.04269053454679,-0.0421751193944949,115,115,115,113,TRUE,math_area_institution,-0.00493196444177446,-0.013724748304331,-0.00825639564133588,0.000193682819698525,-0.0267194255677429,0
124,0.0732032673952268,0.0657482863932607,-0.0220962810427643,-0.225759169336809,359,359,359,342,TRUE,math_area_institution,-0.0271860383143082,-0.0305086652268559,0.102923745814517,0.0205191574772348,0.0657481997505878,0
125,0.0968754468935558,0.108755730423961,0.0595874568548621,-0.0342857122409779,101,101,101,100,TRUE,math_area_institution,-0.00397560984746176,-0.00614127758408512,0.113310089217581,0.00556244199525381,0.108755643781288,0
127,0.0378695984421189,0.0315026296789669,-0.009113916759239,-0.124504145788864,258,258,258,254,TRUE,math_area_institution,-0.0149118958999255,-0.014807696559387,0.0538513233724931,0.00737081212311338,0.031502543036294,0
129,0.0152225959588095,0.0167409396634222,-0.0008318350144108,-0.0480680619286286,15,15,15,15,TRUE,math_area_institution,-0.00564630742812003,-0.00482819388832641,0.0213978943944861,0.00581745994270954,0.0167408530207492,0
130,0.0380161266758887,0.0362398845151372,-0.0131356254631328,-0.0380287331321354,88,88,88,88,TRUE,math_area_institution,-0.00442933915261888,-0.0169861766507956,0.0465183026971981,0.0111370109786806,0.0362397978724642,0
131,-0.0123700695704489,-0.024902385446387,-0.0050008920707979,-0.187211147082113,51,51,51,50,TRUE,math_area_institution,-0.0225132438358901,0.00295931594679557,0.00200240914551377,-0.0073509533454792,-0.02490247208906,0
132,0.0267922269405414,0.0270060629712557,0.0095515161285633,0.11425113253045,653,653,653,647,TRUE,math_area_institution,0.0140300388860481,-0.00522923411775502,0.0205124588455022,-0.00230728728521252,0.0270059763285827,0
133,0.0006849817296156,-0.0105781378617714,-0.0257346737059186,-0.0283491522169192,145,145,145,142,TRUE,math_area_institution,-0.00325597954534322,-0.0104260384407338,0.00311062328292188,-6.82980128923101e-06,-0.0105782245044444,0
134,0.0183430017457352,0.01692488220677,-0.0210928579813344,-0.102486580418265,42,42,42,41,TRUE,math_area_institution,-0.0122429247861244,-0.0136482567326375,0.0296758236049954,0.0131401534778635,0.016924795564097,0
144,-0.0359490449683249,-0.0462674534565495,-0.0501600111988769,-0.200384532513553,54,54,54,51,TRUE,math_area_institution,-0.0241101227185313,-0.00777425440307272,-0.0237418101774312,0.00935864719981271,-0.0462675400992225,0
161,0.0031063248291799,0.0049816579199318,1.85319977625e-05,-0.0808550583024746,48,48,48,47,TRUE,math_area_institution,-0.00962074986792531,-0.000495813479342586,0.0104255386150151,0.00467259600951169,0.00498157127725884,0
178,0.0200300066264719,0.021257567428804,0.0208692121859053,-0.0600098431502165,18,18,18,18,TRUE,math_area_institution,-0.00709389114554188,0.00248150131732553,0.0279154379355684,-0.00204556732122103,0.021257480786131,0
191,-0.0177364739425457,-0.0282345240633728,-0.0416705933069087,-0.0895053522934676,344,344,344,337,TRUE,math_area_institution,-0.0106693392282493,-0.0107149858951026,-0.0125909510258952,0.00574066544320132,-0.0282346107060458,0
