endogenous,endogenous_label,instrument,beta,se,tstat,n_obs
d_math_va,Math VA,z_math_va,0.462481910828915,0.00799758136093631,57.8277219020089,95621
d_math_va,Math VA,z_highinst_va,0.0215969847223758,0.0111351767292447,1.93952779084815,95621
d_math_va,Math VA,z_highpay_va,0.00894085380789519,0.00905202033960351,0.987719146937624,95621
d_highinst_va,High-premium-institution VA,z_math_va,0.019008980865276,0.00247487415072215,7.6807868633358,95621
d_highinst_va,High-premium-institution VA,z_highinst_va,0.328974942406518,0.00931170184051692,35.32919632103,95621
d_highinst_va,High-premium-institution VA,z_highpay_va,0.0183902311654667,0.00448706400370561,4.09849985430991,95621
d_highpay_va,High-premium-field VA,z_math_va,-0.00186062185073051,0.00205233704043823,-0.906586888054809,95621
d_highpay_va,High-premium-field VA,z_highinst_va,-0.0100992569016996,0.00425701325799036,-2.37238088999216,95621
d_highpay_va,High-premium-field VA,z_highpay_va,0.491476749973678,0.00668227114564598,73.5493575853942,95621
