school_rbd,analysis_sample,outcome,n_students_regression,n_total,controlled_value_added,controlled_value_added_centered_student,controlled_value_added_se,controlled_value_added_resid_sd,controlled_value_added_se_method,eb_tau2,eb_tau,eb_reliability,eb_method,controlled_value_added_eb,controlled_value_added_eb_centered_student
108,All,z_year_math_max,117,561977,-0.039263915,-0.16623338,0.064257629,0.55008787,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.935916901405981,stata_normal_normal_weighted_by_n_students_regression,-0.155580625883359,-0.150552561292012
109,All,z_year_math_max,101,561977,-0.15682711,-0.28379655,0.068693273,0.54563266,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.927428566571546,stata_normal_normal_weighted_by_n_students_regression,-0.263201026511494,-0.258172961920147
110,All,z_year_math_max,113,561977,0.069253229,-0.057716232,0.07499481,0.6795907,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.914691217656599,stata_normal_normal_weighted_by_n_students_regression,-0.0527925303606256,-0.0477644657692781
124,All,z_year_math_max,347,561977,-0.11827259,-0.24524204,0.043814912,0.509772,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.969147484068865,stata_normal_normal_weighted_by_n_students_regression,-0.237675710258364,-0.232647645667016
125,All,z_year_math_max,103,561977,0.1134781,-0.013491354,0.080266558,0.59507269,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.903474513725739,stata_normal_normal_weighted_by_n_students_regression,-0.0121890944769713,-0.0071610298856237
127,All,z_year_math_max,254,561977,-0.011508165,-0.13847762,0.061440896,0.61987787,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.94108820814541,stata_normal_normal_weighted_by_n_students_regression,-0.130319658548736,-0.125291593957389
129,All,z_year_math_max,15,561977,-0.015649049,-0.14261851,0.17856307,0.40554097,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.654134535390848,stata_normal_normal_weighted_by_n_students_regression,-0.0932916910046292,-0.0882636264132816
130,All,z_year_math_max,87,561977,0.087454043,-0.039515417,0.091483831,0.53517526,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.878128149546748,stata_normal_normal_weighted_by_n_students_regression,-0.0346996001026634,-0.0296715355113158
131,All,z_year_math_max,51,561977,-0.089136101,-0.21610555,0.10810851,0.58650076,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.837654100678616,stata_normal_normal_weighted_by_n_students_regression,-0.181021700622953,-0.175993636031605
132,All,z_year_math_max,649,561977,0.24038269,0.11341323,0.043575179,0.70038807,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.969473901936503,stata_normal_normal_weighted_by_n_students_regression,0.109951166208397,0.114979230799745
133,All,z_year_math_max,143,561977,0.10253453,-0.024434926,0.08810728,0.70043665,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.885951318757814,stata_normal_normal_weighted_by_n_students_regression,-0.0216481549340942,-0.0166200903427466
134,All,z_year_math_max,41,561977,-0.049509205,-0.17647865,0.12065287,0.48070565,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.805543983795215,stata_normal_normal_weighted_by_n_students_regression,-0.142161318168592,-0.137133253577244
144,All,z_year_math_max,51,561977,-0.11359359,-0.24056304,0.10024199,0.49800017,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.857168958995047,stata_normal_normal_weighted_by_n_students_regression,-0.206203166332136,-0.201175101740788
161,All,z_year_math_max,47,561977,0.016949121,-0.11002033,0.14267562,0.52448255,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.747627668934923,stata_normal_normal_weighted_by_n_students_regression,-0.0822542444459057,-0.0772261798545581
178,All,z_year_math_max,18,561977,0.0074831462,-0.11948631,0.21183005,0.56500888,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.57336125404562,stata_normal_normal_weighted_by_n_students_regression,-0.0685088204225832,-0.0634807558312356
191,All,z_year_math_max,341,561977,0.027548358,-0.099421099,0.062463675,0.56634152,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.93923071025141,stata_normal_normal_weighted_by_n_students_regression,-0.0933793492830102,-0.0883512846916627
199,All,z_year_math_max,255,561977,-0.084748916,-0.21171837,0.073529191,0.56231272,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.91772133722794,stata_normal_normal_weighted_by_n_students_regression,-0.194298461570659,-0.189270396979311
200,All,z_year_math_max,194,561977,-0.14141394,-0.26838341,0.077951089,0.48442957,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.908460749343894,stata_normal_normal_weighted_by_n_students_regression,-0.243815797012925,-0.238787732421577
208,All,z_year_math_max,362,561977,-0.078665473,-0.20563492,0.068077214,0.61596614,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.928631926065399,stata_normal_normal_weighted_by_n_students_regression,-0.19095915350678,-0.185931088915432
211,All,z_year_math_max,145,561977,0.074840233,-0.052129228,0.1153123,0.55187613,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.81933650920827,stata_normal_normal_weighted_by_n_students_regression,-0.0427113794743606,-0.0376833148830131
217,All,z_year_math_max,807,561977,0.13568735,0.008717889,0.034478325,0.68282771,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.980668246104753,stata_normal_normal_weighted_by_n_students_regression,0.0085493568769681,0.0135774214683157
218,All,z_year_math_max,74,561977,-0.02606413,-0.15303358,0.078330062,0.57435423,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.907650912372588,stata_normal_normal_weighted_by_n_students_regression,-0.138901072489749,-0.133873007898401
219,All,z_year_math_max,184,561977,-0.061618701,-0.18858816,0.054491635,0.57573938,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.953070953056994,stata_normal_normal_weighted_by_n_students_regression,-0.179737894822288,-0.17470983023094
220,All,z_year_math_max,386,561977,-0.11713744,-0.2441069,0.042771813,0.57234073,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.970556268778348,stata_normal_normal_weighted_by_n_students_regression,-0.236919485619146,-0.231891421027798
222,All,z_year_math_max,6,561977,0.035798635,-0.091170825,0.25986117,0.40596998,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.471743112810921,stata_normal_normal_weighted_by_n_students_regression,-0.0430092089568845,-0.0379811443655369
253,All,z_year_math_max,186,561977,-0.066979572,-0.19394903,0.06844952,0.65456909,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.927905617113294,stata_normal_normal_weighted_by_n_students_regression,-0.179966393322807,-0.17493832873146
254,All,z_year_math_max,132,561977,-0.022923952,-0.1498934,0.071877964,0.5142864,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.921086925200117,stata_normal_normal_weighted_by_n_students_regression,-0.138064853747577,-0.13303678915623
255,All,z_year_math_max,138,561977,-0.11569594,-0.2426654,0.070865124,0.60000622,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.923125439768468,stata_normal_normal_weighted_by_n_students_regression,-0.224010599626692,-0.218982535035345
256,All,z_year_math_max,410,561977,0.10338797,-0.023581486,0.058521703,0.59307575,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.946259584774625,stata_normal_normal_weighted_by_n_students_regression,-0.0223142073501629,-0.0172861427588153
257,All,z_year_math_max,198,561977,0.40420866,0.2772392,0.076162487,0.68192768,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.912248930869627,stata_normal_normal_weighted_by_n_students_regression,0.252911166921356,0.257939231512704
