outcome_key,outcome_label,treatment,original_instrument,surprise_instrument,risk_control,original_beta,surprise_beta,beta_difference,original_se,surprise_se,se_difference,original_p_value,surprise_p_value,original_first_stage_f,surprise_first_stage_f,max_abs_first_stage_fitted_difference,n_obs
math,Math,d_math_adj_eb,z_math_adj_eb,z_math_adj_eb - expected_math_adj_eb,expected_math_adj_eb,0.883729682006546,0.883729682007086,5.40012479177676e-13,0.0725667738861095,0.0725667738860981,-1.14769305170626e-14,4.06352780885753e-34,4.06352780839083e-34,3229.95832206819,3229.95832206961,1.38306033292679e-13,93438
verbal,Verbal,d_leng_adj_eb,z_leng_adj_eb,z_leng_adj_eb - expected_leng_adj_eb,expected_leng_adj_eb,0.88509528250809,0.885095282507749,-3.41060513164848e-13,0.0872302634042333,0.0872302634042228,-1.04360964314765e-14,3.42920214831951e-24,3.42920214841423e-24,4294.68674992996,4294.68674993176,6.02115579617646e-13,95107
institution,High-premium inst.,d_highinst_adj_eb,z_highinst_adj_eb,z_highinst_adj_eb - expected_highinst_adj_eb,expected_highinst_adj_eb,0.49650709584936,0.496507095849061,-2.98427949019242e-13,0.11072776693761,0.110727766937619,8.40993941153556e-15,7.32449089712772e-06,7.32449089723198e-06,1321.09130560104,1321.09130560193,1.19404486298436e-12,95651
field,High-premium field,d_highpay_adj_eb,z_highpay_adj_eb,z_highpay_adj_eb - expected_highpay_adj_eb,expected_highpay_adj_eb,0.802515221753,0.80251522175292,-7.99360577730113e-14,0.0997459319376969,0.0997459319376901,-6.78623823802127e-15,8.58284425370836e-16,8.58284425372617e-16,5004.92124124193,5004.92124124255,3.00384717100144e-14,90338
income,Projected income,d_program_income_full_adj_eb,z_program_income_full_adj_eb,z_program_income_full_adj_eb - expected_program_income_full_adj_eb,expected_program_income_full_adj_eb,0.311071039322201,0.311071039312537,-9.66338120633736e-12,0.103026395667943,0.103026395667983,4.07174294281276e-14,0.00253331565334852,0.00253331565414287,5729.82436286965,5729.8243628727,5.00002816927747e-13,95651
