spec,group,outcome,treatment,instrument,risk_control,beta,se,zstat,p_value,n_obs,fs_beta,fs_se,fs_f,rc
program_income_full_math_component_adj_eb,all,log_program_income_full_clp_m1,d_program_income_full_math_component_adj_eb,z_program_income_full_math_component_adj_eb,expected_program_income_full_math_component_adj_eb,-0.526977389341482,0.424826015724227,-1.2404546092666,0.214807293136657,92958,0.443556861999499,0.00780650591769721,3228.38423710924,0
program_income_full_institution_component_adj_eb,all,log_program_income_full_clp_m1,d_program_income_full_institution_component_adj_eb,z_program_income_full_institution_component_adj_eb,expected_program_income_full_institution_component_adj_eb,1.48010114875899,0.217866512345845,6.79361473602447,1.09358188067407e-11,92958,0.372605689411325,0.00661905103824322,3168.8924822012,0
program_income_full_area_component_adj_eb,all,log_program_income_full_clp_m1,d_program_income_full_area_component_adj_eb,z_program_income_full_area_component_adj_eb,expected_program_income_full_area_component_adj_eb,1.58178599524081,0.266193650332753,5.94223789058645,2.81156993911796e-09,92958,0.443610712509152,0.0063404843047765,4895.07315566963,0
program_income_full_residual_component_adj_eb,all,log_program_income_full_clp_m1,d_program_income_full_residual_component_adj_eb,z_program_income_full_residual_component_adj_eb,expected_program_income_full_residual_component_adj_eb,1.61222157430075,0.688890860272985,2.3403149428661,0.019267484389056,92958,0.386531237702795,0.00609759775566452,4018.38599569449,0
