income_measure_key,income_measure_label,income_measure_order,outcome,outcome_key,outcome_label,plot_order,target_percentile,target_percentile_label,window_lower_percentile,window_upper_percentile,n_students_total,n_students,cohort_min,cohort_max,income_4to_cutpoint,log_income_4to_cutpoint,mean_income_4to,mean_log_income_4to,mean_attended_va_eb,sd_attended_va_eb,se_attended_va_eb
direct_or_school_median,Direct income + school median fallback,1,admission_exam_taker,exam_taking,Exam taking,3,75,p75,72.5,77.5,800041,40002,2017,2020,7e+05,13.4588356140255,659567.646617669,13.3938612569523,0.0276685464300399,0.0884338823458279,0.000442158357908363
direct_or_school_median,Direct income + school median fallback,1,admission_exam_taker,exam_taking,Exam taking,3,90,p90,87.5,92.5,800041,40002,2017,2020,1500000,14.2209756660724,1523861.30693465,14.226111368196,0.0538607248076693,0.0608075855676116,0.000304030327174886
school_median_for_everyone,School median for everyone,2,admission_exam_taker,exam_taking,Exam taking,3,10,p10,7.5,12.5,1585608,79281,2013,2020,250000,12.4292161968444,249006.067027409,12.4247804021789,-0.0407755560162687,0.11016028733059,0.000391237522698157
school_median_for_everyone,School median for everyone,2,admission_exam_taker,exam_taking,Exam taking,3,25,p25,22.5,27.5,1585608,79281,2013,2020,250000,12.4292161968444,250000,12.4292161968444,-0.0404167682357257,0.109281665008715,0.00038811706950284
school_median_for_everyone,School median for everyone,2,admission_exam_taker,exam_taking,Exam taking,3,50,p50,47.5,52.5,1585608,79281,2013,2020,350000,12.7656884334656,350000,12.7656884334656,-0.00301396705006498,0.102995842287644,0.000365792783963065
school_median_for_everyone,School median for everyone,2,admission_exam_taker,exam_taking,Exam taking,3,75,p75,72.5,77.5,1585608,79281,2013,2020,450000,13.0170028617465,487286.361171025,13.091909329251,0.0283452384191035,0.0913590143337014,0.000324464244876178
school_median_for_everyone,School median for everyone,2,admission_exam_taker,exam_taking,Exam taking,3,90,p90,87.5,92.5,1585608,79281,2013,2020,1100000,13.9108207377686,1161665.46839722,13.9438104008659,0.0574404648658657,0.0561928832893173,0.000199570689076028
direct_or_school_median,Direct income + school median fallback,1,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,10,p10,7.5,12.5,800041,40002,2017,2020,150000,11.9183905730784,150000,11.9183905730784,-0.011343847684877,0.0544050990950978,0.000272018695093116
direct_or_school_median,Direct income + school median fallback,1,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,25,p25,22.5,27.5,800041,40002,2017,2020,250000,12.4292161968444,250000,12.4292161968444,-0.00816766576444733,0.0532332446708674,0.000266159569448274
direct_or_school_median,Direct income + school median fallback,1,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,50,p50,47.5,52.5,800041,40002,2017,2020,350000,12.7656884334656,350000,12.7656884334656,-0.00124358432809657,0.0500797729702946,0.000250392605114591
direct_or_school_median,Direct income + school median fallback,1,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,75,p75,72.5,77.5,800041,40002,2017,2020,7e+05,13.4588356140255,659567.646617669,13.3938612569523,0.00901516678169193,0.0432336113957124,0.000216162652979787
direct_or_school_median,Direct income + school median fallback,1,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,90,p90,87.5,92.5,800041,40002,2017,2020,1500000,14.2209756660724,1523861.30693465,14.226111368196,0.0118201203475013,0.0351795338642457,0.000175893272044392
school_median_for_everyone,School median for everyone,2,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,10,p10,7.5,12.5,1585608,79281,2013,2020,250000,12.4292161968444,249006.067027409,12.4247804021789,-0.0137678533624602,0.0543730147385022,0.000193107372024935
school_median_for_everyone,School median for everyone,2,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,25,p25,22.5,27.5,1585608,79281,2013,2020,250000,12.4292161968444,250000,12.4292161968444,-0.0137692716362808,0.0543475884804213,0.000193017069916397
school_median_for_everyone,School median for everyone,2,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,50,p50,47.5,52.5,1585608,79281,2013,2020,350000,12.7656884334656,350000,12.7656884334656,0.000353709108978848,0.0494720258848116,0.00017570136497509
school_median_for_everyone,School median for everyone,2,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,75,p75,72.5,77.5,1585608,79281,2013,2020,450000,13.0170028617465,487286.361171025,13.091909329251,0.0114443489096048,0.0422716786069631,0.000150129118389549
school_median_for_everyone,School median for everyone,2,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,90,p90,87.5,92.5,1585608,79281,2013,2020,1100000,13.9108207377686,1161665.46839722,13.9438104008659,0.0104919028416226,0.0337518708445708,0.000119870768819165
direct_or_school_median,Direct income + school median fallback,1,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,10,p10,7.5,12.5,798665,39934,2017,2020,150000,11.9183905730784,150000,11.9183905730784,0.0088985246462138,0.0683534539894888,0.000342049577348636
direct_or_school_median,Direct income + school median fallback,1,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,25,p25,22.5,27.5,798665,39933,2017,2020,250000,12.4292161968444,250000,12.4292161968444,0.00795507744111588,0.0675662016975972,0.000338114297889622
direct_or_school_median,Direct income + school median fallback,1,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,50,p50,47.5,52.5,798665,39934,2017,2020,350000,12.7656884334656,350000,12.7656884334656,0.00650401316203118,0.0664292747543433,0.000332420734097704
direct_or_school_median,Direct income + school median fallback,1,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,75,p75,72.5,77.5,798665,39933,2017,2020,7e+05,13.4588356140255,660673.503117722,13.395639247415,0.000232494370281952,0.0554309113221042,0.000277386965556208
direct_or_school_median,Direct income + school median fallback,1,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,90,p90,87.5,92.5,798665,39934,2017,2020,1500000,14.2209756660724,1526381.02869735,14.2278630380995,-0.00701361869061044,0.04149601792382,0.000207651472808919
school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,10,p10,7.5,12.5,1580527,79026,2013,2020,250000,12.4292161968444,249352.744666312,12.4263275797691,0.00980777254844554,0.0705179738952963,0.000250850416068197
school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,25,p25,22.5,27.5,1580527,79026,2013,2020,250000,12.4292161968444,250000,12.4292161968444,0.00974471086515224,0.0703969782944314,0.000250420003860602
school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,50,p50,47.5,52.5,1580527,79026,2013,2020,350000,12.7656884334656,350000,12.7656884334656,0.00727491402687149,0.0675067493875016,0.000240138722595883
school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,75,p75,72.5,77.5,1580527,79026,2013,2020,450000,13.0170028617465,488523.397362893,13.0943917775902,0.0022390958525245,0.0586489572228965,0.000208629297023958
school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,90,p90,87.5,92.5,1580527,79026,2013,2020,1100000,13.9108207377686,1166036.49431833,13.9473507327668,-0.00928890929412533,0.0389823430137867,0.000138670135061464
direct_or_school_median,Direct income + school median fallback,1,log_program_income_clp_m1,program_income,Program income,6,10,p10,7.5,12.5,798665,39934,2017,2020,150000,11.9183905730784,150000,11.9183905730784,-0.017838565239027,0.0550133110155696,0.000275293766198242
direct_or_school_median,Direct income + school median fallback,1,log_program_income_clp_m1,program_income,Program income,6,25,p25,22.5,27.5,798665,39933,2017,2020,250000,12.4292161968444,250000,12.4292161968444,-0.0143751903036905,0.0551444620616856,0.00027595351823885
direct_or_school_median,Direct income + school median fallback,1,log_program_income_clp_m1,program_income,Program income,6,50,p50,47.5,52.5,798665,39934,2017,2020,350000,12.7656884334656,350000,12.7656884334656,-0.0089539787811563,0.0557755296356764,0.00027910800734683
direct_or_school_median,Direct income + school median fallback,1,log_program_income_clp_m1,program_income,Program income,6,75,p75,72.5,77.5,798665,39933,2017,2020,7e+05,13.4588356140255,660673.503117722,13.395639247415,0.00124037124188915,0.0538022525287009,0.000269236843000881
direct_or_school_median,Direct income + school median fallback,1,log_program_income_clp_m1,program_income,Program income,6,90,p90,87.5,92.5,798665,39934,2017,2020,1500000,14.2209756660724,1526381.02869735,14.2278630380995,0.0175132391454297,0.0543936770560617,0.000272193037243227
school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,10,p10,7.5,12.5,1580527,79026,2013,2020,250000,12.4292161968444,249352.744666312,12.4263275797691,-0.0170414796134161,0.0549430350200706,0.000195446386694237
school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,25,p25,22.5,27.5,1580527,79026,2013,2020,250000,12.4292161968444,250000,12.4292161968444,-0.0172504305093998,0.0549598669185212,0.000195506262049361
school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,50,p50,47.5,52.5,1580527,79026,2013,2020,350000,12.7656884334656,350000,12.7656884334656,-0.00598899572807543,0.0557730812879096,0.000198399072940618
school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,75,p75,72.5,77.5,1580527,79026,2013,2020,450000,13.0170028617465,488523.397362893,13.0943917775902,0.0041068048880144,0.0539573110929339,0.000191939915314079
school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,90,p90,87.5,92.5,1580527,79026,2013,2020,1100000,13.9108207377686,1166036.49431833,13.9473507327668,0.0173054553565295,0.0525694267617655,0.00018700285682109
direct_or_school_median,Direct income + school median fallback,1,program_certified_years_m1,program_certified_years,Program-certified years,7,10,p10,7.5,12.5,798665,39934,2017,2020,150000,11.9183905730784,150000,11.9183905730784,-0.0119484116690535,0.102800792040627,0.000514428538958818
