group,theta_program_income,se_program_income,p_value,n_obs,fs_beta,fs_se,fs_f,quintile_definition
All,1.30219288167632,0.152293350707744,1.22496577433672e-17,92947,0.447390254843172,0.00644855967471169,4813.35167746654,All students with nonmissing grade-4 math
Q1,0.977213969276931,0.345060285328421,0.00462564897945321,18409,0.432275000846499,0.0143769856746704,904.033576122033,Rank quintile of z_sim_mat_4to within program-income EB IV regression dataframe
Q2,1.21313498214568,0.326971221828922,0.000207079677157771,18551,0.44880073659973,0.0142476325567921,992.251375445061,Rank quintile of z_sim_mat_4to within program-income EB IV regression dataframe
Q3,1.78659511586409,0.350436697583606,3.42904917580967e-07,18599,0.437031099784513,0.0146392349869817,891.226152383159,Rank quintile of z_sim_mat_4to within program-income EB IV regression dataframe
Q4,1.16504094933043,0.341641553070156,0.000649327295988707,18644,0.458592865619427,0.0142474137582317,1036.05429285811,Rank quintile of z_sim_mat_4to within program-income EB IV regression dataframe
Q5,1.39210175389007,0.340647267947643,4.37670949049693e-05,18744,0.461140470316624,0.0145479129482689,1004.76636633659,Rank quintile of z_sim_mat_4to within program-income EB IV regression dataframe
