spec,group,outcome,treatment,instrument,risk_control,beta,se,zstat,p_value,n_obs,fs_beta,fs_se,fs_f,rc
program_income_full_exam_component_adj_eb,all,log_program_income_full_clp_m1,d_program_income_full_exam_component_adj_eb,z_program_income_full_exam_component_adj_eb,expected_program_income_full_exam_component_adj_eb,-2.00349949397241,0.56647852871081,-3.53676157599825,0.000405065160706653,92958,0.430894733969392,0.00658653796987956,4279.84433735103,0
program_income_full_math_component_adj_eb,all,log_program_income_full_clp_m1,d_program_income_full_math_component_adj_eb,z_program_income_full_math_component_adj_eb,expected_program_income_full_math_component_adj_eb,0.425891195297481,0.435089554655014,0.978858698722781,0.327649801680667,92958,0.455711746813313,0.00756872376224492,3625.22642518475,0
program_income_full_institution_component_adj_eb,all,log_program_income_full_clp_m1,d_program_income_full_institution_component_adj_eb,z_program_income_full_institution_component_adj_eb,expected_program_income_full_institution_component_adj_eb,-0.0221229546668837,0.762452161597399,-0.0290155314407324,0.976852203511267,92958,0.336035762815838,0.00686849712621412,2393.57785441365,0
program_income_full_area_component_adj_eb,all,log_program_income_full_clp_m1,d_program_income_full_area_component_adj_eb,z_program_income_full_area_component_adj_eb,expected_program_income_full_area_component_adj_eb,1.15193770316324,0.130454499935648,8.83018756525439,1.04500335248731e-18,92958,0.461994828163922,0.00628124354638437,5409.82182816439,0
