spec,outcome_group,beta,se,p_value,n_obs,fs_beta,fs_se,fs_f
math_adj_eb,Math,0.881494511259625,0.0739357868936244,9.04279006938938e-33,90906,0.443008595161599,0.00788326713028465,3157.99776562062
leng_adj_eb,Language,0.908497690033535,0.0888402712522319,1.51353956035194e-24,92472,0.435615354171366,0.00668038896252418,4252.09401495177
stem_adj_eb,STEM enrollment,0.824342303359899,0.0804912703791599,1.29367396721126e-24,92959,0.47297019984,0.00806553394869881,3438.75559061002
instcert_adj_eb,Institutional quality,1.50833796200034,0.165776602540927,9.148861511157e-20,92959,0.44587661332241,0.00656676048192347,4610.27716563434
