spec,outcome_group,beta,se,p_value,n_obs,fs_beta,fs_se,fs_f
progcert_adj_eb,Program-certified years,1.064167587882,0.191811233847484,2.88965675640599e-08,92959,0.460100074116024,0.00621240314527395,5485.1100399699
instcert_adj_eb,Institutional quality,1.50833796200034,0.165776602540927,9.148861511157e-20,92959,0.44587661332241,0.00656676048192347,4610.27716563434
