cohort_gr8,income_measure_key,income_measure_label,income_measure_order,outcome,outcome_key,outcome_label,plot_order,target_percentile,target_percentile_label,window_lower_percentile,window_upper_percentile,n_students_total,n_students,income_4to_cutpoint,log_income_4to_cutpoint,mean_income_4to,mean_log_income_4to,mean_attended_va_eb,sd_attended_va_eb,se_attended_va_eb
2017,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,10,p10,7.5,12.5,165434,8272,250000,12.4292161968444,238201.160541586,12.3714023459453,-0.106516481183068,0.108224178144041,0.001189923478136
2018,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,10,p10,7.5,12.5,179328,8967,250000,12.4292161968444,244318.055090889,12.4027716116452,-0.107584551864719,0.107730734908274,0.00113766929685378
2019,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,10,p10,7.5,12.5,180726,9036,250000,12.4292161968444,247449.092518814,12.4178318257559,-0.108309713727277,0.105090850678369,0.00110554594608289
2020,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,10,p10,7.5,12.5,184108,9205,250000,12.4292161968444,248533.40575774,12.4226709758933,-0.107317166962105,0.108294353527716,0.0011287400024123
2013,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,25,p25,22.5,27.5,173498,8674,250000,12.4292161968444,250000,12.4292161968444,-0.10822595844707,0.109244230967772,0.00117297512671127
2014,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,25,p25,22.5,27.5,180590,9030,250000,12.4292161968444,250000,12.4292161968444,-0.108171154809445,0.107273717483218,0.00112888435909005
2015,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,25,p25,22.5,27.5,177157,8858,250000,12.4292161968444,250000,12.4292161968444,-0.106794056781998,0.110649595875485,0.00117566068181603
2016,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,25,p25,22.5,27.5,177685,8884,250000,12.4292161968444,250000,12.4292161968444,-0.108438904680526,0.10678556495341,0.00113294355900083
2017,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,25,p25,22.5,27.5,165434,8272,250000,12.4292161968444,250000,12.4292161968444,-0.10718186376714,0.109929934790206,0.00120867825101639
2018,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,25,p25,22.5,27.5,179328,8967,250000,12.4292161968444,250000,12.4292161968444,-0.107215992215512,0.109267093632008,0.00115389371183093
2019,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,25,p25,22.5,27.5,180726,9036,250000,12.4292161968444,250000,12.4292161968444,-0.109733868880891,0.105564411877668,0.00111052776572492
2020,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,25,p25,22.5,27.5,184108,9205,250000,12.4292161968444,250000,12.4292161968444,-0.105251857330943,0.111394009935118,0.00116104737640548
2013,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,50,p50,47.5,52.5,173498,8675,250000,12.4292161968444,287319.884726225,12.5558280276374,-0.101626645150786,0.113338015123098,0.001216860687744
2014,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,50,p50,47.5,52.5,180590,9029,3e+05,12.6115377536383,297790.452984827,12.5911066982379,-0.0993128252913465,0.113989616230224,0.00119962488176107
2015,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,50,p50,47.5,52.5,177157,8858,350000,12.7656884334656,318745.766538722,12.6615776960251,-0.0923453714912228,0.118439471534954,0.00125842872499424
2016,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,50,p50,47.5,52.5,177685,8884,350000,12.7656884334656,324651.058081945,12.6814046493598,-0.0883541548668212,0.117984945590052,0.00125176360890756
2017,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,50,p50,47.5,52.5,165434,8271,350000,12.7656884334656,350000,12.7656884334656,-0.0869462369833909,0.122997289058455,0.00135243539717575
2018,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,50,p50,47.5,52.5,179328,8967,350000,12.7656884334656,350000,12.7656884334656,-0.0828267052609457,0.123519153088415,0.00130439979047501
2019,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,50,p50,47.5,52.5,180726,9037,350000,12.7656884334656,350000,12.7656884334656,-0.0851102292324367,0.122951658926378,0.00129336841721445
2020,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,50,p50,47.5,52.5,184108,9205,350000,12.7656884334656,350000,12.7656884334656,-0.084607027439006,0.122112333751066,0.00127276327345613
2013,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,75,p75,72.5,77.5,173498,8674,350000,12.7656884334656,395561.448005534,12.8806121410264,-0.0723093655254889,0.122529722310204,0.00131562385747498
2014,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,75,p75,72.5,77.5,180590,9030,450000,13.0170028617465,406229.235880399,12.9074078411011,-0.0698362068794873,0.126783626870063,0.00133419496145189
2015,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,75,p75,72.5,77.5,177157,8858,450000,13.0170028617465,424328.290810567,12.9529235081569,-0.0620461238170011,0.127179575772617,0.00135129302174917
2016,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,75,p75,72.5,77.5,177685,8884,450000,13.0170028617465,433278.928410626,12.9754014042464,-0.0589038984558439,0.127292052588737,0.00135050754430455
2017,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,75,p75,72.5,77.5,165434,8272,450000,13.0170028617465,450000,13.0170028617465,-0.052428870133732,0.133992065896249,0.00147324108002637
2018,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,75,p75,72.5,77.5,179328,8967,450000,13.0170028617465,450000,13.0170028617465,-0.0549757565985188,0.129439666303525,0.00136692220909754
2019,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,75,p75,72.5,77.5,180726,9036,450000,13.0170028617465,450000,13.0170028617465,-0.0542816130777243,0.129651176761643,0.00136391828544988
2020,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,75,p75,72.5,77.5,184108,9205,450000,13.0170028617465,450000,13.0170028617465,-0.0524175103290532,0.135334805868188,0.00141057962974063
2013,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,90,p90,87.5,92.5,173498,8675,550000,13.2176735572087,615628.242074928,13.3234120548389,-0.0207621746590927,0.146903341706119,0.00157723691584191
2014,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,90,p90,87.5,92.5,180590,9029,7e+05,13.4588356140255,629859.342119836,13.3463242114241,-0.0213578485808354,0.148022930381741,0.00155779093069743
2015,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,90,p90,87.5,92.5,177157,8858,7e+05,13.4588356140255,647784.488597878,13.3751376310878,-0.0140491543379986,0.151192189821842,0.0016064289396161
2016,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,90,p90,87.5,92.5,177685,8884,7e+05,13.4588356140255,650529.040972535,13.3795567884905,-0.0173703641217081,0.149730648954244,0.00158857027531518
2017,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,90,p90,87.5,92.5,165434,8272,7e+05,13.4588356140255,682709.743713733,13.4313134267555,-0.00878486664841526,0.1564798576602,0.00172049406776211
2018,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,90,p90,87.5,92.5,179328,8967,7e+05,13.4588356140255,676881.900301104,13.4219376905366,-0.0120773585821786,0.153490024818895,0.00162090130322104
2019,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,90,p90,87.5,92.5,180726,9036,7e+05,13.4588356140255,678917.662682603,13.4252038030893,-0.00926068300883157,0.153520919914169,0.00161502575680416
2020,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,90,p90,87.5,92.5,184108,9205,7e+05,13.4588356140255,682734.926670288,13.4313133165122,-0.00704410745803158,0.154864044219719,0.00161413070905315
2017,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,10,p10,7.5,12.5,167911,8395,150000,11.9183905730784,150000,11.9183905730784,-0.0843780149533498,0.10459676302861,0.00114158405541437
2018,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,10,p10,7.5,12.5,181690,9085,150000,11.9183905730784,150000,11.9183905730784,-0.0834934167071284,0.104608802655858,0.00109750312471576
2019,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,10,p10,7.5,12.5,182786,9140,150000,11.9183905730784,150000,11.9183905730784,-0.0863898058045988,0.101774439074602,0.00106454890997229
2020,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,10,p10,7.5,12.5,186239,9312,150000,11.9183905730784,150000,11.9183905730784,-0.0856097298261097,0.102161171220585,0.00105867919767772
2017,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,25,p25,22.5,27.5,167911,8396,150000,11.9183905730784,150000,11.9183905730784,-0.0823891310847211,0.104886114202371,0.00114467390167293
2018,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,25,p25,22.5,27.5,181690,9084,250000,12.4292161968444,237505.504183179,12.3657179239468,-0.0767323631786348,0.109601163378612,0.00114994376089895
