cohort_gr8,income_measure_key,income_measure_label,income_measure_order,outcome,outcome_key,outcome_label,plot_order,target_percentile,target_percentile_label,window_lower_percentile,window_upper_percentile,n_students_total,n_students,income_4to_cutpoint,log_income_4to_cutpoint,mean_income_4to,mean_log_income_4to,mean_attended_va_eb,sd_attended_va_eb,se_attended_va_eb
2017,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,10,p10,7.5,12.5,184836,9242,250000,12.4292161968444,250000,12.4292161968444,-0.105233895671827,0.111062682164116,0.00115527446802067
2018,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,10,p10,7.5,12.5,199313,9966,250000,12.4292161968444,250000,12.4292161968444,-0.105229460450858,0.110873965318213,0.00111062933063767
2019,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,10,p10,7.5,12.5,200799,10040,250000,12.4292161968444,250000,12.4292161968444,-0.106728059374356,0.107968422125316,0.0010775313093976
2020,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,10,p10,7.5,12.5,204536,10227,250000,12.4292161968444,250000,12.4292161968444,-0.104896934459345,0.111338027060927,0.00110095455661923
2013,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,25,p25,22.5,27.5,193870,9694,250000,12.4292161968444,250000,12.4292161968444,-0.108483576385509,0.110631967245352,0.00112364500966941
2014,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,25,p25,22.5,27.5,201208,10061,250000,12.4292161968444,250000,12.4292161968444,-0.10970035807288,0.107710140853976,0.00107383120285257
2015,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,25,p25,22.5,27.5,197501,9875,250000,12.4292161968444,250000,12.4292161968444,-0.106442692431198,0.111395406396086,0.00112098223503123
2016,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,25,p25,22.5,27.5,198143,9907,250000,12.4292161968444,250000,12.4292161968444,-0.107005014625673,0.111045068087492,0.00111565057403593
2017,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,25,p25,22.5,27.5,184836,9241,250000,12.4292161968444,250000,12.4292161968444,-0.104528078547405,0.115129076990405,0.00119763791838699
2018,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,25,p25,22.5,27.5,199313,9966,250000,12.4292161968444,250000,12.4292161968444,-0.107288406747874,0.111423679806287,0.00111613584456255
2019,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,25,p25,22.5,27.5,200799,10040,250000,12.4292161968444,250000,12.4292161968444,-0.107708472705996,0.108165151398566,0.00107949467930918
2020,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,25,p25,22.5,27.5,204536,10227,250000,12.4292161968444,250000,12.4292161968444,-0.10483518194773,0.112342248526172,0.001110884696637
