school_rbd,highinst_va,highpay_va,income_va,math_va,highinst_n,highpay_n,income_n,math_n,math_va_joint,highinst_va_joint,highpay_va_joint
1,-0.0358606521203525,0.0353020741379877,-0.0929399727557432,-0.113837857522979,321,301,321,124,-0.0871286320150475,-0.0358752308581863,0.0357783387429513
3,0.0100975468924677,-0.0263738282374895,-0.0695136383112508,-0.092917858607893,6,6,6,2,-0.0662086330999615,0.0100829681546339,-0.0258975636325259
4,-0.0794583285890437,0.0405705531591025,0.065396164396462,-0.0063677627156611,849,811,849,793,0.0203414627922704,-0.0794729073268775,0.0410468177640661
5,-0.073929852790784,0.0120803651104689,0.0435600088270305,-0.0208578513051055,429,421,429,375,0.005851374202826,-0.0739444315286178,0.0125566297154325
7,-0.052237747769475,0.0272970123410282,-0.0488831869463686,-0.234706638989794,731,668,731,446,-0.207997413481862,-0.0522523265073088,0.0277732769459918
8,-0.0632133662459077,-0.0163597779852598,-0.0270554301909921,0.0058504200789567,167,159,167,107,0.0325596455868882,-0.0632279449837415,-0.0158835133802962
15,-0.0264857503440342,-0.0471240535482161,-0.0506054585980591,-0.151305056579126,85,79,85,63,-0.124595831071195,-0.026500329081868,-0.0466477889432525
22,-0.0038073186148159,-0.0024450435198574,-0.0170880504769182,,1,1,1,,,,
25,-0.0557332018406337,0.0574763882703562,0.0621385505232761,-0.0445410447141299,107,100,107,84,-0.0178318192061984,-0.0557477805784675,0.0579526528753198
28,-0.0086271040007448,-0.0443999084463991,-0.113266256348592,0.048059323502871,26,25,26,1,0.0747685490108025,-0.00864168273857859,-0.0439236438414355
32,-0.0287208209425577,-0.0190348463975622,-0.0047787915933274,-0.17618305204742,72,53,72,45,-0.149473826539488,-0.0287353996803915,-0.0185585817925986
45,-0.0368270578895402,0.0651793567512956,0.0538642646862029,0.0104530201880222,227,220,227,207,0.0371622456959537,-0.036841636627374,0.0656556213562592
50,-0.0131282893511645,-0.0127596823426669,0.0181145642350485,0.0942683111420474,193,186,193,181,0.120977536649979,-0.0131428680889983,-0.0122834177377033
52,-0.0634288891708939,-0.0400543323474053,-0.0052488634680656,-0.0849279681930433,1333,1258,1333,1050,-0.0582187426851118,-0.0634434679087277,-0.0395780677424417
56,0.0195009499339465,0.062894559190003,0.0971940643750001,0.198132609321543,287,279,287,270,0.224841834829475,0.0194863711961127,0.0633708237949666
59,0.0642328135171419,-0.0559562673948405,0.0318009408796728,0.190100887365657,131,129,131,127,0.216810112873589,0.0642182347793081,-0.0554800027898769
60,-0.0335752394431159,0.0184780771658735,0.0246354090916376,-0.0204647213010832,256,245,256,243,0.00624450420684829,-0.0335898181809497,0.0189543417708371
67,-0.0518025825697438,0.047206715078231,0.101343095525047,0.0726881911795582,156,149,156,146,0.0993974166874897,-0.0518171613075776,0.0476829796831946
69,0.0319378842954557,0.0649575638599722,0.108244774374603,0.54608214980043,162,158,162,157,0.572791375308362,0.0319233055576219,0.0654338284649358
72,-0.0441792215765014,0.0015189399772716,-0.0211822324854659,-0.144300432257239,2,2,2,1,-0.117591206749308,-0.0441938003143352,0.00199520458223517
78,-0.0521297834020337,0.0168381848183114,-0.0302653895391274,-0.0462132159679873,25,21,25,22,-0.0195039904600558,-0.0521443621398675,0.017314449423275
