component,spec,outcome,treatment,instruments,beta,se,zstat,p_value,n_obs
math,program_income_full_math_component_adj_eb,log_program_income_full_clp_m1,d_program_income_full_math_component_adj_eb,z_program_income_full_math_component_adj_eb + z_program_income_full_area_component_adj_eb + z_program_income_full_institution_component_adj_eb,-0.695438646394848,0.421767299130283,-1.64886810292997,0.0991746590738836,92958
area,program_income_full_area_component_adj_eb,log_program_income_full_clp_m1,d_program_income_full_area_component_adj_eb,z_program_income_full_math_component_adj_eb + z_program_income_full_area_component_adj_eb + z_program_income_full_institution_component_adj_eb,1.17300627993683,0.139258689226033,8.42321787212071,3.66282428036489e-17,92958
institution,program_income_full_institution_component_adj_eb,log_program_income_full_clp_m1,d_program_income_full_institution_component_adj_eb,z_program_income_full_math_component_adj_eb + z_program_income_full_area_component_adj_eb + z_program_income_full_institution_component_adj_eb,1.39123142840617,0.800323888900075,1.73833550104097,0.0821517144120972,92958
