school_rbd,analysis_sample,outcome,va_raw,va_centered,va_se,va_resid_sd,va_se_method,n_students,n_total
208,All,log_program_income_area_clp_m1,.0680446053667464,.0723716712937297,.0458965063365066,.40635223799861,stata_areg_centered_student_vce_unadjusted,364,565432
211,All,log_program_income_area_clp_m1,-.0130398587714518,-.00871279284446851,.0789565324517567,.426131257050146,stata_areg_centered_student_vce_unadjusted,145,565432
217,All,log_program_income_area_clp_m1,-.0376751159418691,-.0333480500148859,.0231662512328408,.440855595163912,stata_areg_centered_student_vce_unadjusted,814,565432
218,All,log_program_income_area_clp_m1,-.033218501972075,-.0288914360450917,.0537532642911111,.467465657029693,stata_areg_centered_student_vce_unadjusted,71,565432
219,All,log_program_income_area_clp_m1,.0211709057730857,.025497971700069,.0360797899539598,.450128790352445,stata_areg_centered_student_vce_unadjusted,193,565432
220,All,log_program_income_area_clp_m1,.097433895606987,.10176096153397,.0284625671592815,.453916582252026,stata_areg_centered_student_vce_unadjusted,400,565432
222,All,log_program_income_area_clp_m1,-.0744813522482936,-.0701542863213103,.175092310312816,.517918852837867,stata_areg_centered_student_vce_unadjusted,6,565432
253,All,log_program_income_area_clp_m1,.0149974275024329,.0193244934294162,.0458623993580139,.439037961047721,stata_areg_centered_student_vce_unadjusted,189,565432
254,All,log_program_income_area_clp_m1,.00955102212391086,.0138780880508941,.0483744214426327,.406487446984262,stata_areg_centered_student_vce_unadjusted,133,565432
255,All,log_program_income_area_clp_m1,-.173096210126347,-.168769144199364,.0471432207877941,.435424978167859,stata_areg_centered_student_vce_unadjusted,143,565432
256,All,log_program_income_area_clp_m1,.00928458866002899,.0136116545870123,.0393960149222281,.43938117800485,stata_areg_centered_student_vce_unadjusted,412,565432
257,All,log_program_income_area_clp_m1,.0671324202518945,.0714594861788777,.0510282687689284,.41046250238934,stata_areg_centered_student_vce_unadjusted,199,565432
270,All,log_program_income_area_clp_m1,-.157611396159886,-.153284330232903,.0980284921666797,.362235712480946,stata_areg_centered_student_vce_unadjusted,40,565432
279,All,log_program_income_area_clp_m1,.113381485556212,.117708551483195,.0261084440494297,.486688088202742,stata_areg_centered_student_vce_unadjusted,416,565432
280,All,log_program_income_area_clp_m1,.042354022462188,.0466810883891713,.0264526438688711,.460734733686792,stata_areg_centered_student_vce_unadjusted,405,565432
283,All,log_program_income_area_clp_m1,-.0310546593168874,-.0267275933899041,.026231678823472,.408894916173406,stata_areg_centered_student_vce_unadjusted,410,565432
284,All,log_program_income_area_clp_m1,.0506951413877165,.0550222073146998,.0686585843366821,.461794905672662,stata_areg_centered_student_vce_unadjusted,48,565432
285,All,log_program_income_area_clp_m1,.0205662255720137,.024893291498997,.0458168593462294,.45232008794136,stata_areg_centered_student_vce_unadjusted,116,565432
286,All,log_program_income_area_clp_m1,.031541189596864,.0358682555238473,.0363769454201099,.415444064213312,stata_areg_centered_student_vce_unadjusted,171,565432
