spec,outcome_group,beta,se,p_value,n_obs,fs_beta,fs_se,fs_f
program_income_full_math_component_adj_eb,Full income: math component,-0.526977389341482,0.424826015724227,0.214807293136657,92958,0.443556861999499,0.00780650591769721,3228.38423710924
program_income_full_institution_component_adj_eb,Full income: institution component,-0.110926943651066,0.764412176477664,0.884620828664579,92958,0.337338969899974,0.00686437808833544,2415.07507732444
program_income_full_area_component_adj_eb,Full income: area component,1.09216920466241,0.130823309698673,6.91764974304323e-17,92958,0.466423593359429,0.00620763317724728,5645.5847298036
