decomposition_order,component_order,component,source_outcome,orthogonalized_against,coefficient,weighted_sd_component,share_of_program_income_full_va_variance,weighted_correlation_with_program_income_full_va,n_schools_common,n_schools_input,weighted_r2,max_abs_reconstruction_error
exam_math_area_institution,1,exam_taking_va_orthogonalized,admission_exam_taker,weighted mean only,0.120033876802134,0.010140089569001,0.0370954033400666,0.192601670138311,3365,3685,0.953445111942283,1.38777878078145e-17
exam_math_area_institution,2,math_va,z_year_math_max,exam_taking_va_orthogonalized,0.118105213025101,0.0251122036050349,0.227512971602788,0.476983198449159,3365,3685,0.953445111942283,1.38777878078145e-17
exam_math_area_institution,3,area_income_va_orthogonalized,log_program_income_area_clp_m1,exam_taking_va_orthogonalized + math_va,1.15234749160723,0.0419988603856602,0.636372681237304,0.797729704371916,3365,3685,0.953445111942283,1.38777878078145e-17
exam_math_area_institution,4,institution_income_va_orthogonalized,log_program_income_institution_clp_m1,exam_taking_va_orthogonalized + math_va + area_income_va_orthogonalized,0.405418631675474,0.0120590382553889,0.0524640557621225,0.229050334560164,3365,3685,0.953445111942283,1.38777878078145e-17
exam_math_area_institution,,residual,,,,0.0113596352260594,0.0465548880577171,0.215765817630404,3365,3685,0.953445111942283,1.38777878078145e-17
