school_rbd,highinst_va,highpay_va,income_va,math_va,highinst_n,highpay_n,income_n,math_n,math_highinst_highpay_math_orth_va,math_highinst_highpay_highinst_orth_va,math_highinst_highpay_highpay_orth_va
1,-0.0358606521203525,0.0353020741379877,-0.0929399727557432,-0.113837857522979,321,301,321,124,-0.0871286320150475,-0.0101782685734717,0.0406632018583892
3,0.0100975468924677,-0.0263738282374895,-0.0695136383112508,-0.092917858607893,6,6,6,2,-0.0662086330999615,0.0296099675846075,-0.0234997356219624
4,-0.0794583285890437,0.0405705531591025,0.065396164396462,-0.0063677627156611,849,811,849,793,0.0203414627922704,-0.0854722417603462,0.0429977807237058
5,-0.073929852790784,0.0120803651104689,0.0435600088270305,-0.0208578513051055,429,421,429,375,0.005851374202826,-0.0756701850349715,0.0149154755895499
7,-0.052237747769475,0.0272970123410282,-0.0488831869463686,-0.234706638989794,731,668,731,446,-0.207997413481862,0.0090926248129244,0.0382596197970051
8,-0.0632133662459077,-0.0163597779852598,-0.0270554301909921,0.0058504200789567,167,159,167,107,0.0325596455868882,-0.072830804173651,-0.015012189522363
15,-0.0264857503440342,-0.0471240535482161,-0.0506054585980591,-0.151305056579126,85,79,85,63,-0.124595831071195,0.0102468836061058,-0.0405351171055279
22,-0.0038073186148159,-0.0024450435198574,-0.0170880504769182,,1,1,1,,,,
25,-0.0557332018406337,0.0574763882703562,0.0621385505232761,-0.0445410447141299,107,100,107,84,-0.0178318192061984,-0.0504886186358079,0.0606557930022248
28,-0.0086271040007448,-0.0443999084463991,-0.113266256348592,0.048059323502871,26,25,26,1,0.0747685490108025,-0.0306932694509879,-0.0467280727965461
32,-0.0287208209425577,-0.0190348463975622,-0.0047787915933274,-0.17618305204742,72,53,72,45,-0.149473826539488,0.0153491130028082,-0.0113329450591439
45,-0.0368270578895402,0.0651793567512956,0.0538642646862029,0.0104530201880222,227,220,227,207,0.0371622456959537,-0.0478019467341515,0.0654070509677281
50,-0.0131282893511645,-0.0127596823426669,0.0181145642350485,0.0942683111420474,193,186,193,181,0.120977536649979,-0.048822932434038,-0.0168506057061816
52,-0.0634288891708939,-0.0400543323474053,-0.0052488634680656,-0.0849279681930433,1333,1258,1333,1050,-0.0582187426851118,-0.0462729373903047,-0.0349250128421174
56,0.0195009499339465,0.062894559190003,0.0971940643750001,0.198132609321543,287,279,287,270,0.224841834829475,-0.046826527514855,0.0533372079698076
59,0.0642328135171419,-0.0559562673948405,0.0318009408796728,0.190100887365657,131,129,131,127,0.216810112873589,0.00027414241142712,-0.066753819696608
60,-0.0335752394431159,0.0184780771658735,0.0246354090916376,-0.0204647213010832,256,245,256,243,0.00624450420684829,-0.0354315180375756,0.0198767563643174
67,-0.0518025825697438,0.047206715078231,0.101343095525047,0.0726881911795582,156,149,156,146,0.0993974166874897,-0.0811325724272582,0.0453739495368993
69,0.0319378842954557,0.0649575638599722,0.108244774374603,0.54608214980043,162,158,162,157,0.572791375308362,-0.137010809760139,0.0404964172033102
72,-0.0441792215765014,0.0015189399772716,-0.0211822324854659,-0.144300432257239,2,2,2,1,-0.117591206749308,-0.00951247071043232,0.00843929316168162
78,-0.0521297834020337,0.0168381848183114,-0.0302653895391274,-0.0462132159679873,25,21,25,22,-0.0195039904600558,-0.0463920245252137,0.0199603057188256
97,-0.0707046467387269,-0.0625354365705224,0.0092874863071751,-0.118413697417097,196,193,196,92,-0.0917044719091655,-0.0436727047004453,-0.0557578995338032
103,-0.0324221416235016,-0.0603366651738254,-0.0742103631635327,-0.118067301966204,138,128,138,94,-0.0913580764582725,-0.00549236245213682,-0.0549206985159789
106,-0.066545582358156,0.0109313121133209,-0.0813963207960865,-0.215816744386742,280,272,280,83,-0.189107518878811,-0.0107864312898626,0.021612060366495
107,-0.0837730964154744,0.0442555828686642,0.0174193639368289,-0.118589869484781,135,130,135,90,-0.0918806439768495,-0.0566891957170579,0.0515003256313846
