school_rbd,analysis_sample,outcome,va_raw,va_centered,va_se,va_resid_sd,va_se_method,n_students,n_total
217,All,high_paying_field_m1,-.0226534862462229,.0204011355595551,.0215769291027426,.474703330040767,stata_areg_centered_student_vce_unadjusted,875,715740
218,All,high_paying_field_m1,-.0261710183467639,.0168836034590141,.0346924905602694,.444086982616533,stata_areg_centered_student_vce_unadjusted,199,715740
219,All,high_paying_field_m1,.0999717584269521,.14302638023273,.0256375873554844,.475444732939235,stata_areg_centered_student_vce_unadjusted,494,715740
220,All,high_paying_field_m1,.155822181888159,.198876803693937,.0227088617463188,.478531415324315,stata_areg_centered_student_vce_unadjusted,772,715740
222,All,high_paying_field_m1,-.186328314350246,-.143273692544468,.0525751538567623,.333991525866093,stata_areg_centered_student_vce_unadjusted,78,715740
227,All,high_paying_field_m1,-.186036463597999,-.142981841792221,.442983953476966,.,stata_areg_centered_student_vce_unadjusted,1,715740
253,All,high_paying_field_m1,.00588084351163885,.0489354653174168,.0426828387278743,.479403817503992,stata_areg_centered_student_vce_unadjusted,211,715740
254,All,high_paying_field_m1,.0189526275161065,.0620072493218845,.0465783248663573,.478417979106881,stata_areg_centered_student_vce_unadjusted,147,715740
255,All,high_paying_field_m1,-.14969987847672,-.106645256670942,.0437882483041358,.451830162612224,stata_areg_centered_student_vce_unadjusted,174,715740
256,All,high_paying_field_m1,-.0107853131215293,.0322693086842487,.0378258940579207,.474515336201532,stata_areg_centered_student_vce_unadjusted,422,715740
257,All,high_paying_field_m1,-.0437438208619417,-.000689199056163672,.0520904433650973,.460231360041426,stata_areg_centered_student_vce_unadjusted,210,715740
270,All,high_paying_field_m1,-.168406842973314,-.125352221167536,.0934873594536342,.447694949702216,stata_areg_centered_student_vce_unadjusted,44,715740
279,All,high_paying_field_m1,.0840431346389645,.127097756444743,.0180649643025892,.469883674640566,stata_areg_centered_student_vce_unadjusted,1285,715740
280,All,high_paying_field_m1,-.0998819660286972,-.0568273442229192,.0211567216828981,.41355994862582,stata_areg_centered_student_vce_unadjusted,726,715740
283,All,high_paying_field_m1,-.0355397027166562,.00751491908912183,.0215539695080879,.402433116452265,stata_areg_centered_student_vce_unadjusted,664,715740
284,All,high_paying_field_m1,-.061033962193264,-.017979340387486,.0499076876127023,.436539608077329,stata_areg_centered_student_vce_unadjusted,97,715740
285,All,high_paying_field_m1,.0368637985586396,.0799184203644176,.0379376071736324,.446162996513897,stata_areg_centered_student_vce_unadjusted,173,715740
286,All,high_paying_field_m1,-.0593574700497224,-.0163028482439444,.0268012290892532,.409963514555368,stata_areg_centered_student_vce_unadjusted,367,715740
287,All,high_paying_field_m1,-.05774330811856,-.014688686312782,.0212954122356269,.446565808024528,stata_areg_centered_student_vce_unadjusted,734,715740
298,All,high_paying_field_m1,-.0480176636057527,-.00496304179997468,.442282866874762,.,stata_areg_centered_student_vce_unadjusted,1,715740
304,All,high_paying_field_m1,.00739469562578454,.0504493174315625,.0398142904951369,.463717187133184,stata_areg_centered_student_vce_unadjusted,410,715740
312,All,high_paying_field_m1,-.0347020831416154,.00835253866416257,.443354631586806,.,stata_areg_centered_student_vce_unadjusted,1,715740
320,All,high_paying_field_m1,-.0697928347246595,-.0267382129188815,.0449955559172353,.436885992670992,stata_areg_centered_student_vce_unadjusted,145,715740
324,All,high_paying_field_m1,-.225110996300277,-.182056374494499,.257879364925265,.185007040355952,stata_areg_centered_student_vce_unadjusted,3,715740
329,All,high_paying_field_m1,-.031140206901608,.01191441490417,.0662213475161332,.50483337298037,stata_areg_centered_student_vce_unadjusted,97,715740
335,All,high_paying_field_m1,-.106055982567024,-.063001360761246,.0570337250149351,.416334830774373,stata_areg_centered_student_vce_unadjusted,94,715740
336,All,high_paying_field_m1,-.102701462390125,-.0596468405843468,.031948633537696,.460200207699313,stata_areg_centered_student_vce_unadjusted,372,715740
337,All,high_paying_field_m1,.0606661910472563,.103720812853034,.051410974095334,.482856971788086,stata_areg_centered_student_vce_unadjusted,241,715740
341,All,high_paying_field_m1,.0318235742277546,.0748781960335326,.0406194992122527,.457350349195926,stata_areg_centered_student_vce_unadjusted,251,715740
342,All,high_paying_field_m1,-.0167086740125492,.0263459477932288,.0315466065089868,.470356087656392,stata_areg_centered_student_vce_unadjusted,435,715740
344,All,high_paying_field_m1,-.0886500789257379,-.0455954571199599,.0423773338156304,.475061978376676,stata_areg_centered_student_vce_unadjusted,257,715740
350,All,high_paying_field_m1,.0135320992355843,.0565867210413623,.0477093023347792,.474376534742321,stata_areg_centered_student_vce_unadjusted,223,715740
355,All,high_paying_field_m1,-.0348067102451374,.00824791156064057,.114255696797715,.449489567721433,stata_areg_centered_student_vce_unadjusted,16,715740
356,All,high_paying_field_m1,-.0424587071250771,.000595914680700867,.0612131685359313,.469226715841938,stata_areg_centered_student_vce_unadjusted,275,715740
357,All,high_paying_field_m1,.140543365122045,.183597986927823,.0555420412465897,.456685246932683,stata_areg_centered_student_vce_unadjusted,238,715740
358,All,high_paying_field_m1,.0952297578391695,.138284379644947,.0568509829974132,.473836026427717,stata_areg_centered_student_vce_unadjusted,99,715740
361,All,high_paying_field_m1,.082875549581472,.12593017138725,.0572985287715718,.492268280009173,stata_areg_centered_student_vce_unadjusted,209,715740
364,All,high_paying_field_m1,-.012381574575176,.030673047230602,.0507305156250589,.452808957095061,stata_areg_centered_student_vce_unadjusted,124,715740
365,All,high_paying_field_m1,-.00405280983616325,.0390018119696147,.0424672064194929,.484271522219931,stata_areg_centered_student_vce_unadjusted,247,715740
366,All,high_paying_field_m1,.0920800502399217,.1351346720457,.0428004175557048,.481371717113473,stata_areg_centered_student_vce_unadjusted,232,715740
367,All,high_paying_field_m1,.040188539163221,.083243160968999,.0446479741703377,.464751112590742,stata_areg_centered_student_vce_unadjusted,370,715740
371,All,high_paying_field_m1,-.0527800288296753,-.00972540702389726,.137878431178915,.496088192014541,stata_areg_centered_student_vce_unadjusted,14,715740
372,All,high_paying_field_m1,.00552995303057331,.0485845748363513,.062023941165041,.431161901820241,stata_areg_centered_student_vce_unadjusted,274,715740
373,All,high_paying_field_m1,-.119793399254216,-.0767387774484376,.058501367636895,.444695695031643,stata_areg_centered_student_vce_unadjusted,315,715740
379,All,high_paying_field_m1,-.132118283363069,-.089063661557291,.0460170325258916,.419550750668055,stata_areg_centered_student_vce_unadjusted,551,715740
381,All,high_paying_field_m1,-.385654472919466,-.342599851113688,.447402412644876,.,stata_areg_centered_student_vce_unadjusted,1,715740
384,All,high_paying_field_m1,.0109607299836264,.0540153517894044,.0493828590651062,.457153125109831,stata_areg_centered_student_vce_unadjusted,386,715740
392,All,high_paying_field_m1,-.0407867829928696,.00226783881290839,.0504509181271628,.469535363626776,stata_areg_centered_student_vce_unadjusted,243,715740
396,All,high_paying_field_m1,-.0560075568842744,-.0129529350784964,.0279063841714206,.460320017799907,stata_areg_centered_student_vce_unadjusted,434,715740
397,All,high_paying_field_m1,-.0764350572814094,-.0333804354756314,.198793010970869,.490885738099214,stata_areg_centered_student_vce_unadjusted,5,715740
