school_rbd,analysis_sample,outcome,va_raw,va_centered,va_se,va_resid_sd,va_se_method,n_students,n_total,noise_var,dev2,eb_tau2,eb_tau,eb_reliability,va_eb,va_eb_centered,eb_method
106,All,program_certified_years_m1,-.85033202,-.62925315,.24507321,.8960489,stata_areg_centered_student_vce_unadjusted,89,565229,.0600608803052405,.3959595253110206,.0294328794311119,.1715601335716195,.3288819188937961,-.2069499832605396,-.196601425517789,stata_normal_normal_weighted_by_n_students_regression
107,All,program_certified_years_m1,-.47250649,-.25142759,.22790106,1.8198427,stata_areg_centered_student_vce_unadjusted,92,565229,.0519388915122845,.0632158333366802,.0294328794311119,.1715601335716195,.3617087239208048,-.0909435531738046,-.0805949954310539,stata_normal_normal_weighted_by_n_students_regression
108,All,program_certified_years_m1,-.20039134,.02068756,.20382614,1.8442258,stata_areg_centered_student_vce_unadjusted,119,565229,.0415450971155542,.0004279751314422,.0294328794311119,.1715601335716195,.4146762258256347,.0085786390253196,.0189271967680702,stata_normal_normal_weighted_by_n_students_regression
109,All,program_certified_years_m1,-.40314624,-.18206735,.21542066,1.59558,stata_areg_centered_student_vce_unadjusted,105,565229,.0464060622010756,.0331485196991032,.0294328794311119,.1715601335716195,.3880971806523742,-.0706598251750835,-.0603112674323329,stata_normal_normal_weighted_by_n_students_regression
110,All,program_certified_years_m1,-.77101433,-.5499354,.23688634,1.4323182,stata_areg_centered_student_vce_unadjusted,115,565229,.0561151368465416,.3024289444835962,.0294328794311119,.1715601335716195,.3440509869403047,-.1892058174242635,-.1788572596815128,stata_normal_normal_weighted_by_n_students_regression
124,All,program_certified_years_m1,-.70790422,-.48682532,.1382286,1.1270566,stata_areg_centered_student_vce_unadjusted,359,565229,.0191071445466697,.2369988892143637,.0294328794311119,.1715601335716195,.6063631003681481,-.295192908721583,-.2848443509788324,stata_normal_normal_weighted_by_n_students_regression
125,All,program_certified_years_m1,-.49877149,-.27769259,.2595371,1.563589,stata_areg_centered_student_vce_unadjusted,101,565229,.067359506687481,.0771131723081505,.0294328794311119,.1715601335716195,.3040825896682605,-.0844414808801593,-.0740929231374086,stata_normal_normal_weighted_by_n_students_regression
127,All,program_certified_years_m1,-.44677657,-.22569768,.19280653,1.9198782,stata_areg_centered_student_vce_unadjusted,258,565229,.0371743568609537,.0509394432557446,.0294328794311119,.1715601335716195,.4418871142176187,-.0997328971924208,-.0893843394496701,stata_normal_normal_weighted_by_n_students_regression
129,All,program_certified_years_m1,-.5799889,-.35891002,.57524663,1.3146042,stata_areg_centered_student_vce_unadjusted,15,565229,.3309086877414167,.1288164053006637,.0294328794311119,.1715601335716195,.0816805001489593,-.0293159504694653,-.0189673927267147,stata_normal_normal_weighted_by_n_students_regression
130,All,program_certified_years_m1,-.86589736,-.64481848,.29159221,1.409229,stata_areg_centered_student_vce_unadjusted,88,565229,.0850260172424919,.4157908780553101,.0294328794311119,.1715601335716195,.2571480268156355,-.1658138011675928,-.1554652434248421,stata_normal_normal_weighted_by_n_students_regression
131,All,program_certified_years_m1,-1.0146387,-.79355979,.34510812,.92533398,stata_areg_centered_student_vce_unadjusted,51,565229,.1190996156174231,.6297371394380359,.0294328794311119,.1715601335716195,.1981578470185553,-.1572500995624172,-.1469015418196666,stata_normal_normal_weighted_by_n_students_regression
132,All,program_certified_years_m1,-.2541872,-.033108313,.13895398,2.0959632,stata_areg_centered_student_vce_unadjusted,652,565229,.0193082096093669,.0010961603521525,.0294328794311119,.1715601335716195,.6038617521793234,-.0199928437611575,-.0096442860184068,stata_normal_normal_weighted_by_n_students_regression
133,All,program_certified_years_m1,-.36295053,-.14187166,.28366673,1.7165056,stata_areg_centered_student_vce_unadjusted,145,565229,.0804668136675133,.0201275681222763,.0294328794311119,.1715601335716195,.2678158473536276,-.0379954792413801,-.0276469214986294,stata_normal_normal_weighted_by_n_students_regression
134,All,program_certified_years_m1,-.24859871,-.027519813,.37919092,1.4716835,stata_areg_centered_student_vce_unadjusted,42,565229,.1437857551629804,.0007573400857426,.0294328794311119,.1715601335716195,.1699175120510721,-.0046760982934764,.0056724594492743,stata_normal_normal_weighted_by_n_students_regression
144,All,program_certified_years_m1,-.42454833,-.20346944,.30784208,1.5347509,stata_areg_centered_student_vce_unadjusted,54,565229,.0947667436480835,.0413998130697665,.0294328794311119,.1715601335716195,.2369804247501152,-.0482182745511385,-.0378697168083879,stata_normal_normal_weighted_by_n_students_regression
161,All,program_certified_years_m1,-.47116619,-.25008732,.44656694,1.7749906,stata_areg_centered_student_vce_unadjusted,48,565229,.1994220313239481,.062543667925313,.0294328794311119,.1715601335716195,.1286093417615736,-.0321635658891357,-.0218150081463851,stata_normal_normal_weighted_by_n_students_regression
178,All,program_certified_years_m1,-.56422561,-.34314671,.67616731,.51516783,stata_areg_centered_student_vce_unadjusted,18,565229,.4572022301446488,.1177496655337649,.0294328794311119,.1715601335716195,.0604824412623474,-.0207543510194048,-.0104057932766542,stata_normal_normal_weighted_by_n_students_regression
191,All,program_certified_years_m1,-.40593752,-.18485862,.19909853,1.575799,stata_areg_centered_student_vce_unadjusted,343,565229,.039640223625387,.0341727093746374,.0294328794311119,.1715601335716195,.426112019421468,-.0787704800636587,-.0684219223209081,stata_normal_normal_weighted_by_n_students_regression
199,All,program_certified_years_m1,-.39328182,-.17220291,.23204888,1.6025605,stata_areg_centered_student_vce_unadjusted,264,565229,.0538466845814976,.0296538438482192,.0294328794311119,.1715601335716195,.3534225926861896,-.0608604008026272,-.0505118430598766,stata_normal_normal_weighted_by_n_students_regression
200,All,program_certified_years_m1,-.60845423,-.38737532,.24695426,1.1263261,stata_areg_centered_student_vce_unadjusted,198,565229,.0609864076467126,.1500596422335188,.0294328794311119,.1715601335716195,.3255154998709384,-.1260966726809166,-.1157481149381659,stata_normal_normal_weighted_by_n_students_regression
208,All,program_certified_years_m1,-.54608577,-.3250069,.21744414,1.8726165,stata_areg_centered_student_vce_unadjusted,364,565229,.047281952602072,.1056294863568161,.0294328794311119,.1715601335716195,.3836660871313696,-.1246941265901906,-.11434556884744,stata_normal_normal_weighted_by_n_students_regression
211,All,program_certified_years_m1,.21437563,.43545452,.37407443,2.0105898,stata_areg_centered_student_vce_unadjusted,145,565229,.1399316786363736,.1896206370782352,.0294328794311119,.1715601335716195,.1737841716528674,.0756751024657855,.0860236602085362,stata_normal_normal_weighted_by_n_students_regression
217,All,program_certified_years_m1,-.27596539,-.05488649,.10980599,1.9098331,stata_areg_centered_student_vce_unadjusted,813,565229,.0120573562603044,.0030125267738543,.0294328794311119,.1715601335716195,.70939291957797,-.0389360875213056,-.028587529778555,stata_normal_normal_weighted_by_n_students_regression
218,All,program_certified_years_m1,-.27279854,-.051719643,.25467274,1.5299668,stata_areg_centered_student_vce_unadjusted,71,565229,.0648582024258113,.0026749214691364,.0294328794311119,.1715601335716195,.3121491327862079,-.0161442419054222,-.0057956841626715,stata_normal_normal_weighted_by_n_students_regression
219,All,program_certified_years_m1,-.50123054,-.28015164,.17094633,.98177713,stata_areg_centered_student_vce_unadjusted,193,565229,.0292226476830573,.0784849387078432,.0294328794311119,.1715601335716195,.5017920881321676,-.1405778742267307,-.13022931648398,stata_normal_normal_weighted_by_n_students_regression
