spec,outcome_group,beta,se,p_value,n_obs,fs_beta,fs_se,fs_f
program_income_area_adj_eb,Program income: area FE,1.11822770052584,0.144166685789826,8.73110269158357e-15,92959,0.469559029212799,0.00617885742724033,5775.16030259398
program_income_institution_adj_eb,Program income: institution FE,1.3269807260383,0.167453945537816,2.29154950143964e-15,92959,0.385179669122105,0.00651187243791099,3498.76636245966
program_income_full_adj_eb,Program income: full,1.08440892156148,0.132511276066476,2.75666291794341e-16,92959,0.442940484535331,0.00635531211479279,4857.54670288427
