measure,value
universe_rows,1197982
probability_student_process_rows,419297
estimation_rows_timely_at_risk,226195
estimation_rows_exam_takers_timely_at_risk,147553
mean_total_probability_mass,1
mean_mass_with_value_math_adj_eb,0.854879802824996
mean_mass_with_value_leng_adj_eb,0.854879802824996
mean_mass_with_value_highpay_adj_eb,0.855090262826322
mean_mass_with_value_highinst_adj_eb,0.855090262826322
mean_mass_with_value_program_income_full_adj_eb,0.855090262826322
