outcome_key,outcome_label,treatment,surprise_treatment,original_instrument,surprise_instrument,risk_control,original_beta,surprise_beta,beta_difference,original_se,surprise_se,se_difference,original_p_value,surprise_p_value,original_first_stage_beta,original_first_stage_se,surprise_first_stage_beta,surprise_first_stage_se,original_first_stage_f,surprise_first_stage_f,max_abs_first_stage_fitted_difference,n_obs
math,Math,d_math_adj_eb,d_math_adj_eb - expected_math_adj_eb,z_math_adj_eb,z_math_adj_eb - expected_math_adj_eb,expected_math_adj_eb,0.883729682006546,0.88372968200725,7.04325486822199e-13,0.0725667738861095,0.0725667738861046,-4.91273688396632e-15,4.06352780885753e-34,4.06352780833296e-34,0.44281045747444,0.00779147011947452,0.442810457474446,0.00779147011947269,3229.95832206819,3229.95832206978,2.38147696007829e-12,93438
verbal,Verbal,d_leng_adj_eb,d_leng_adj_eb - expected_leng_adj_eb,z_leng_adj_eb,z_leng_adj_eb - expected_leng_adj_eb,expected_leng_adj_eb,0.88509528250809,0.885095282507925,-1.64313007644523e-13,0.0872302634042333,0.0872302634042272,-6.10622663543836e-15,3.42920214831951e-24,3.42920214836076e-24,0.435120408203386,0.00663962737841309,0.435120408203455,0.00663962737841299,4294.68674992996,4294.68674993145,2.77146361415959e-12,95107
institution,High-premium inst.,d_highinst_adj_eb,d_highinst_adj_eb - expected_highinst_adj_eb,z_highinst_adj_eb,z_highinst_adj_eb - expected_highinst_adj_eb,expected_highinst_adj_eb,0.49650709584936,0.496507095849953,5.93525228964609e-13,0.11072776693761,0.110727766937581,-2.8796409701215e-14,7.32449089712772e-06,7.32449089690357e-06,0.336725224496115,0.00926422798074884,0.336725224496187,0.00926422798074915,1321.09130560104,1321.09130560151,2.7997326679241e-12,95651
field,High-premium field,d_highpay_adj_eb,d_highpay_adj_eb - expected_highpay_adj_eb,z_highpay_adj_eb,z_highpay_adj_eb - expected_highpay_adj_eb,expected_highpay_adj_eb,0.802515221753,0.802515221752969,-3.01980662698043e-14,0.0997459319376969,0.0997459319376852,-1.16850973341798e-14,8.58284425370836e-16,8.58284425366354e-16,0.487579417996891,0.00689202335985779,0.487579417996928,0.0068920233598579,5004.92124124193,5004.92124124254,1.29340982368831e-14,90338
income,Projected income,d_program_income_full_adj_eb,d_program_income_full_adj_eb - expected_program_income_full_adj_eb,z_program_income_full_adj_eb,z_program_income_full_adj_eb - expected_program_income_full_adj_eb,expected_program_income_full_adj_eb,0.311071039322201,0.311071039340618,1.84172677109018e-11,0.103026395667943,0.103026395667949,6.50868248186498e-15,0.00253331565334852,0.00253331565185518,0.462189427208382,0.00610589528190384,0.462189427208355,0.00610589528190162,5729.82436286965,5729.82436287314,7.05976943571329e-13,95651
