cohort_gr8,n_students,n_with_RBD_rel1,n_with_RBD_rel4,n_with_most_time_RBD,share_with_RBD_rel1,share_with_RBD_rel4,share_with_most_time_RBD
2017,238468,234423,221699,235719,0.983037556401698,0.929680292534009,0.988472247848768
2018,232501,228765,217758,229931,0.983931251908594,0.936589520045075,0.988946284102004
2019,233475,228810,217767,230694,0.980019274012207,0.932720848056537,0.988088660456152
2020,240066,236681,223914,238146,0.985899710912832,0.932718502411837,0.992002199395166
2021,253472,249371,234475,251024,0.983820698144174,0.925052865799773,0.990342128519126
