metric,value
old_stem_outcome_rows,692044
new_2026_first_app_students,141178
new_2026_rows_appended,141178
appended_total_rows,833222
new_2026_rows_with_missing_cod_sies,12990
new_2026_rows_with_missing_program_info,19147
new_2026_rows_with_missing_mifuturo_income,96990
