spec,outcome_group,beta,se,p_value,n_obs,fs_beta,fs_se,fs_f
math_adj_eb,Math,0.716227529524905,0.0996422456434232,6.57517659654838e-13,68259,0.467665306482096,0.0086280224406403,2937.97282469598
leng_adj_eb,Verbal,0.628080275061256,0.107879593415243,5.81305121936842e-09,69485,0.456745730800508,0.00754635297608566,3663.3192069129
exam_adj_eb,Exam taking,0.290301512207676,0.0546564329813245,1.08793533859231e-07,99644,0.454636949899806,0.00622065620086879,5341.42407357348
highinst_adj_eb,High-premium inst.,0.340758384297736,0.105814354800177,0.00128037862068323,69880,0.325342222743273,0.00972395839948971,1119.42415653572
highpay_adj_eb,High-premium field,0.614462323049937,0.103208589880049,2.62312700389557e-09,69880,0.487977461184231,0.00796930959994082,3749.36851572837
program_income_adj_eb,Program income,0.240695035119984,0.137366370082083,0.0797373196144713,69880,0.479636895023263,0.00747804893220606,4113.85102492688
anypost_adj_eb,Benefits/credit application,-0.0299366957808331,0.111475319682614,0.788276002435368,99644,0.427414084074198,0.00742687428047637,3311.96327886426
