spec,group,outcome,treatment,instrument,risk_control,beta,se,zstat,p_value,expected_beta,expected_se,expected_zstat,expected_p_value,n_obs,fs_beta,fs_se,fs_f,rc
math_adj_eb,all,z_year_math_max,d_math_adj_eb,z_math_adj_eb,expected_math_adj_eb,0.716227529524905,0.0996422456434232,7.18799064493163,6.57517659654838e-13,0.722664381094184,0.0873444893259566,8.2737261007653,1.29836235882174e-16,68259,0.467665306482096,0.0086280224406403,2937.97282469598,0
leng_adj_eb,all,z_year_leng_max,d_leng_adj_eb,z_leng_adj_eb,expected_leng_adj_eb,0.628080275061256,0.107879593415243,5.82204896382665,5.81305121936842e-09,0.818738304702194,0.095031474687041,8.61544354013736,6.96713487865982e-18,69485,0.456745730800508,0.00754635297608566,3663.3192069129,0
exam_adj_eb,all,admission_exam_taker,d_exam_adj_eb,z_exam_adj_eb,expected_exam_adj_eb,0.290301512207676,0.0546564329813245,5.31138781608504,1.08793533859231e-07,0.84046424902495,0.0478825615306207,17.5526166971555,5.68016756504769e-69,99644,0.454636949899806,0.00622065620086879,5341.42407357348,0
highpay_adj_eb,all,high_paying_field_m1,d_highpay_adj_eb,z_highpay_adj_eb,expected_highpay_adj_eb,0.614462323049937,0.103208589880049,5.95359672837386,2.62312700389557e-09,0.546595837226407,0.090592015493829,6.03359837229409,1.60348301290547e-09,69880,0.487977461184231,0.00796930959994082,3749.36851572837,0
highinst_adj_eb,all,high_inst_m1,d_highinst_adj_eb,z_highinst_adj_eb,expected_highinst_adj_eb,0.340758384297736,0.105814354800177,3.22034174797203,0.00128037862068323,0.758509302411049,0.10880706822646,6.97113997072659,3.14382982561632e-12,69880,0.325342222743273,0.00972395839948971,1119.42415653572,0
program_income_adj_eb,all,log_program_income_clp_m1,d_program_income_adj_eb,z_program_income_adj_eb,expected_program_income_adj_eb,0.240695035119984,0.137366370082083,1.75221224071188,0.0797373196144713,0.830965260114567,0.125168479838764,6.63877408421813,3.16302748954106e-11,69880,0.479636895023263,0.00747804893220606,4113.85102492688,0
anypost_adj_eb,all,any_postulacion,d_anypost_adj_eb,z_anypost_adj_eb,expected_anypost_adj_eb,-0.0299366957808331,0.111475319682614,-0.268549988159417,0.788276002435368,0.861566482626472,0.0943189916439209,9.13460234900637,6.56475885031206e-20,99644,0.427414084074198,0.00742687428047637,3311.96327886426,0
