outcome_label,Any postulacion,Gratuidad assignment,High-premium field,Math
Any postulacion,0.740338879369702,0.434788225198503,0.140595812352897,-0.0545806648777472
Gratuidad assignment,0.426361728269534,0.856533192525333,0.111761842398969,-0.102387377650253
High-premium field,0.20724764432077,0.258806692329543,0.664924881367687,-0.167929316799249
Math,0.800453314635885,0.21210672777379,0.189503627491654,0.885831075993178
