outcome,psu_score_bin,students,benefit_assignments,share,sample,se,lower,upper
Beca Bicentenario,380,365,4,0.010958904109589,Lottery sample,0.00544934494751455,0.000278188012460516,0.0216396202067176
Beca Bicentenario,385,409,3,0.00733496332518337,Lottery sample,0.00421928325591527,0,0.0156047585067773
Beca Bicentenario,390,516,3,0.00581395348837209,Lottery sample,0.0033469155744961,0,0.0123739080143844
Beca Bicentenario,395,523,2,0.00382409177820268,Lottery sample,0.00269886602498024,0,0.00911386918716395
Beca Bicentenario,400,695,5,0.00719424460431655,Lottery sample,0.00320576985420271,0.000910935690079245,0.0134775535185538
Beca Bicentenario,405,659,6,0.00910470409711684,Lottery sample,0.00370002019032772,0.00185266452407452,0.0163567436701592
Beca Bicentenario,410,906,2,0.0022075055187638,Lottery sample,0.00155921827577488,0,0.00526357333928257
Beca Bicentenario,415,805,3,0.00372670807453416,Lottery sample,0.00214760294555424,0,0.00793600984782047
Beca Bicentenario,420,1068,7,0.00655430711610487,Lottery sample,0.00246916341166294,0.0017147468292455,0.0113938674029642
Beca Bicentenario,425,1023,8,0.00782013685239492,Lottery sample,0.00275400398318495,0.00242228904535242,0.0132179846594374
Beca Bicentenario,430,1328,4,0.00301204819277108,Lottery sample,0.00150375427731655,6.46898092306449e-05,0.00595940657631152
Beca Bicentenario,435,1174,10,0.00851788756388416,Lottery sample,0.00268209616264352,0.00326097908510285,0.0137747960426655
Beca Bicentenario,440,1455,12,0.00824742268041237,Lottery sample,0.002370987686887,0.00360028681411386,0.0128945585467109
Beca Bicentenario,445,1593,13,0.00816070307595731,Lottery sample,0.00225411752716658,0.00374263272271081,0.0125787734292038
Beca Bicentenario,450,1789,18,0.0100614868641699,Lottery sample,0.00235955455079414,0.00543675994461342,0.0146862137837264
Beca Bicentenario,455,1690,15,0.00887573964497041,Lottery sample,0.00228151316064673,0.00440397385010283,0.013347505439838
Beca Bicentenario,460,1819,17,0.00934579439252336,Lottery sample,0.00225607122006937,0.00492389480118739,0.0137676939838593
Beca Bicentenario,465,1830,9,0.00491803278688525,Lottery sample,0.00163530811929225,0.00171282887307244,0.00812323670069806
Beca Bicentenario,470,1975,21,0.0106329113924051,Lottery sample,0.00230792279752922,0.00610938270924779,0.0151564400755623
Beca Bicentenario,475,1620,18,0.0111111111111111,Lottery sample,0.00260432384070728,0.00600663638332484,0.0162155858388974
Beca Bicentenario,480,2525,16,0.00633663366336634,Lottery sample,0.00157913132370239,0.00324153626890965,0.00943173105782303
Beca Bicentenario,485,2011,25,0.0124316260566882,Lottery sample,0.00247082234656035,0.00758881425742993,0.0172744378559465
Beca Bicentenario,490,2227,25,0.0112258643915582,Lottery sample,0.00223253530816636,0.00685009518755208,0.0156016335955642
Beca Bicentenario,495,2256,28,0.0124113475177305,Lottery sample,0.00233092320789834,0.00784273803024976,0.0169799570052112
Beca Bicentenario,500,2839,33,0.0116238112011272,Lottery sample,0.00201165135684672,0.00768097454170759,0.0155666478605467
Beca Bicentenario,505,1752,32,0.0182648401826484,Lottery sample,0.003199175460601,0.0119944562798705,0.0245352240854264
