outcome_label,Any postulacion,Gratuidad assignment,High-premium field,Math
Any postulacion,0.681438326697837,0.341926937707584,0.143112346202694,-0.0503163811816627
Gratuidad assignment,0.396503479653182,0.810144764135249,0.117780073131923,-0.159567145211099
High-premium field,0.137161678096719,0.215413474514339,0.648542101373877,-0.0941473775520514
Math,0.431625592102289,-0.0533701668222184,0.163566228244225,0.932691530742636
