outcome,outcome_mean,beta,se,p_value,n_obs,first_stage,first_stage_se,first_stage_f
any_postulacion,0.770975623994062,0.740338879369617,0.0842667447194966,1.5545057658032e-18,119913,0.445239681974697,0.00772991137811888,3317.71211032878
any_asignacion,0.557821086954709,0.766208480137664,0.0812540722398952,4.10928068024462e-21,119913,0.471461185476663,0.00654312563017111,5191.84083364892
grat_asignacion,0.484893214246996,0.856533192524722,0.0761271231565713,2.28064478647886e-29,119913,0.500556791674548,0.00620170544668559,6514.55036514985
