spec,label,quintile,beta,se,p_value,ci_low,ci_high,n_obs,fs_f,spec_order,beta_q3,se_q3,difference,difference_se,z_stat,p_value_difference
math_adj_eb,Math,1,0.083165906951308,0.172088456422657,0.628901073657347,-0.254127467637099,0.420459281539715,13774,385.809064035475,1,0.928958321710162,0.144859128413426,-0.845792414758854,0.224941334393282,-3.76005778146622,0.000169874115946917
leng_adj_eb,Verbal,1,0.600379845670815,0.221916051238205,0.00682146325080318,0.165424385243934,1.0353353060977,14174,676.652480651564,2,0.945217059787325,0.196630119780811,-0.344837214116509,0.296496438093569,-1.16303998905945,0.244813278176309
highinst_adj_eb,High-premium inst.,1,0.496615812645953,0.17938078724317,0.00563148862497906,0.145029469649339,0.848202155642566,27475,373.091280469089,3,0.496065220660718,0.204094641308001,0.000550591985234661,0.271720609160625,0.00202631661593686,0.998383234363241
highpay_adj_eb,High-premium field,1,0.551934562221575,0.163470875111685,0.000734549465741308,0.231531647002673,0.872337477440477,25686,1356.68683634127,4,0.856010536753594,0.180233291988856,-0.304075974532019,0.243324405991097,-1.24967314024038,0.211418972999366
program_income_full_adj_eb,Log proj. income,1,0.11196445535461,0.19315911249956,0.562151450620764,-0.266627405144527,0.490556315853746,27475,1252.25202491859,5,0.446814217135625,0.204985658068,-0.334849761781015,0.281655042126337,-1.18886478741189,0.234492878550684
math_adj_eb,Math,2,0.622587576997439,0.144912104164558,1.73663305729197e-05,0.338559852834906,0.906615301159973,17142,568.892883236213,1,0.928958321710162,0.144859128413426,-0.306370744712723,0.204899206972836,-1.49522660062486,0.134855313475312
leng_adj_eb,Verbal,2,0.640097450108378,0.194583607819542,0.00100338668116745,0.258713578782075,1.02148132143468,17505,801.688020343393,2,0.945217059787325,0.196630119780811,-0.305119609678947,0.276633664685058,-1.10297353008832,0.270038660327984
highinst_adj_eb,High-premium inst.,2,0.248894675698015,0.189355772764299,0.188701953613944,-0.122242638920011,0.620031990316041,27722,373.830109584373,3,0.496065220660718,0.204094641308001,-0.247170544962703,0.278406593474017,-0.887804207071594,0.3746460795113
highpay_adj_eb,High-premium field,2,0.652582946658734,0.170451619913426,0.000128899225761793,0.318497771628419,0.986668121689049,25956,1396.83930260493,4,0.856010536753594,0.180233291988856,-0.20342759009486,0.248068124256727,-0.820047278159491,0.412189155705233
program_income_full_adj_eb,Log proj. income,2,0.332085435182307,0.201386452704279,0.0991484743082618,-0.0626320121180786,0.726802882482693,27722,1357.70337439685,5,0.446814217135625,0.204985658068,-0.114728781953318,0.287359745521853,-0.399251404350207,0.689707970136807
math_adj_eb,Math,4,0.950582803833221,0.144484379038718,4.73180467927814e-11,0.667393420917334,1.23377218674911,20609,755.33299322925,1,0.928958321710162,0.144859128413426,0.0216244821230589,0.204596927813937,0.105693093020069,0.915825860627042
leng_adj_eb,Verbal,4,0.998682116193386,0.181688141509618,3.87001495490454e-08,0.642573358834534,1.35479087355224,20939,911.927471986555,2,0.945217059787325,0.196630119780811,0.0534650564060613,0.267719974544738,0.199705145262245,0.84171118949995
highinst_adj_eb,High-premium inst.,4,0.499153735106759,0.207417193563454,0.0161052986690804,0.0926160357223889,0.905691434491129,27936,364.554891667461,3,0.496065220660718,0.204094641308001,0.0030885144460413,0.290992293362524,0.0106137327911759,0.991531625469332
highpay_adj_eb,High-premium field,4,0.648525360412311,0.192887041646773,0.00077323299316319,0.270466758784635,1.02658396203999,26461,1276.47235281185,4,0.856010536753594,0.180233291988856,-0.207485176341283,0.263987595118377,-0.785965629363163,0.431887623490667
program_income_full_adj_eb,Log proj. income,4,0.571496809877999,0.207597879170806,0.0059069407658554,0.16460496670322,0.978388653052778,27936,1532.41197350786,5,0.446814217135625,0.204985658068,0.124682592742374,0.291746464331254,0.427366251132379,0.669112584817555
math_adj_eb,Math,5,1.28487824251148,0.155029066680929,1.15185203570516e-16,0.981021271816858,1.5887352132061,23079,837.298271480285,1,0.928958321710162,0.144859128413426,0.355919920801315,0.212174877402244,1.67748380561831,0.0934479136081029
leng_adj_eb,Verbal,5,1.07544983485697,0.180198470902427,2.39972342809902e-09,0.722260831888218,1.42863883782573,23292,983.765204794189,2,0.945217059787325,0.196630119780811,0.13023277506965,0.266711253831909,0.488291263299026,0.62534354894956
highinst_adj_eb,High-premium inst.,5,0.711610025137205,0.21937778477119,0.00117960939535064,0.281629566985672,1.14159048328874,28136,309.886186101661,3,0.496065220660718,0.204094641308001,0.215544804476487,0.299635169934633,0.719357492391528,0.471920680601519
highpay_adj_eb,High-premium field,5,0.776346757414858,0.188704079476884,3.8869913351317e-05,0.406486761640166,1.14620675318955,26965,1535.44020546139,4,0.856010536753594,0.180233291988856,-0.0796637793387358,0.260946870363218,-0.30528735304566,0.760147307280294
program_income_full_adj_eb,Log proj. income,5,0.459594220154656,0.209501057672428,0.0282529494232369,0.0489721471166979,0.870216293192615,28136,1559.757488207,5,0.446814217135625,0.204985658068,0.0127800030190315,0.293103758385042,0.0436023171092974,0.965221404669907
