spec,label,family,beta,se,p_value,n_obs
math_adj,Math,Achievement,0.841014281542343,0.0714929652423546,6.0118905853427e-32,90906
leng_adj,Language,Achievement,0.8352905436276,0.0821522944506779,2.76679840418527e-24,92472
stem_adj,STEM enrollment,Higher education,0.674392630865416,0.0654371966279745,6.62323702267936e-25,135898
instcert_adj,Institution quality,Higher education,0.680136733282384,0.0954499738331296,1.03640877283215e-12,135898
