outcome_key,outcome,rss_outcome,label,sample_mean,sample_sd,eb_va_sd,p10,p25,p50,p75,p90,n_students,n_schools,eb_source,debiased_sd,debiased_sd_se,unshrunk_va_sd
math,z_year_math_max,z_year_math_max,Math,0.0428171678126007,1.00223156258141,0.222716959318443,-0.195885710769011,-0.140699514177504,-0.0624586786061773,0.0574356812939601,0.29992917889389,561977,3274,r_lfe_unified,0.256456511737816,0.00818005766528437,0.256376582529037
language,z_year_leng_max,z_year_leng_max,Verbal,0.0492799139719919,0.989087637929758,0.150710102989137,-0.17334515808641,-0.111400834038193,-0.0214468143587342,0.0835424049823297,0.201614737955937,569047,3275,r_lfe_unified,0.186571744857943,0.00401906998242753,0.186917934920544
exam,admission_exam_taker,admission_exam_taker,Admission exam taken,0.753444265757606,0.431006089549926,0.103468069760638,-0.148453990233765,-0.0601658562245118,0.027826823837239,0.0769457752612881,0.105697351300215,757999,3498,r_lfe_unified,0.114723261245109,0.00178850014887615,0.115366748027208
highinst,high_inst_m1,high_inst_m1,High-premium institution,0.141919712295135,0.348968004572463,0.121455615105443,-0.113469275376404,-0.0856463034468215,-0.0312495931345155,0.038136146321072,0.179948624691036,757999,3276,r_lfe_unified,0.134486963421093,0.00335357784971232,0.134467543339532
highpay,highpay_field_m1,high_paying_field_m1,High-premium field,0.347434822700981,0.476155629437093,0.0557940282829422,-0.0606899535596444,-0.0341838593102447,-0.00567925918172783,0.027540796364074,0.0649186008450271,715740,3276,r_lfe_unified,0.0856226621469973,0.00192486563341592,0.0844849600732376
program_income_full,log_proginc_full_clp_m1,log_program_income_clp_m1,Log proj. income,13.8929302598181,0.522033342740668,0.055100947378423,-0.0658913226980492,-0.0354642421584126,-0.00382655098361201,0.0329957860060138,0.0705799120107848,757999,3276,r_lfe_unified,0.0850682677663,0.00189458930085112,0.0856159639523191
postulacion,any_postulacion,any_postulacion,Financial aid application,0.757171672497469,0.428792406927419,0.0777070844054153,-0.0939541622431203,-0.0274354704439693,0.0154072345316132,0.0499235928055706,0.0735094846193736,931547,3498,r_lfe_unified,0.0996180085347731,0.00290480253204687,0.0998771807389361
