outcome,sample_mean,sample_sd,n_students,va_sample_mean,va_sample_mean_range,va_n_students,n_distinct_va_samples
z_year_math_max,0.0429064106000149,1.00235987124574,556607,0.0429064106000149,2.22044604925031e-16,556607,1
z_year_leng_max,0.0494554085464119,0.989033573230192,563429,0.0494554085464119,5.55111512312578e-17,563429,1
stem_enrollment_m1,0.251575786301447,0.43391905125582,565432,0.251575786301447,1.11022302462516e-16,565432,1
inst_certified_years_m1,4.67835389578234,2.37937355973868,565432,4.67835389578234,1.77635683940025e-15,565432,1
