comparison,comparison_label,correlation,n_schools,slope,intercept
language,Verbal VA,0.644702888811371,3364,0.555668375892289,-0.0200515786816637
stem,STEM enrollment VA,0.0610676765356282,3365,0.0239701336212547,-0.00463464715678752
institution_quality,Institutional quality VA,0.121313932199306,3365,0.314100866633677,-0.0172006685263344
program_income,Program income VA,0.331440605647239,3274,0.18700615959494,-0.00921697550231314
