comparison,comparison_label,correlation,n_schools,slope,intercept
math,Math VA,0.331440605647239,3274,0.587429180459901,-0.0166521171016512
language,Verbal VA,0.35084558305938,3274,0.515470008298174,-0.0246585870712532
stem,STEM enrollment VA,0.404354265472697,3274,0.266510060183946,-0.000750657726625181
institution_quality,Institutional quality VA,0.769665775465991,3274,3.19362874421099,0.0207168320863507
